Model,radius,num,RSR/%,RSR/%,RSR/%,RSR/%,RSR/%,RSR/%,RSR/%,DD/%,DD/%,DD/%,DD/%,DD/%,DD/%,DD/%,Time/s,Time/s,Time/s,Time/s,Time/s,Time/s,Time/s
,,,CARE,PRDNN,APRNN,REASSU,TRADE,ART,Ours,CARE,PRDNN,APRNN,REASS,TRADE,ART,Ours,CARE,PRDNN,APRNN,REASS,TRADE,ART,Ours
FNN_small,0.05,50,8.0,100.0,100.0,100.0,10.0,10.0,100.0,1.0,30.9,19.7,0.0,0.3,86.8,0.0,2.0,35.9,3.5,381.3,6.9,257.7,14.3
FNN_small,0.05,100,2.0,100.0,100.0,100.0,2.0,10.0,100.0,0.1,25.8,29.6,0.0,86.8,87.0,0.0,2.3,80.8,9.6,762.5,13.4,318.5,24.8
FNN_small,0.05,200,4.5,100.0,0.0,100.0,3.5,11.0,100.0,0.4,39.5,66.2,0.0,86.8,86.5,0.0,3.2,268.2,82.8,1486.6,24.6,422.3,60.6
FNN_small,0.05,500,5.8,100.0,0.0,100.0,2.8,11.0,100.0,1.7,56.1,68.3,0.0,86.8,86.8,0.0,8.2,1358.4,73.0,3812.3,54.1,688.7,236.7
FNN_small,0.05,1000,11.4,100.0,0.0,--,3.9,11.0,100.0,16.6,43.1,69.2,--,86.8,87.0,0.0,17.3,3473.5,34.3,--,103.0,1247.5,756.7
FNN_small,0.1,50,2.0,100.0,100.0,100.0,8.0,14.0,100.0,0.0,71.3,50.9,0.0,86.8,86.5,0.0,2.2,51.6,3.8,358.8,8.2,393.0,15.5
FNN_small,0.1,100,2.0,100.0,0.0,100.0,13.0,9.0,100.0,0.0,62.4,48.5,0.0,86.8,87.0,0.0,1.7,92.2,72.8,737.7,13.4,321.4,37.3
FNN_small,0.1,200,1.0,100.0,0.0,100.0,10.5,12.0,100.0,0.3,60.1,63.9,0.0,86.8,86.5,0.0,2.8,321.8,149.2,1403.8,22.7,416.7,62.5
FNN_small,0.1,500,0.4,100.0,0.0,100.0,10.0,14.0,100.0,-0.1,51.6,71.8,0.0,86.8,86.8,0.0,5.1,1324.6,27.9,3482.9,53.7,564.4,193.2
