Model,RSR/%,RSR/%,RSR/%,RSR/%,RSR/%,RGR/%,RGR/%,RGR/%,RGR/%,RGR/%,FDD/%,FDD/%,FDD/%,FDD/%,FDD/%,time/s,time/s,time/s,time/s,time/s
,CARE,PRDNN,REASS,ART,Ours,CARE,PRDNN,REASS,ART,Ours,CARE,PRDNN,REASS,ART,Ours,CARE,PRDNN,REASS,ART,Ours
"$N_{2,1}$",59.2,100.0,100.0,100.0,100.0,60.1,97.5,100.0,100.0,100.0,39.1,50.3,64.2,9.2,0.0,28.1,4.3,572.3,18.3,25.3
"$N_{2,2}$",67.0,100.0,100.0,100.0,100.0,65.6,99.0,99.7,100.0,100.0,56.5,87.6,96.5,9.9,0.0,23.6,3.8,545.6,18.6,18.8
"$N_{2,3}$",100.0,100.0,100.0,100.0,100.0,99.9,99.6,100.0,100.0,100.0,11.1,92.0,80.1,9.3,0.0,14.2,2.9,522.8,17.8,18.2
"$N_{2,4}$",100.0,100.0,100.0,100.0,100.0,98.8,99.9,100.0,100.0,100.0,10.5,97.6,67.6,8.8,0.0,13.9,3.1,515.4,17.9,18.5
"$N_{2,5}$",98.4,100.0,100.0,100.0,100.0,97.8,98.9,64.1,100.0,100.0,9.6,90.9,91.9,5.4,0.0,28.8,3.7,522.0,16.8,19.0
"$N_{2,6}$",59.4,100.0,100.0,100.0,100.0,54.7,98.5,87.3,100.0,100.0,5.1,92.8,94.6,2.7,0.0,29.2,4.4,518.1,17.2,24.4
"$N_{2,7}$",100.0,100.0,100.0,100.0,100.0,100.0,99.3,92.5,100.0,100.0,5.9,97.0,88.0,1.7,0.0,11.7,5.0,520.6,16.1,30.4
"$N_{2,8}$",100.0,100.0,100.0,100.0,100.0,100.0,97.8,93.7,100.0,100.0,6.3,95.7,86.1,2.1,0.0,12.7,4.4,526.1,15.8,18.1
"$N_{2,9}$",97.8,100.0,100.0,100.0,100.0,98.1,90.5,92.6,100.0,100.0,13.5,94.9,88.9,1.5,0.0,24.4,5.1,512.2,15.7,24.2
"$N_{3,1}$",100.0,100.0,100.0,100.0,100.0,100.0,97.8,99.2,100.0,100.0,8.7,90.9,79.2,7.3,0.0,12.7,6.3,521.1,17.2,18.5
"$N_{3,2}$",100.0,100.0,100.0,100.0,100.0,100.0,99.3,95.3,100.0,100.0,8.9,12.2,48.6,8.6,0.0,12.2,3.0,510.9,16.7,18.3
"$N_{3,3}$",100.0,100.0,100.0,100.0,100.0,99.6,94.3,98.8,100.0,100.0,35.7,66.4,68.6,8.3,0.0,24.6,4.3,516.6,17.4,18.5
"$N_{3,4}$",100.0,100.0,100.0,100.0,100.0,100.0,98.1,97.7,100.0,100.0,18.9,97.5,96.0,9.6,0.0,23.3,3.1,513.9,15.6,23.5
"$N_{3,5}$",99.6,100.0,100.0,100.0,100.0,99.4,97.7,80.7,100.0,100.0,13.0,98.8,95.4,5.8,0.0,33.8,3.6,528.0,17.5,17.8
"$N_{3,6}$",100.0,100.0,100.0,100.0,100.0,99.9,98.7,97.2,100.0,100.0,9.8,94.3,96.6,2.7,0.0,16.1,4.6,639.5,16.8,17.5
"$N_{3,7}$",100.0,100.0,100.0,100.0,100.0,100.0,91.6,81.8,100.0,100.0,5.5,96.4,80.0,2.2,0.0,20.6,5.0,515.4,16.9,18.6
"$N_{3,8}$",100.0,100.0,100.0,100.0,100.0,100.0,98.8,98.3,100.0,100.0,5.0,97.5,88.8,1.6,0.0,15.2,4.1,579.9,17.9,24.8
"$N_{3,9}$",100.0,100.0,100.0,100.0,100.0,99.6,96.0,49.2,100.0,100.0,9.2,97.0,86.1,1.9,0.0,16.2,4.9,774.4,16.8,19.0
"$N_{4,1}$",100.0,100.0,100.0,100.0,100.0,99.9,98.3,98.8,100.0,100.0,40.1,96.2,93.2,7.8,0.0,14.5,3.5,549.4,17.6,24.5
"$N_{4,3}$",98.4,100.0,100.0,100.0,100.0,97.5,99.4,99.8,100.0,100.0,20.1,91.1,87.5,7.0,0.0,28.0,2.9,506.7,17.1,17.7
"$N_{4,4}$",100.0,100.0,100.0,100.0,100.0,100.0,98.7,99.9,100.0,100.0,4.3,82.0,85.2,8.4,0.0,9.5,3.1,535.8,16.9,17.9
"$N_{4,5}$",100.0,100.0,100.0,100.0,100.0,100.0,99.8,94.6,100.0,100.0,33.6,46.4,94.8,6.0,0.0,9.8,5.0,544.8,18.2,17.7
"$N_{4,6}$",100.0,100.0,100.0,100.0,100.0,100.0,98.2,97.9,100.0,100.0,11.2,89.6,86.0,2.6,0.0,19.9,5.4,548.2,15.9,24.1
"$N_{4,7}$",77.6,100.0,100.0,100.0,100.0,78.1,98.8,85.6,100.0,100.0,3.9,96.3,96.2,1.6,0.0,38.4,4.5,544.0,16.0,24.5
