Model,radius,num,RGR/%,RGR/%,RGR/%,RGR/%,RGR/%,RGR/%,RGR/%,DSR/%,DSR/%,DSR/%,DSR/%,DSR/%,DSR/%,DSR/%,DGSR/%,DGSR/%,DGSR/%,DGSR/%,DGSR/%,DGSR/%,DGSR/%
,,,CARE,PRDNN,APRNN,REASS,TRADE,ART,Ours,CARE,PRDNN,APRNN,REASS,TRADE,ART,Ours,CARE,PRDNN,APRNN,REASS,TRADE,ART,Ours
FNN_small,0.05,50,7.6,44.4,47.2,10.8,26.0,10.0,100.0,0.0,0.0,2.0,0.0,26.0,6.0,0.0,8.9,3.2,2.3,9.9,9.4,8.9,91.3
FNN_small,0.05,100,2.2,48.7,46.7,9.1,0.0,10.0,100.0,1.0,0.0,0.0,0.0,2.0,20.0,0.0,9.3,5.1,0.8,9.9,9.8,11.3,96.6
FNN_small,0.05,200,5.0,42.6,16.1,8.5,0.0,11.0,100.0,2.0,0.0,0.5,0.0,3.5,10.0,0.0,8.6,1.1,1.3,0.0,9.8,10.1,96.6
FNN_small,0.05,500,6.6,39.0,10.3,7.2,0.0,11.0,100.0,98.8,100.0,3.8,0.0,2.8,9.6,0.0,8.3,0.5,5.3,0.0,9.8,8.9,96.6
FNN_small,0.05,1000,12.7,41.3,10.9,--,2.0,11.0,100.0,2.3,0.0,0.4,--,3.9,14.4,0.0,6.1,0.2,0.9,0.0,9.8,11.3,96.6
FNN_small,0.1,50,0.8,24.2,32.0,2.4,20.0,14.0,100.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,9.8,9.6,96.6
FNN_small,0.1,100,1.7,29.8,21.9,1.8,10.0,9.0,100.0,0.0,0.0,0.0,0.0,13.0,9.0,0.0,0.0,0.0,0.0,0.0,9.8,9.6,96.6
FNN_small,0.1,200,1.1,32.7,12.9,1.4,5.0,12.0,100.0,0.0,0.0,0.0,0.0,10.5,11.5,0.0,0.0,0.0,0.0,0.0,9.8,10.1,96.6
FNN_small,0.1,500,1.7,37.5,17.3,1.4,8.0,14.0,100.0,100.0,100.0,0.0,0.0,10.0,10.0,0.0,0.0,0.0,0.1,0.0,9.8,9.8,96.6
FNN_small,0.1,1000,2.3,42.5,15.2,--,13.0,14.0,100.0,0.0,0.0,1.2,--,10.0,10.0,0.0,0.0,0.0,0.2,0.0,9.8,9.8,96.6
FNN_small,0.3,50,0.0,24.2,37.4,0.8,20.0,8.0,94.8,0.0,0.0,0.0,0.0,8.0,8.0,0.0,0.0,0.0,0.0,0.0,9.8,9.7,96.5
