,,vgg19,,,,,,,,,,,resnet18,,,,,,
,radius,4,4,4,4,4,8,8,8,8,8,4,4,4,4,4,8,8,8,8,8
,,50,100,200,500,1000,50,100,200,500,1000,50,100,200,500,1000,50,100,200,500,1000
DSR/%,PS,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
DSR/%,PL,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,98.0,99.0,99.5,99.2,99.4,100.0,100.0,99.5,99.8,9.9
DSGR/%,PS,93.4,93.4,93.4,93.4,93.4,93.4,93.4,93.4,93.4,93.4,88.3,88.3,88.3,88.3,88.3,88.3,88.3,88.3,88.3,88.3
DSGR/%,PL,93.2,93.2,92.8,92.0,92.3,91.2,93.3,93.4,93.4,93.4,60.0,77.5,84.2,81.4,87.2,68.5,74.5,77.3,82.5,86.6
Time/s,PS,238.7,471.6,963.0,2516.9,5441.6,229.9,470.7,950.1,2485.0,5436.0,265.8,525.1,1050.3,2586.4,5262.3,264.7,523.1,1042.8,2627.8,5325.1
Time/s,PL,263.3,497.1,987.1,2562.7,4991.7,244.7,495.5,992.9,2468.7,5169.8,292.5,583.4,1155.1,3076.9,5865.6,341.5,592.4,1154.0,3007.7,5941.1
Verified,PS,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
Verified,PL,yes,no,no,no,no,no,no,no,no,no,yes,yes,yes,yes,no,no,no,no,no,no
