[2024-11-25 10:59:33,278][INFO] 
===== resnet18-4-feature-500-2024-11-25-10-59-33 configuration =====
  exp_fn: test_goal_repair
  seed: None
  dom: deeppoly
  start_abs_cnt: 500
  max_abs_cnt: 1000
  refine_top_k: 50
  tiny_width: 0.0004
  lr: 10
  batch_size: 50
  min_epochs: 15
  max_epochs: 100
  use_scheduler: True
  no_pts: True
  no_abs: False
  no_refine: True
  quiet: False
  debug: False
  net: resnet18
  no_repair: False
  repair_number: 500
  repair_batchsize: 1
  repair_location: feature
  repair_radius: 4
  loose_bound: 0.0314
  divided_repair: 5
  accuracy_loss: <function CifarArgParser.setup_rest.<locals>.ce_loss at 0x73927356d670>
  reset_params: False
  train_datasize: 10000
  test_datasize: 5000
  max_verifier_sec: 300
  verifier_timeout_as_safe: True
  sample_amount: 1000
  repair_batch_size: 500
  scheduler_fn: <function ExpArgParser.setup_rest.<locals>.<lambda> at 0x73934b999040>
===== end of resnet18-4-feature-500-2024-11-25-10-59-33 configuration =====

[2024-11-25 10:59:33,278][INFO] ===== start repair ======
[2024-11-25 10:59:33,278][INFO] For pgd attack net
[2024-11-25 10:59:34,039][INFO] --Test repair set accuracy 0.0
[2024-11-25 10:59:34,042][INFO] --Test original set accuracy 0.992
[2024-11-25 10:59:34,097][INFO] --Test test set accuracy 0.8832
[2024-11-25 10:59:34,122][INFO] --Test attack test set accuracy 0.0016
[2024-11-25 10:59:34,176][INFO] --Test train set accuracy 0.9988
[2024-11-25 10:59:34,176][INFO] get the feature of the repairset, testset and trainset
[2024-11-25 10:59:34,660][INFO] sample the datas from the radius of the original data with pgd attack
[2024-11-25 10:59:34,661][INFO] --sample the 0 part of the originalset
[2024-11-25 10:59:34,661][INFO] --PGD sample 1 image
[2024-11-25 10:59:45,175][INFO] --PGD sample 2 image
[2024-11-25 10:59:55,777][INFO] --PGD sample 3 image
[2024-11-25 11:00:06,366][INFO] --PGD sample 4 image
[2024-11-25 11:00:16,983][INFO] --PGD sample 5 image
[2024-11-25 11:00:27,581][INFO] --PGD sample 6 image
[2024-11-25 11:00:38,150][INFO] --PGD sample 7 image
[2024-11-25 11:00:48,710][INFO] --PGD sample 8 image
[2024-11-25 11:00:59,349][INFO] --PGD sample 9 image
[2024-11-25 11:01:10,087][INFO] --PGD sample 10 image
[2024-11-25 11:01:20,981][INFO] --PGD sample 11 image
[2024-11-25 11:01:31,867][INFO] --PGD sample 12 image
[2024-11-25 11:01:42,725][INFO] --PGD sample 13 image
[2024-11-25 11:01:53,631][INFO] --PGD sample 14 image
[2024-11-25 11:02:04,550][INFO] --PGD sample 15 image
[2024-11-25 11:02:15,471][INFO] --PGD sample 16 image
[2024-11-25 11:02:26,400][INFO] --PGD sample 17 image
[2024-11-25 11:02:37,337][INFO] --PGD sample 18 image
[2024-11-25 11:02:48,269][INFO] --PGD sample 19 image
[2024-11-25 11:02:59,207][INFO] --PGD sample 20 image
[2024-11-25 11:03:10,152][INFO] --PGD sample 21 image
[2024-11-25 11:03:21,287][INFO] --PGD sample 22 image
[2024-11-25 11:03:32,264][INFO] --PGD sample 23 image
[2024-11-25 11:03:43,266][INFO] --PGD sample 24 image
[2024-11-25 11:03:54,274][INFO] --PGD sample 25 image
[2024-11-25 11:04:05,290][INFO] --PGD sample 26 image
[2024-11-25 11:04:16,316][INFO] --PGD sample 27 image
[2024-11-25 11:04:27,487][INFO] --PGD sample 28 image
[2024-11-25 11:04:38,511][INFO] --PGD sample 29 image
[2024-11-25 11:04:49,535][INFO] --PGD sample 30 image
[2024-11-25 11:05:00,570][INFO] --PGD sample 31 image
[2024-11-25 11:05:11,639][INFO] --PGD sample 32 image
[2024-11-25 11:05:22,688][INFO] --PGD sample 33 image
[2024-11-25 11:05:33,736][INFO] --PGD sample 34 image
[2024-11-25 11:05:44,790][INFO] --PGD sample 35 image
[2024-11-25 11:05:55,845][INFO] --PGD sample 36 image
[2024-11-25 11:06:06,902][INFO] --PGD sample 37 image
[2024-11-25 11:06:17,956][INFO] --PGD sample 38 image
[2024-11-25 11:06:28,975][INFO] --PGD sample 39 image
[2024-11-25 11:06:39,942][INFO] --PGD sample 40 image
[2024-11-25 11:06:50,910][INFO] --PGD sample 41 image
[2024-11-25 11:07:01,883][INFO] --PGD sample 42 image
[2024-11-25 11:07:12,855][INFO] --PGD sample 43 image
[2024-11-25 11:07:23,818][INFO] --PGD sample 44 image
[2024-11-25 11:07:34,825][INFO] --PGD sample 45 image
[2024-11-25 11:07:45,803][INFO] --PGD sample 46 image
[2024-11-25 11:07:56,776][INFO] --PGD sample 47 image
[2024-11-25 11:08:07,829][INFO] --PGD sample 48 image
[2024-11-25 11:08:18,888][INFO] --PGD sample 49 image
[2024-11-25 11:08:29,951][INFO] --PGD sample 50 image
[2024-11-25 11:08:41,014][INFO] --PGD sample 51 image
[2024-11-25 11:08:52,083][INFO] --PGD sample 52 image
[2024-11-25 11:09:03,151][INFO] --PGD sample 53 image
[2024-11-25 11:09:14,198][INFO] --PGD sample 54 image
[2024-11-25 11:09:25,267][INFO] --PGD sample 55 image
[2024-11-25 11:09:36,328][INFO] --PGD sample 56 image
[2024-11-25 11:09:47,332][INFO] --PGD sample 57 image
[2024-11-25 11:09:57,911][INFO] --PGD sample 58 image
[2024-11-25 11:10:08,488][INFO] --PGD sample 59 image
[2024-11-25 11:10:19,107][INFO] --PGD sample 60 image
[2024-11-25 11:10:30,096][INFO] --PGD sample 61 image
[2024-11-25 11:10:41,098][INFO] --PGD sample 62 image
[2024-11-25 11:10:52,112][INFO] --PGD sample 63 image
[2024-11-25 11:11:03,070][INFO] --PGD sample 64 image
[2024-11-25 11:11:13,998][INFO] --PGD sample 65 image
[2024-11-25 11:11:24,923][INFO] --PGD sample 66 image
[2024-11-25 11:11:35,843][INFO] --PGD sample 67 image
[2024-11-25 11:11:46,767][INFO] --PGD sample 68 image
[2024-11-25 11:11:57,697][INFO] --PGD sample 69 image
[2024-11-25 11:12:08,627][INFO] --PGD sample 70 image
[2024-11-25 11:12:19,572][INFO] --PGD sample 71 image
[2024-11-25 11:12:30,571][INFO] --PGD sample 72 image
[2024-11-25 11:12:41,558][INFO] --PGD sample 73 image
[2024-11-25 11:12:52,550][INFO] --PGD sample 74 image
[2024-11-25 11:13:03,541][INFO] --PGD sample 75 image
