[2024-11-25 13:25:39,574][INFO] 
===== vgg19-4-feature-100-2024-11-25-13-25-39 configuration =====
  exp_fn: test_goal_repair
  seed: None
  dom: deeppoly
  start_abs_cnt: 500
  max_abs_cnt: 1000
  refine_top_k: 50
  tiny_width: 0.0004
  lr: 10
  batch_size: 50
  min_epochs: 15
  max_epochs: 100
  use_scheduler: True
  no_pts: True
  no_abs: False
  no_refine: True
  quiet: False
  debug: False
  net: vgg19
  no_repair: False
  repair_number: 100
  repair_batchsize: 1
  repair_location: feature
  repair_radius: 4
  loose_bound: 0.0314
  divided_repair: 1
  accuracy_loss: <function CifarArgParser.setup_rest.<locals>.ce_loss at 0x77406292c0d0>
  reset_params: False
  train_datasize: 10000
  test_datasize: 1000
  max_verifier_sec: 300
  verifier_timeout_as_safe: True
  sample_amount: 1000
  repair_batch_size: 100
  scheduler_fn: <function ExpArgParser.setup_rest.<locals>.<lambda> at 0x7740628c6670>
===== end of vgg19-4-feature-100-2024-11-25-13-25-39 configuration =====

[2024-11-25 13:25:39,574][INFO] ===== start repair ======
[2024-11-25 13:25:39,574][INFO] For pgd attack net
[2024-11-25 13:25:40,953][INFO] --Test repair set accuracy 0.0
[2024-11-25 13:25:40,957][INFO] --Test original set accuracy 1.0
[2024-11-25 13:25:41,187][INFO] --Test test set accuracy 0.9342
[2024-11-25 13:25:41,210][INFO] --Test attack test set accuracy 0.0
[2024-11-25 13:25:41,434][INFO] --Test train set accuracy 1.0
[2024-11-25 13:25:41,434][INFO] get the feature of the repairset, testset and trainset
[2024-11-25 13:25:42,133][INFO] sample the datas from the radius of the original data with pgd attack
[2024-11-25 13:25:42,133][INFO] --sample the 0 part of the originalset
[2024-11-25 13:25:42,134][INFO] --PGD sample 1 image
[2024-11-25 13:25:51,713][INFO] --PGD sample 2 image
[2024-11-25 13:26:01,403][INFO] --PGD sample 3 image
[2024-11-25 13:26:11,113][INFO] --PGD sample 4 image
[2024-11-25 13:26:20,830][INFO] --PGD sample 5 image
[2024-11-25 13:26:30,561][INFO] --PGD sample 6 image
[2024-11-25 13:26:40,308][INFO] --PGD sample 7 image
[2024-11-25 13:26:50,062][INFO] --PGD sample 8 image
[2024-11-25 13:26:59,820][INFO] --PGD sample 9 image
[2024-11-25 13:27:09,584][INFO] --PGD sample 10 image
[2024-11-25 13:27:19,336][INFO] --PGD sample 11 image
[2024-11-25 13:27:29,085][INFO] --PGD sample 12 image
[2024-11-25 13:27:38,837][INFO] --PGD sample 13 image
[2024-11-25 13:27:48,600][INFO] --PGD sample 14 image
[2024-11-25 13:27:58,372][INFO] --PGD sample 15 image
[2024-11-25 13:28:08,153][INFO] --PGD sample 16 image
[2024-11-25 13:28:17,943][INFO] --PGD sample 17 image
[2024-11-25 13:28:27,725][INFO] --PGD sample 18 image
[2024-11-25 13:28:37,517][INFO] --PGD sample 19 image
[2024-11-25 13:28:46,961][INFO] --PGD sample 20 image
[2024-11-25 13:28:56,419][INFO] --PGD sample 21 image
[2024-11-25 13:29:06,524][INFO] --PGD sample 22 image
[2024-11-25 13:29:16,640][INFO] --PGD sample 23 image
[2024-11-25 13:29:26,440][INFO] --PGD sample 24 image
[2024-11-25 13:29:36,243][INFO] --PGD sample 25 image
[2024-11-25 13:29:46,047][INFO] --PGD sample 26 image
[2024-11-25 13:29:55,853][INFO] --PGD sample 27 image
[2024-11-25 13:30:05,694][INFO] --PGD sample 28 image
[2024-11-25 13:30:15,510][INFO] --PGD sample 29 image
[2024-11-25 13:30:25,359][INFO] --PGD sample 30 image
[2024-11-25 13:30:35,148][INFO] --PGD sample 31 image
[2024-11-25 13:30:44,961][INFO] --PGD sample 32 image
[2024-11-25 13:30:54,777][INFO] --PGD sample 33 image
[2024-11-25 13:31:04,596][INFO] --PGD sample 34 image
[2024-11-25 13:31:14,431][INFO] --PGD sample 35 image
[2024-11-25 13:31:24,267][INFO] --PGD sample 36 image
[2024-11-25 13:31:34,104][INFO] --PGD sample 37 image
[2024-11-25 13:31:43,958][INFO] --PGD sample 38 image
[2024-11-25 13:31:53,801][INFO] --PGD sample 39 image
