[2024-11-26 07:32:40,299][INFO] 
===== vgg19-8-feature-1000-2024-11-26-07-32-40 configuration =====
  exp_fn: test_goal_repair
  seed: None
  dom: deeppoly
  start_abs_cnt: 500
  max_abs_cnt: 1000
  refine_top_k: 50
  tiny_width: 0.0008
  lr: 10
  batch_size: 50
  min_epochs: 15
  max_epochs: 100
  use_scheduler: True
  no_pts: True
  no_abs: False
  no_refine: True
  quiet: False
  debug: False
  net: vgg19
  no_repair: False
  repair_number: 1000
  repair_batchsize: 1
  repair_location: feature
  repair_radius: 8
  loose_bound: 0.0314
  divided_repair: 10
  accuracy_loss: <function CifarArgParser.setup_rest.<locals>.ce_loss at 0x7cc53aeae040>
  reset_params: False
  train_datasize: 10000
  test_datasize: 10000
  max_verifier_sec: 300
  verifier_timeout_as_safe: True
  sample_amount: 1000
  repair_batch_size: 1000
  scheduler_fn: <function ExpArgParser.setup_rest.<locals>.<lambda> at 0x7cc451f08700>
===== end of vgg19-8-feature-1000-2024-11-26-07-32-40 configuration =====

[2024-11-26 07:32:40,299][INFO] ===== start repair ======
[2024-11-26 07:32:40,299][INFO] For pgd attack net
[2024-11-26 07:32:41,058][INFO] --Test repair set accuracy 0.0
[2024-11-26 07:32:41,082][INFO] --Test original set accuracy 1.0
[2024-11-26 07:32:41,306][INFO] --Test test set accuracy 0.9342
[2024-11-26 07:32:41,529][INFO] --Test attack test set accuracy 0.0001
[2024-11-26 07:32:41,751][INFO] --Test train set accuracy 1.0
[2024-11-26 07:32:41,751][INFO] get the feature of the repairset, testset and trainset
[2024-11-26 07:32:42,702][INFO] sample the datas from the radius of the original data with pgd attack
[2024-11-26 07:32:42,702][INFO] --sample the 0 part of the originalset
[2024-11-26 07:32:42,702][INFO] --PGD sample 1 image
[2024-11-26 07:32:50,905][INFO] --PGD sample 2 image
[2024-11-26 07:32:59,692][INFO] --PGD sample 3 image
[2024-11-26 07:33:08,976][INFO] --PGD sample 4 image
[2024-11-26 07:33:18,279][INFO] --PGD sample 5 image
[2024-11-26 07:33:27,637][INFO] --PGD sample 6 image
[2024-11-26 07:33:36,994][INFO] --PGD sample 7 image
[2024-11-26 07:33:46,345][INFO] --PGD sample 8 image
[2024-11-26 07:33:55,699][INFO] --PGD sample 9 image
[2024-11-26 07:34:05,058][INFO] --PGD sample 10 image
[2024-11-26 07:34:14,420][INFO] --PGD sample 11 image
[2024-11-26 07:34:23,784][INFO] --PGD sample 12 image
[2024-11-26 07:34:32,349][INFO] --PGD sample 13 image
[2024-11-26 07:34:40,736][INFO] --PGD sample 14 image
[2024-11-26 07:34:49,117][INFO] --PGD sample 15 image
[2024-11-26 07:34:57,473][INFO] --PGD sample 16 image
[2024-11-26 07:35:05,905][INFO] --PGD sample 17 image
[2024-11-26 07:35:14,232][INFO] --PGD sample 18 image
[2024-11-26 07:35:22,536][INFO] --PGD sample 19 image
[2024-11-26 07:35:30,859][INFO] --PGD sample 20 image
[2024-11-26 07:35:39,306][INFO] --PGD sample 21 image
[2024-11-26 07:35:47,795][INFO] --PGD sample 22 image
[2024-11-26 07:35:56,248][INFO] --PGD sample 23 image
[2024-11-26 07:36:04,640][INFO] --PGD sample 24 image
[2024-11-26 07:36:13,104][INFO] --PGD sample 25 image
[2024-11-26 07:36:21,579][INFO] --PGD sample 26 image
[2024-11-26 07:36:30,049][INFO] --PGD sample 27 image
[2024-11-26 07:36:38,529][INFO] --PGD sample 28 image
[2024-11-26 07:36:46,960][INFO] --PGD sample 29 image
[2024-11-26 07:36:55,447][INFO] --PGD sample 30 image
[2024-11-26 07:37:03,918][INFO] --PGD sample 31 image
[2024-11-26 07:37:12,410][INFO] --PGD sample 32 image
[2024-11-26 07:37:20,880][INFO] --PGD sample 33 image
[2024-11-26 07:37:29,364][INFO] --PGD sample 34 image
[2024-11-26 07:37:37,813][INFO] --PGD sample 35 image
[2024-11-26 07:37:46,296][INFO] --PGD sample 36 image
[2024-11-26 07:37:54,773][INFO] --PGD sample 37 image
[2024-11-26 07:38:03,254][INFO] --PGD sample 38 image
[2024-11-26 07:38:11,741][INFO] --PGD sample 39 image
[2024-11-26 07:38:20,225][INFO] --PGD sample 40 image
[2024-11-26 07:38:28,705][INFO] --PGD sample 41 image
[2024-11-26 07:38:37,184][INFO] --PGD sample 42 image
[2024-11-26 07:38:45,666][INFO] --PGD sample 43 image
[2024-11-26 07:38:54,116][INFO] --PGD sample 44 image
[2024-11-26 07:39:02,548][INFO] --PGD sample 45 image
[2024-11-26 07:39:10,857][INFO] --PGD sample 46 image
[2024-11-26 07:39:19,272][INFO] --PGD sample 47 image
[2024-11-26 07:39:27,737][INFO] --PGD sample 48 image
[2024-11-26 07:39:36,215][INFO] --PGD sample 49 image
[2024-11-26 07:39:44,773][INFO] --PGD sample 50 image
[2024-11-26 07:39:53,307][INFO] --PGD sample 51 image
[2024-11-26 07:40:01,750][INFO] --PGD sample 52 image
[2024-11-26 07:40:10,161][INFO] --PGD sample 53 image
[2024-11-26 07:40:18,765][INFO] --PGD sample 54 image
[2024-11-26 07:40:28,208][INFO] --PGD sample 55 image
[2024-11-26 07:40:37,635][INFO] --PGD sample 56 image
[2024-11-26 07:40:47,075][INFO] --PGD sample 57 image
[2024-11-26 07:40:56,504][INFO] --PGD sample 58 image
[2024-11-26 07:41:05,913][INFO] --PGD sample 59 image
[2024-11-26 07:41:15,239][INFO] --PGD sample 60 image
[2024-11-26 07:41:24,146][INFO] --PGD sample 61 image
[2024-11-26 07:41:32,747][INFO] --PGD sample 62 image
[2024-11-26 07:41:41,170][INFO] --PGD sample 63 image
[2024-11-26 07:41:49,759][INFO] --PGD sample 64 image
[2024-11-26 07:41:58,283][INFO] --PGD sample 65 image
[2024-11-26 07:42:06,759][INFO] --PGD sample 66 image
[2024-11-26 07:42:15,189][INFO] --PGD sample 67 image
[2024-11-26 07:42:23,633][INFO] --PGD sample 68 image
[2024-11-26 07:42:32,161][INFO] --PGD sample 69 image
[2024-11-26 07:42:40,684][INFO] --PGD sample 70 image
[2024-11-26 07:42:49,055][INFO] --PGD sample 71 image
[2024-11-26 07:42:57,541][INFO] --PGD sample 72 image
[2024-11-26 07:43:05,908][INFO] --PGD sample 73 image
[2024-11-26 07:43:14,349][INFO] --PGD sample 74 image
[2024-11-26 07:43:22,848][INFO] --PGD sample 75 image
[2024-11-26 07:43:31,250][INFO] --PGD sample 76 image
[2024-11-26 07:43:39,749][INFO] --PGD sample 77 image
[2024-11-26 07:43:48,332][INFO] --PGD sample 78 image
[2024-11-26 07:43:56,704][INFO] --PGD sample 79 image
[2024-11-26 07:44:05,110][INFO] --PGD sample 80 image
[2024-11-26 07:44:13,702][INFO] --PGD sample 81 image
[2024-11-26 07:44:22,296][INFO] --PGD sample 82 image
[2024-11-26 07:44:30,784][INFO] --PGD sample 83 image
[2024-11-26 07:44:39,406][INFO] --PGD sample 84 image
[2024-11-26 07:44:47,959][INFO] --PGD sample 85 image
[2024-11-26 07:44:56,504][INFO] --PGD sample 86 image
[2024-11-26 07:45:04,991][INFO] --PGD sample 87 image
[2024-11-26 07:45:13,615][INFO] --PGD sample 88 image
[2024-11-26 07:45:22,166][INFO] --PGD sample 89 image
[2024-11-26 07:45:31,511][INFO] --PGD sample 90 image
[2024-11-26 07:45:40,969][INFO] --PGD sample 91 image
[2024-11-26 07:45:50,426][INFO] --PGD sample 92 image
[2024-11-26 07:45:59,866][INFO] --PGD sample 93 image
[2024-11-26 07:46:09,232][INFO] --PGD sample 94 image
[2024-11-26 07:46:18,449][INFO] --PGD sample 95 image
