[2024-11-26 06:14:28,942][INFO] 
===== vgg19-8-feature-500-2024-11-26-06-14-28 configuration =====
  exp_fn: test_goal_repair
  seed: None
  dom: deeppoly
  start_abs_cnt: 500
  max_abs_cnt: 1000
  refine_top_k: 50
  tiny_width: 0.0008
  lr: 10
  batch_size: 50
  min_epochs: 15
  max_epochs: 100
  use_scheduler: True
  no_pts: True
  no_abs: False
  no_refine: True
  quiet: False
  debug: False
  net: vgg19
  no_repair: False
  repair_number: 500
  repair_batchsize: 1
  repair_location: feature
  repair_radius: 8
  loose_bound: 0.0314
  divided_repair: 5
  accuracy_loss: <function CifarArgParser.setup_rest.<locals>.ce_loss at 0x7cc451f08700>
  reset_params: False
  train_datasize: 10000
  test_datasize: 5000
  max_verifier_sec: 300
  verifier_timeout_as_safe: True
  sample_amount: 1000
  repair_batch_size: 500
  scheduler_fn: <function ExpArgParser.setup_rest.<locals>.<lambda> at 0x7cc451f8a160>
===== end of vgg19-8-feature-500-2024-11-26-06-14-28 configuration =====

[2024-11-26 06:14:28,942][INFO] ===== start repair ======
[2024-11-26 06:14:28,942][INFO] For pgd attack net
[2024-11-26 06:14:29,678][INFO] --Test repair set accuracy 0.0
[2024-11-26 06:14:29,690][INFO] --Test original set accuracy 1.0
[2024-11-26 06:14:29,917][INFO] --Test test set accuracy 0.9342
[2024-11-26 06:14:30,034][INFO] --Test attack test set accuracy 0.0002
[2024-11-26 06:14:30,256][INFO] --Test train set accuracy 1.0
[2024-11-26 06:14:30,256][INFO] get the feature of the repairset, testset and trainset
[2024-11-26 06:14:31,180][INFO] sample the datas from the radius of the original data with pgd attack
[2024-11-26 06:14:31,180][INFO] --sample the 0 part of the originalset
[2024-11-26 06:14:31,180][INFO] --PGD sample 1 image
[2024-11-26 06:14:39,397][INFO] --PGD sample 2 image
[2024-11-26 06:14:47,820][INFO] --PGD sample 3 image
[2024-11-26 06:14:56,217][INFO] --PGD sample 4 image
[2024-11-26 06:15:04,637][INFO] --PGD sample 5 image
[2024-11-26 06:15:13,045][INFO] --PGD sample 6 image
[2024-11-26 06:15:21,472][INFO] --PGD sample 7 image
[2024-11-26 06:15:29,883][INFO] --PGD sample 8 image
[2024-11-26 06:15:38,259][INFO] --PGD sample 9 image
[2024-11-26 06:15:46,700][INFO] --PGD sample 10 image
[2024-11-26 06:15:55,128][INFO] --PGD sample 11 image
[2024-11-26 06:16:03,762][INFO] --PGD sample 12 image
[2024-11-26 06:16:13,081][INFO] --PGD sample 13 image
[2024-11-26 06:16:22,420][INFO] --PGD sample 14 image
[2024-11-26 06:16:31,772][INFO] --PGD sample 15 image
[2024-11-26 06:16:41,143][INFO] --PGD sample 16 image
[2024-11-26 06:16:50,496][INFO] --PGD sample 17 image
[2024-11-26 06:16:59,867][INFO] --PGD sample 18 image
[2024-11-26 06:17:09,236][INFO] --PGD sample 19 image
[2024-11-26 06:17:18,616][INFO] --PGD sample 20 image
[2024-11-26 06:17:27,960][INFO] --PGD sample 21 image
[2024-11-26 06:17:37,309][INFO] --PGD sample 22 image
[2024-11-26 06:17:46,833][INFO] --PGD sample 23 image
[2024-11-26 06:17:56,225][INFO] --PGD sample 24 image
[2024-11-26 06:18:05,595][INFO] --PGD sample 25 image
[2024-11-26 06:18:14,973][INFO] --PGD sample 26 image
[2024-11-26 06:18:24,359][INFO] --PGD sample 27 image
[2024-11-26 06:18:33,764][INFO] --PGD sample 28 image
[2024-11-26 06:18:43,167][INFO] --PGD sample 29 image
[2024-11-26 06:18:52,594][INFO] --PGD sample 30 image
[2024-11-26 06:19:02,011][INFO] --PGD sample 31 image
[2024-11-26 06:19:11,420][INFO] --PGD sample 32 image
[2024-11-26 06:19:20,818][INFO] --PGD sample 33 image
[2024-11-26 06:19:30,220][INFO] --PGD sample 34 image
[2024-11-26 06:19:39,641][INFO] --PGD sample 35 image
[2024-11-26 06:19:49,055][INFO] --PGD sample 36 image
[2024-11-26 06:19:58,481][INFO] --PGD sample 37 image
[2024-11-26 06:20:07,900][INFO] --PGD sample 38 image
[2024-11-26 06:20:17,311][INFO] --PGD sample 39 image
[2024-11-26 06:20:26,951][INFO] --PGD sample 40 image
[2024-11-26 06:20:36,863][INFO] --PGD sample 41 image
[2024-11-26 06:20:46,343][INFO] --PGD sample 42 image
[2024-11-26 06:20:55,752][INFO] --PGD sample 43 image
[2024-11-26 06:21:05,175][INFO] --PGD sample 44 image
[2024-11-26 06:21:14,599][INFO] --PGD sample 45 image
[2024-11-26 06:21:24,012][INFO] --PGD sample 46 image
[2024-11-26 06:21:33,431][INFO] --PGD sample 47 image
[2024-11-26 06:21:42,856][INFO] --PGD sample 48 image
[2024-11-26 06:21:52,262][INFO] --PGD sample 49 image
[2024-11-26 06:22:01,685][INFO] --PGD sample 50 image
[2024-11-26 06:22:11,098][INFO] --PGD sample 51 image
[2024-11-26 06:22:20,519][INFO] --PGD sample 52 image
[2024-11-26 06:22:29,945][INFO] --PGD sample 53 image
[2024-11-26 06:22:39,449][INFO] --PGD sample 54 image
[2024-11-26 06:22:49,179][INFO] --PGD sample 55 image
[2024-11-26 06:22:58,615][INFO] --PGD sample 56 image
[2024-11-26 06:23:08,044][INFO] --PGD sample 57 image
[2024-11-26 06:23:17,472][INFO] --PGD sample 58 image
[2024-11-26 06:23:26,893][INFO] --PGD sample 59 image
[2024-11-26 06:23:36,330][INFO] --PGD sample 60 image
[2024-11-26 06:23:45,968][INFO] --PGD sample 61 image
[2024-11-26 06:23:55,464][INFO] --PGD sample 62 image
[2024-11-26 06:24:04,901][INFO] --PGD sample 63 image
[2024-11-26 06:24:14,354][INFO] --PGD sample 64 image
[2024-11-26 06:24:23,793][INFO] --PGD sample 65 image
[2024-11-26 06:24:33,225][INFO] --PGD sample 66 image
[2024-11-26 06:24:42,657][INFO] --PGD sample 67 image
[2024-11-26 06:24:52,112][INFO] --PGD sample 68 image
[2024-11-26 06:25:01,562][INFO] --PGD sample 69 image
[2024-11-26 06:25:11,013][INFO] --PGD sample 70 image
[2024-11-26 06:25:20,471][INFO] --PGD sample 71 image
[2024-11-26 06:25:29,925][INFO] --PGD sample 72 image
[2024-11-26 06:25:39,379][INFO] --PGD sample 73 image
[2024-11-26 06:25:48,834][INFO] --PGD sample 74 image
[2024-11-26 06:25:58,289][INFO] --PGD sample 75 image
[2024-11-26 06:26:07,741][INFO] --PGD sample 76 image
[2024-11-26 06:26:17,194][INFO] --PGD sample 77 image
[2024-11-26 06:26:26,653][INFO] --PGD sample 78 image
[2024-11-26 06:26:36,126][INFO] --PGD sample 79 image
[2024-11-26 06:26:45,584][INFO] --PGD sample 80 image
[2024-11-26 06:26:55,075][INFO] --PGD sample 81 image
[2024-11-26 06:27:04,524][INFO] --PGD sample 82 image
[2024-11-26 06:27:13,978][INFO] --PGD sample 83 image
[2024-11-26 06:27:23,440][INFO] --PGD sample 84 image
[2024-11-26 06:27:32,917][INFO] --PGD sample 85 image
[2024-11-26 06:27:42,379][INFO] --PGD sample 86 image
[2024-11-26 06:27:51,839][INFO] --PGD sample 87 image
[2024-11-26 06:28:01,298][INFO] --PGD sample 88 image
[2024-11-26 06:28:10,784][INFO] --PGD sample 89 image
[2024-11-26 06:28:20,243][INFO] --PGD sample 90 image
[2024-11-26 06:28:29,696][INFO] --PGD sample 91 image
[2024-11-26 06:28:39,156][INFO] --PGD sample 92 image
[2024-11-26 06:28:48,611][INFO] --PGD sample 93 image
[2024-11-26 06:28:58,084][INFO] --PGD sample 94 image
[2024-11-26 06:29:07,567][INFO] --PGD sample 95 image
[2024-11-26 06:29:17,043][INFO] --PGD sample 96 image
[2024-11-26 06:29:26,514][INFO] --PGD sample 97 image
[2024-11-26 06:29:35,985][INFO] --PGD sample 98 image
[2024-11-26 06:29:45,461][INFO] --PGD sample 99 image
[2024-11-26 06:29:54,948][INFO] --PGD sample 100 image
[2024-11-26 06:30:05,674][INFO] --get the 0 part of the feature_lb and feature_ub
[2024-11-26 06:30:05,674][INFO] --sample the 1 part of the originalset
[2024-11-26 06:30:05,675][INFO] --PGD sample 1 image
[2024-11-26 06:30:14,907][INFO] --PGD sample 2 image
[2024-11-26 06:30:24,235][INFO] --PGD sample 3 image
[2024-11-26 06:30:33,573][INFO] --PGD sample 4 image
[2024-11-26 06:30:42,927][INFO] --PGD sample 5 image
[2024-11-26 06:30:52,279][INFO] --PGD sample 6 image
[2024-11-26 06:31:01,614][INFO] --PGD sample 7 image
[2024-11-26 06:31:10,957][INFO] --PGD sample 8 image
[2024-11-26 06:31:20,308][INFO] --PGD sample 9 image
[2024-11-26 06:31:29,667][INFO] --PGD sample 10 image
[2024-11-26 06:31:39,033][INFO] --PGD sample 11 image
[2024-11-26 06:31:48,409][INFO] --PGD sample 12 image
[2024-11-26 06:31:57,775][INFO] --PGD sample 13 image
[2024-11-26 06:32:07,147][INFO] --PGD sample 14 image
[2024-11-26 06:32:16,511][INFO] --PGD sample 15 image
[2024-11-26 06:32:25,880][INFO] --PGD sample 16 image
[2024-11-26 06:32:35,256][INFO] --PGD sample 17 image
[2024-11-26 06:32:44,624][INFO] --PGD sample 18 image
[2024-11-26 06:32:54,010][INFO] --PGD sample 19 image
[2024-11-26 06:33:03,403][INFO] --PGD sample 20 image
