[2024-11-12 05:43:12,742][INFO] 
===== resnet18-4-feature-200-2024-11-12-05-43-12 configuration =====
  exp_fn: test_goal_repair
  seed: None
  dom: deeppoly
  start_abs_cnt: 500
  max_abs_cnt: 1000
  refine_top_k: 50
  tiny_width: 0.0004
  lr: 0.1
  batch_size: 50
  min_epochs: 15
  max_epochs: 100
  use_scheduler: True
  no_pts: True
  no_abs: False
  no_refine: True
  quiet: False
  debug: False
  net: resnet18
  no_repair: False
  repair_number: 200
  repair_batchsize: 1
  repair_location: feature
  repair_radius: 4
  loose_bound: 0.0314
  divided_repair: 2
  accuracy_loss: <function CifarArgParser.setup_rest.<locals>.ce_loss at 0x7e106976aca0>
  reset_params: False
  train_datasize: 10000
  test_datasize: 2000
  max_verifier_sec: 300
  verifier_timeout_as_safe: True
  sample_amount: 1000
  repair_batch_size: 200
  scheduler_fn: <function ExpArgParser.setup_rest.<locals>.<lambda> at 0x7e10a0969670>
===== end of resnet18-4-feature-200-2024-11-12-05-43-12 configuration =====

[2024-11-12 05:43:12,742][INFO] ===== start repair ======
[2024-11-12 05:43:12,742][INFO] For pgd attack net
[2024-11-12 05:43:13,545][INFO] --Test repair set accuracy 0.0
[2024-11-12 05:43:13,548][INFO] --Test original set accuracy 0.995
[2024-11-12 05:43:13,618][INFO] --Test test set accuracy 0.8833
[2024-11-12 05:43:13,633][INFO] --Test attack test set accuracy 0.004
[2024-11-12 05:43:13,702][INFO] --Test train set accuracy 0.9988
[2024-11-12 05:43:13,702][INFO] get the feature of the repairset, testset and trainset
[2024-11-12 05:43:13,980][INFO] sample the datas from the radius of the original data with pgd attack
[2024-11-12 05:43:13,980][INFO] --sample the 0 part of the originalset
[2024-11-12 05:43:13,980][INFO] --PGD sample 1 image
[2024-11-12 05:43:19,479][INFO] --PGD sample 2 image
[2024-11-12 05:43:25,019][INFO] --PGD sample 3 image
[2024-11-12 05:43:30,562][INFO] --PGD sample 4 image
[2024-11-12 05:43:36,090][INFO] --PGD sample 5 image
[2024-11-12 05:43:41,601][INFO] --PGD sample 6 image
[2024-11-12 05:43:47,122][INFO] --PGD sample 7 image
[2024-11-12 05:43:52,645][INFO] --PGD sample 8 image
[2024-11-12 05:43:58,173][INFO] --PGD sample 9 image
[2024-11-12 05:44:03,700][INFO] --PGD sample 10 image
[2024-11-12 05:44:09,230][INFO] --PGD sample 11 image
[2024-11-12 05:44:14,766][INFO] --PGD sample 12 image
[2024-11-12 05:44:20,293][INFO] --PGD sample 13 image
[2024-11-12 05:44:25,836][INFO] --PGD sample 14 image
[2024-11-12 05:44:31,376][INFO] --PGD sample 15 image
[2024-11-12 05:44:36,919][INFO] --PGD sample 16 image
[2024-11-12 05:44:42,461][INFO] --PGD sample 17 image
[2024-11-12 05:44:47,999][INFO] --PGD sample 18 image
[2024-11-12 05:44:53,530][INFO] --PGD sample 19 image
[2024-11-12 05:44:58,380][INFO] --PGD sample 20 image
[2024-11-12 05:45:02,366][INFO] --PGD sample 21 image
[2024-11-12 05:45:06,362][INFO] --PGD sample 22 image
[2024-11-12 05:45:10,231][INFO] --PGD sample 23 image
[2024-11-12 05:45:14,216][INFO] --PGD sample 24 image
[2024-11-12 05:45:18,151][INFO] --PGD sample 25 image
[2024-11-12 05:45:22,084][INFO] --PGD sample 26 image
[2024-11-12 05:45:26,169][INFO] --PGD sample 27 image
[2024-11-12 05:45:30,033][INFO] --PGD sample 28 image
[2024-11-12 05:45:34,019][INFO] --PGD sample 29 image
[2024-11-12 05:45:37,938][INFO] --PGD sample 30 image
[2024-11-12 05:45:41,859][INFO] --PGD sample 31 image
[2024-11-12 05:45:45,814][INFO] --PGD sample 32 image
[2024-11-12 05:45:49,683][INFO] --PGD sample 33 image
[2024-11-12 05:45:53,653][INFO] --PGD sample 34 image
[2024-11-12 05:45:57,587][INFO] --PGD sample 35 image
[2024-11-12 05:46:01,652][INFO] --PGD sample 36 image
[2024-11-12 05:46:05,617][INFO] --PGD sample 37 image
[2024-11-12 05:46:09,596][INFO] --PGD sample 38 image
[2024-11-12 05:46:13,617][INFO] --PGD sample 39 image
[2024-11-12 05:46:17,608][INFO] --PGD sample 40 image
[2024-11-12 05:46:21,613][INFO] --PGD sample 41 image
[2024-11-12 05:46:25,627][INFO] --PGD sample 42 image
[2024-11-12 05:46:29,666][INFO] --PGD sample 43 image
[2024-11-12 05:46:33,715][INFO] --PGD sample 44 image
[2024-11-12 05:46:37,780][INFO] --PGD sample 45 image
[2024-11-12 05:46:41,760][INFO] --PGD sample 46 image
[2024-11-12 05:46:45,838][INFO] --PGD sample 47 image
[2024-11-12 05:46:49,832][INFO] --PGD sample 48 image
[2024-11-12 05:46:53,876][INFO] --PGD sample 49 image
[2024-11-12 05:46:57,875][INFO] --PGD sample 50 image
[2024-11-12 05:47:01,968][INFO] --PGD sample 51 image
[2024-11-12 05:47:06,005][INFO] --PGD sample 52 image
