[2024-11-11 17:48:35,920][INFO] 
===== resnet18-8-feature-200-2024-11-11-17-48-35 configuration =====
  exp_fn: test_goal_repair
  seed: None
  dom: deeppoly
  start_abs_cnt: 500
  max_abs_cnt: 1000
  refine_top_k: 50
  tiny_width: 0.0008
  lr: 1
  batch_size: 50
  min_epochs: 15
  max_epochs: 100
  use_scheduler: True
  no_pts: True
  no_abs: False
  no_refine: True
  quiet: False
  debug: False
  net: resnet18
  no_repair: False
  repair_number: 200
  repair_batchsize: 1
  repair_location: feature
  repair_radius: 8
  loose_bound: 0.0314
  divided_repair: 2
  accuracy_loss: <function CifarArgParser.setup_rest.<locals>.ce_loss at 0x75f75ebde0d0>
  reset_params: False
  train_datasize: 10000
  test_datasize: 2000
  max_verifier_sec: 300
  verifier_timeout_as_safe: True
  sample_amount: 1000
  repair_batch_size: 200
  scheduler_fn: <function ExpArgParser.setup_rest.<locals>.<lambda> at 0x75f75ebe8700>
===== end of resnet18-8-feature-200-2024-11-11-17-48-35 configuration =====

[2024-11-11 17:48:35,920][INFO] ===== start repair ======
[2024-11-11 17:48:35,920][INFO] For pgd attack net
[2024-11-11 17:48:36,801][INFO] --Test repair set accuracy 0.0
[2024-11-11 17:48:36,804][INFO] --Test original set accuracy 0.995
[2024-11-11 17:48:36,888][INFO] --Test test set accuracy 0.8833
[2024-11-11 17:48:36,905][INFO] --Test attack test set accuracy 0.0005
[2024-11-11 17:48:36,982][INFO] --Test train set accuracy 0.9988
[2024-11-11 17:48:36,982][INFO] get the feature of the repairset, testset and trainset
[2024-11-11 17:48:37,276][INFO] sample the datas from the radius of the original data with pgd attack
[2024-11-11 17:48:37,276][INFO] --sample the 0 part of the originalset
[2024-11-11 17:48:37,277][INFO] --PGD sample 1 image
[2024-11-11 17:48:41,495][INFO] --PGD sample 2 image
[2024-11-11 17:48:45,709][INFO] --PGD sample 3 image
[2024-11-11 17:48:49,933][INFO] --PGD sample 4 image
[2024-11-11 17:48:54,140][INFO] --PGD sample 5 image
[2024-11-11 17:48:58,339][INFO] --PGD sample 6 image
[2024-11-11 17:49:02,543][INFO] --PGD sample 7 image
[2024-11-11 17:49:06,761][INFO] --PGD sample 8 image
[2024-11-11 17:49:10,990][INFO] --PGD sample 9 image
[2024-11-11 17:49:15,205][INFO] --PGD sample 10 image
[2024-11-11 17:49:19,428][INFO] --PGD sample 11 image
[2024-11-11 17:49:23,653][INFO] --PGD sample 12 image
[2024-11-11 17:49:27,874][INFO] --PGD sample 13 image
[2024-11-11 17:49:32,102][INFO] --PGD sample 14 image
[2024-11-11 17:49:36,329][INFO] --PGD sample 15 image
[2024-11-11 17:49:40,555][INFO] --PGD sample 16 image
[2024-11-11 17:49:44,768][INFO] --PGD sample 17 image
[2024-11-11 17:49:48,993][INFO] --PGD sample 18 image
[2024-11-11 17:49:53,206][INFO] --PGD sample 19 image
[2024-11-11 17:49:57,426][INFO] --PGD sample 20 image
[2024-11-11 17:50:01,641][INFO] --PGD sample 21 image
[2024-11-11 17:50:05,877][INFO] --PGD sample 22 image
[2024-11-11 17:50:10,092][INFO] --PGD sample 23 image
[2024-11-11 17:50:14,314][INFO] --PGD sample 24 image
[2024-11-11 17:50:18,530][INFO] --PGD sample 25 image
[2024-11-11 17:50:22,756][INFO] --PGD sample 26 image
[2024-11-11 17:50:26,982][INFO] --PGD sample 27 image
[2024-11-11 17:50:31,215][INFO] --PGD sample 28 image
[2024-11-11 17:50:35,441][INFO] --PGD sample 29 image
[2024-11-11 17:50:39,668][INFO] --PGD sample 30 image
[2024-11-11 17:50:43,895][INFO] --PGD sample 31 image
[2024-11-11 17:50:48,125][INFO] --PGD sample 32 image
[2024-11-11 17:50:52,356][INFO] --PGD sample 33 image
[2024-11-11 17:50:56,588][INFO] --PGD sample 34 image
[2024-11-11 17:51:00,811][INFO] --PGD sample 35 image
[2024-11-11 17:51:05,043][INFO] --PGD sample 36 image
[2024-11-11 17:51:09,275][INFO] --PGD sample 37 image
[2024-11-11 17:51:13,521][INFO] --PGD sample 38 image
[2024-11-11 17:51:17,750][INFO] --PGD sample 39 image
[2024-11-11 17:51:21,973][INFO] --PGD sample 40 image
[2024-11-11 17:51:26,203][INFO] --PGD sample 41 image
[2024-11-11 17:51:30,432][INFO] --PGD sample 42 image
[2024-11-11 17:51:34,663][INFO] --PGD sample 43 image
[2024-11-11 17:51:38,879][INFO] --PGD sample 44 image
[2024-11-11 17:51:43,090][INFO] --PGD sample 45 image
[2024-11-11 17:51:47,301][INFO] --PGD sample 46 image
[2024-11-11 17:51:51,507][INFO] --PGD sample 47 image
[2024-11-11 17:51:55,708][INFO] --PGD sample 48 image
[2024-11-11 17:51:59,916][INFO] --PGD sample 49 image
[2024-11-11 17:52:04,106][INFO] --PGD sample 50 image
[2024-11-11 17:52:08,300][INFO] --PGD sample 51 image
[2024-11-11 17:52:12,479][INFO] --PGD sample 52 image
[2024-11-11 17:52:16,656][INFO] --PGD sample 53 image
[2024-11-11 17:52:20,827][INFO] --PGD sample 54 image
[2024-11-11 17:52:24,989][INFO] --PGD sample 55 image
[2024-11-11 17:52:29,152][INFO] --PGD sample 56 image
[2024-11-11 17:52:33,317][INFO] --PGD sample 57 image
[2024-11-11 17:52:37,482][INFO] --PGD sample 58 image
[2024-11-11 17:52:41,650][INFO] --PGD sample 59 image
[2024-11-11 17:52:45,848][INFO] --PGD sample 60 image
[2024-11-11 17:52:50,020][INFO] --PGD sample 61 image
[2024-11-11 17:52:54,185][INFO] --PGD sample 62 image
[2024-11-11 17:52:58,349][INFO] --PGD sample 63 image
[2024-11-11 17:53:02,520][INFO] --PGD sample 64 image
[2024-11-11 17:53:06,693][INFO] --PGD sample 65 image
[2024-11-11 17:53:10,865][INFO] --PGD sample 66 image
[2024-11-11 17:53:15,037][INFO] --PGD sample 67 image
[2024-11-11 17:53:19,232][INFO] --PGD sample 68 image
[2024-11-11 17:53:23,408][INFO] --PGD sample 69 image
[2024-11-11 17:53:27,579][INFO] --PGD sample 70 image
[2024-11-11 17:53:31,753][INFO] --PGD sample 71 image
[2024-11-11 17:53:35,922][INFO] --PGD sample 72 image
[2024-11-11 17:53:40,094][INFO] --PGD sample 73 image
[2024-11-11 17:53:44,265][INFO] --PGD sample 74 image
[2024-11-11 17:53:48,435][INFO] --PGD sample 75 image
[2024-11-11 17:53:52,613][INFO] --PGD sample 76 image
[2024-11-11 17:53:56,802][INFO] --PGD sample 77 image
[2024-11-11 17:54:00,974][INFO] --PGD sample 78 image
[2024-11-11 17:54:05,148][INFO] --PGD sample 79 image
[2024-11-11 17:54:09,329][INFO] --PGD sample 80 image
[2024-11-11 17:54:13,507][INFO] --PGD sample 81 image
[2024-11-11 17:54:17,687][INFO] --PGD sample 82 image
[2024-11-11 17:54:21,860][INFO] --PGD sample 83 image
[2024-11-11 17:54:26,039][INFO] --PGD sample 84 image
[2024-11-11 17:54:30,219][INFO] --PGD sample 85 image
[2024-11-11 17:54:34,399][INFO] --PGD sample 86 image
[2024-11-11 17:54:38,576][INFO] --PGD sample 87 image
[2024-11-11 17:54:42,758][INFO] --PGD sample 88 image
[2024-11-11 17:54:46,941][INFO] --PGD sample 89 image
[2024-11-11 17:54:51,120][INFO] --PGD sample 90 image
[2024-11-11 17:54:55,297][INFO] --PGD sample 91 image
[2024-11-11 17:54:59,476][INFO] --PGD sample 92 image
[2024-11-11 17:55:03,663][INFO] --PGD sample 93 image
[2024-11-11 17:55:07,842][INFO] --PGD sample 94 image
[2024-11-11 17:55:12,023][INFO] --PGD sample 95 image
[2024-11-11 17:55:16,198][INFO] --PGD sample 96 image
[2024-11-11 17:55:20,372][INFO] --PGD sample 97 image
[2024-11-11 17:55:24,551][INFO] --PGD sample 98 image
[2024-11-11 17:55:28,726][INFO] --PGD sample 99 image
