[2024-11-12 00:50:53,913][INFO] 
===== vgg19-4-feature-100-2024-11-12-00-50-53 configuration =====
  exp_fn: test_goal_repair
  seed: None
  dom: deeppoly
  start_abs_cnt: 500
  max_abs_cnt: 1000
  refine_top_k: 50
  tiny_width: 0.0004
  lr: 0.1
  batch_size: 50
  min_epochs: 15
  max_epochs: 100
  use_scheduler: True
  no_pts: True
  no_abs: False
  no_refine: True
  quiet: False
  debug: False
  net: vgg19
  no_repair: False
  repair_number: 100
  repair_batchsize: 1
  repair_location: feature
  repair_radius: 4
  loose_bound: 0.0314
  divided_repair: 1
  accuracy_loss: <function CifarArgParser.setup_rest.<locals>.ce_loss at 0x727b5f70d820>
  reset_params: False
  train_datasize: 10000
  test_datasize: 1000
  max_verifier_sec: 300
  verifier_timeout_as_safe: True
  sample_amount: 1000
  repair_batch_size: 100
  scheduler_fn: <function ExpArgParser.setup_rest.<locals>.<lambda> at 0x727b592c5b80>
===== end of vgg19-4-feature-100-2024-11-12-00-50-53 configuration =====

[2024-11-12 00:50:53,913][INFO] ===== start repair ======
[2024-11-12 00:50:53,914][INFO] For pgd attack net
[2024-11-12 00:50:54,835][INFO] --Test repair set accuracy 0.0
[2024-11-12 00:50:54,840][INFO] --Test original set accuracy 1.0
[2024-11-12 00:50:55,208][INFO] --Test test set accuracy 0.9342
[2024-11-12 00:50:55,247][INFO] --Test attack test set accuracy 0.0
[2024-11-12 00:50:55,608][INFO] --Test train set accuracy 1.0
[2024-11-12 00:50:55,608][INFO] get the feature of the repairset, testset and trainset
[2024-11-12 00:50:56,447][INFO] sample the datas from the radius of the original data with pgd attack
[2024-11-12 00:50:56,447][INFO] --sample the 0 part of the originalset
[2024-11-12 00:50:56,447][INFO] --PGD sample 1 image
[2024-11-12 00:51:00,099][INFO] --PGD sample 2 image
[2024-11-12 00:51:03,773][INFO] --PGD sample 3 image
[2024-11-12 00:51:07,470][INFO] --PGD sample 4 image
[2024-11-12 00:51:11,126][INFO] --PGD sample 5 image
[2024-11-12 00:51:14,774][INFO] --PGD sample 6 image
[2024-11-12 00:51:18,419][INFO] --PGD sample 7 image
[2024-11-12 00:51:21,882][INFO] --PGD sample 8 image
[2024-11-12 00:51:25,264][INFO] --PGD sample 9 image
[2024-11-12 00:51:28,630][INFO] --PGD sample 10 image
[2024-11-12 00:51:31,997][INFO] --PGD sample 11 image
[2024-11-12 00:51:35,366][INFO] --PGD sample 12 image
[2024-11-12 00:51:38,739][INFO] --PGD sample 13 image
[2024-11-12 00:51:42,113][INFO] --PGD sample 14 image
[2024-11-12 00:51:45,486][INFO] --PGD sample 15 image
[2024-11-12 00:51:48,860][INFO] --PGD sample 16 image
[2024-11-12 00:51:52,236][INFO] --PGD sample 17 image
[2024-11-12 00:51:55,637][INFO] --PGD sample 18 image
[2024-11-12 00:51:59,032][INFO] --PGD sample 19 image
[2024-11-12 00:52:02,409][INFO] --PGD sample 20 image
[2024-11-12 00:52:05,959][INFO] --PGD sample 21 image
[2024-11-12 00:52:09,609][INFO] --PGD sample 22 image
[2024-11-12 00:52:13,267][INFO] --PGD sample 23 image
[2024-11-12 00:52:16,923][INFO] --PGD sample 24 image
[2024-11-12 00:52:20,582][INFO] --PGD sample 25 image
[2024-11-12 00:52:24,241][INFO] --PGD sample 26 image
[2024-11-12 00:52:27,892][INFO] --PGD sample 27 image
[2024-11-12 00:52:31,580][INFO] --PGD sample 28 image
[2024-11-12 00:52:35,251][INFO] --PGD sample 29 image
[2024-11-12 00:52:38,914][INFO] --PGD sample 30 image
[2024-11-12 00:52:42,597][INFO] --PGD sample 31 image
[2024-11-12 00:52:46,292][INFO] --PGD sample 32 image
[2024-11-12 00:52:49,955][INFO] --PGD sample 33 image
