[2024-11-09 09:48:52,332][INFO] 
===== vgg19-4-feature-500-2024-11-09-09-48-52 configuration =====
  exp_fn: test_goal_repair
  seed: None
  dom: deeppoly
  start_abs_cnt: 500
  max_abs_cnt: 1000
  refine_top_k: 50
  tiny_width: 0.0004
  lr: 10
  batch_size: 50
  min_epochs: 15
  max_epochs: 100
  use_scheduler: True
  no_pts: True
  no_abs: False
  no_refine: True
  quiet: False
  debug: False
  net: vgg19
  no_repair: False
  repair_number: 500
  repair_batchsize: 1
  repair_location: feature
  repair_radius: 4
  loose_bound: 0.0314
  divided_repair: 5
  accuracy_loss: <function CifarArgParser.setup_rest.<locals>.ce_loss at 0x7c95e2369d30>
  reset_params: False
  train_datasize: 10000
  test_datasize: 5000
  max_verifier_sec: 300
  verifier_timeout_as_safe: True
  sample_amount: 1000
  repair_batch_size: 500
  scheduler_fn: <function ExpArgParser.setup_rest.<locals>.<lambda> at 0x7c961b59e0d0>
===== end of vgg19-4-feature-500-2024-11-09-09-48-52 configuration =====

[2024-11-09 09:48:52,332][INFO] ===== start repair ======
[2024-11-09 09:48:52,332][INFO] For pgd attack net
[2024-11-09 09:48:53,238][INFO] --Test repair set accuracy 0.0
[2024-11-09 09:48:53,260][INFO] --Test original set accuracy 1.0
[2024-11-09 09:48:53,635][INFO] --Test test set accuracy 0.9342
[2024-11-09 09:48:53,817][INFO] --Test attack test set accuracy 0.0006
[2024-11-09 09:48:54,180][INFO] --Test train set accuracy 1.0
[2024-11-09 09:48:54,180][INFO] get the feature of the repairset, testset and trainset
[2024-11-09 09:48:55,238][INFO] sample the datas from the radius of the original data with pgd attack
[2024-11-09 09:48:55,238][INFO] --sample the 0 part of the originalset
[2024-11-09 09:48:55,238][INFO] --PGD sample 1 image
[2024-11-09 09:48:58,896][INFO] --PGD sample 2 image
[2024-11-09 09:49:02,544][INFO] --PGD sample 3 image
[2024-11-09 09:49:06,190][INFO] --PGD sample 4 image
[2024-11-09 09:49:09,834][INFO] --PGD sample 5 image
[2024-11-09 09:49:13,480][INFO] --PGD sample 6 image
[2024-11-09 09:49:17,124][INFO] --PGD sample 7 image
[2024-11-09 09:49:20,770][INFO] --PGD sample 8 image
[2024-11-09 09:49:24,414][INFO] --PGD sample 9 image
[2024-11-09 09:49:28,058][INFO] --PGD sample 10 image
[2024-11-09 09:49:31,701][INFO] --PGD sample 11 image
[2024-11-09 09:49:35,346][INFO] --PGD sample 12 image
[2024-11-09 09:49:38,992][INFO] --PGD sample 13 image
[2024-11-09 09:49:42,637][INFO] --PGD sample 14 image
[2024-11-09 09:49:46,279][INFO] --PGD sample 15 image
[2024-11-09 09:49:49,926][INFO] --PGD sample 16 image
[2024-11-09 09:49:53,570][INFO] --PGD sample 17 image
[2024-11-09 09:49:57,213][INFO] --PGD sample 18 image
[2024-11-09 09:50:00,854][INFO] --PGD sample 19 image
[2024-11-09 09:50:04,497][INFO] --PGD sample 20 image
[2024-11-09 09:50:08,144][INFO] --PGD sample 21 image
