[2024-11-11 11:30:53,045][INFO] 
===== vgg19-4-feature-500-2024-11-11-11-30-53 configuration =====
  exp_fn: test_goal_repair
  seed: None
  dom: deeppoly
  start_abs_cnt: 500
  max_abs_cnt: 1000
  refine_top_k: 50
  tiny_width: 0.0004
  lr: 1
  batch_size: 50
  min_epochs: 15
  max_epochs: 100
  use_scheduler: True
  no_pts: True
  no_abs: False
  no_refine: True
  quiet: False
  debug: False
  net: vgg19
  no_repair: False
  repair_number: 500
  repair_batchsize: 1
  repair_location: feature
  repair_radius: 4
  loose_bound: 0.0314
  divided_repair: 5
  accuracy_loss: <function CifarArgParser.setup_rest.<locals>.ce_loss at 0x75f726268d30>
  reset_params: False
  train_datasize: 10000
  test_datasize: 5000
  max_verifier_sec: 300
  verifier_timeout_as_safe: True
  sample_amount: 1000
  repair_batch_size: 500
  scheduler_fn: <function ExpArgParser.setup_rest.<locals>.<lambda> at 0x75f75ebde0d0>
===== end of vgg19-4-feature-500-2024-11-11-11-30-53 configuration =====

[2024-11-11 11:30:53,045][INFO] ===== start repair ======
[2024-11-11 11:30:53,045][INFO] For pgd attack net
[2024-11-11 11:30:53,959][INFO] --Test repair set accuracy 0.0
[2024-11-11 11:30:53,982][INFO] --Test original set accuracy 1.0
[2024-11-11 11:30:54,396][INFO] --Test test set accuracy 0.9342
[2024-11-11 11:30:54,604][INFO] --Test attack test set accuracy 0.0006
[2024-11-11 11:30:55,010][INFO] --Test train set accuracy 1.0
[2024-11-11 11:30:55,010][INFO] get the feature of the repairset, testset and trainset
[2024-11-11 11:30:56,187][INFO] sample the datas from the radius of the original data with pgd attack
[2024-11-11 11:30:56,187][INFO] --sample the 0 part of the originalset
[2024-11-11 11:30:56,187][INFO] --PGD sample 1 image
[2024-11-11 11:31:01,113][INFO] --PGD sample 2 image
[2024-11-11 11:31:06,046][INFO] --PGD sample 3 image
[2024-11-11 11:31:11,005][INFO] --PGD sample 4 image
[2024-11-11 11:31:15,957][INFO] --PGD sample 5 image
[2024-11-11 11:31:20,926][INFO] --PGD sample 6 image
[2024-11-11 11:31:25,872][INFO] --PGD sample 7 image
[2024-11-11 11:31:30,824][INFO] --PGD sample 8 image
[2024-11-11 11:31:35,790][INFO] --PGD sample 9 image
[2024-11-11 11:31:40,765][INFO] --PGD sample 10 image
[2024-11-11 11:31:45,719][INFO] --PGD sample 11 image
[2024-11-11 11:31:50,686][INFO] --PGD sample 12 image
[2024-11-11 11:31:55,644][INFO] --PGD sample 13 image
[2024-11-11 11:32:00,618][INFO] --PGD sample 14 image
[2024-11-11 11:32:05,577][INFO] --PGD sample 15 image
[2024-11-11 11:32:10,530][INFO] --PGD sample 16 image
[2024-11-11 11:32:15,487][INFO] --PGD sample 17 image
[2024-11-11 11:32:20,437][INFO] --PGD sample 18 image
[2024-11-11 11:32:25,403][INFO] --PGD sample 19 image
[2024-11-11 11:32:30,355][INFO] --PGD sample 20 image
[2024-11-11 11:32:35,323][INFO] --PGD sample 21 image
[2024-11-11 11:32:40,278][INFO] --PGD sample 22 image
[2024-11-11 11:32:45,245][INFO] --PGD sample 23 image
[2024-11-11 11:32:50,200][INFO] --PGD sample 24 image
[2024-11-11 11:32:55,121][INFO] --PGD sample 25 image
[2024-11-11 11:33:00,081][INFO] --PGD sample 26 image
[2024-11-11 11:33:05,043][INFO] --PGD sample 27 image
[2024-11-11 11:33:10,008][INFO] --PGD sample 28 image
[2024-11-11 11:33:14,965][INFO] --PGD sample 29 image
[2024-11-11 11:33:19,932][INFO] --PGD sample 30 image
[2024-11-11 11:33:24,896][INFO] --PGD sample 31 image
[2024-11-11 11:33:29,858][INFO] --PGD sample 32 image
[2024-11-11 11:33:34,836][INFO] --PGD sample 33 image
[2024-11-11 11:33:39,781][INFO] --PGD sample 34 image
[2024-11-11 11:33:44,712][INFO] --PGD sample 35 image
[2024-11-11 11:33:49,631][INFO] --PGD sample 36 image
[2024-11-11 11:33:54,560][INFO] --PGD sample 37 image
[2024-11-11 11:33:59,538][INFO] --PGD sample 38 image
[2024-11-11 11:34:04,474][INFO] --PGD sample 39 image
[2024-11-11 11:34:09,416][INFO] --PGD sample 40 image
[2024-11-11 11:34:14,349][INFO] --PGD sample 41 image
[2024-11-11 11:34:19,280][INFO] --PGD sample 42 image
[2024-11-11 11:34:24,229][INFO] --PGD sample 43 image
[2024-11-11 11:34:29,172][INFO] --PGD sample 44 image
[2024-11-11 11:34:34,107][INFO] --PGD sample 45 image
[2024-11-11 11:34:39,062][INFO] --PGD sample 46 image
[2024-11-11 11:34:44,000][INFO] --PGD sample 47 image
[2024-11-11 11:34:48,940][INFO] --PGD sample 48 image
[2024-11-11 11:34:53,880][INFO] --PGD sample 49 image
[2024-11-11 11:34:58,808][INFO] --PGD sample 50 image
[2024-11-11 11:35:03,740][INFO] --PGD sample 51 image
