For net: vgg19, radius: 4, repair_number: 50, adv_training:0.0361, PatchRepair:0.9342
For net: vgg19, radius: 4, repair_number: 100, adv_training:0.0367, PatchRepair:0.9342
For net: vgg19, radius: 4, repair_number: 200, adv_training:0.0292, PatchRepair:0.9342
For net: vgg19, radius: 4, repair_number: 500, adv_training:0.0341, PatchRepair:0.9342
For net: vgg19, radius: 4, repair_number: 1000, adv_training:0.0335, PatchRepair:0.9342
For net: vgg19, radius: 8, repair_number: 50, adv_training:0.0414, PatchRepair:0.9342
For net: vgg19, radius: 8, repair_number: 100, adv_training:0.0366, PatchRepair:0.9342
For net: vgg19, radius: 8, repair_number: 200, adv_training:0.0321, PatchRepair:0.9342
For net: vgg19, radius: 8, repair_number: 500, adv_training:0.0229, PatchRepair:0.9342
For net: vgg19, radius: 8, repair_number: 1000, adv_training:0.0257, PatchRepair:0.9342
For net: resnet18, radius: 4, repair_number: 50, adv_training:0.0567, PatchRepair:0.8833
For net: resnet18, radius: 4, repair_number: 100, adv_training:0.0666, PatchRepair:0.8833
For net: resnet18, radius: 4, repair_number: 200, adv_training:0.0599, PatchRepair:0.8833
For net: resnet18, radius: 4, repair_number: 500, adv_training:0.0541, PatchRepair:0.8833
For net: resnet18, radius: 4, repair_number: 1000, adv_training:0.0516, PatchRepair:0.8833
For net: resnet18, radius: 8, repair_number: 50, adv_training:0.0559, PatchRepair:0.8833
For net: resnet18, radius: 8, repair_number: 100, adv_training:0.0501, PatchRepair:0.8833
For net: resnet18, radius: 8, repair_number: 200, adv_training:0.0542, PatchRepair:0.8833
For net: resnet18, radius: 8, repair_number: 500, adv_training:0.0583, PatchRepair:0.8833
For net: resnet18, radius: 8, repair_number: 1000, adv_training:0.0524, PatchRepair:0.8833

