For net: vgg19, radius: 4,repair_number: 50, adv_training:0.0, PatchRepair:0.9342, original:0.0, label_repair:0.0
For net: vgg19, radius: 4,repair_number: 100, adv_training:0.0, PatchRepair:0.9342, original:0.0, label_repair:0.0
For net: vgg19, radius: 4,repair_number: 200, adv_training:0.0, PatchRepair:0.9342, original:0.0, label_repair:0.0
For net: vgg19, radius: 4,repair_number: 500, adv_training:0.0, PatchRepair:0.9342, original:0.0, label_repair:0.0
For net: vgg19, radius: 4,repair_number: 1000, adv_training:0.0, PatchRepair:0.9342, original:0.0, label_repair:0.0
For net: vgg19, radius: 8,repair_number: 50, adv_training:0.0, PatchRepair:0.9342, original:0.0, label_repair:0.0
For net: vgg19, radius: 8,repair_number: 100, adv_training:0.0, PatchRepair:0.9342, original:0.0, label_repair:0.0
For net: vgg19, radius: 8,repair_number: 200, adv_training:0.0, PatchRepair:0.9342, original:0.0, label_repair:0.0
For net: vgg19, radius: 8,repair_number: 500, adv_training:0.0, PatchRepair:0.9342, original:0.0, label_repair:0.0
For net: vgg19, radius: 8,repair_number: 1000, adv_training:0.0, PatchRepair:0.9342, original:0.0, label_repair:0.0
For net: resnet18, radius: 4,repair_number: 50, adv_training:0.0, PatchRepair:0.8832, original:0.0, label_repair:0.0
For net: resnet18, radius: 4,repair_number: 100, adv_training:0.0, PatchRepair:0.8832, original:0.0, label_repair:0.0
For net: resnet18, radius: 4,repair_number: 200, adv_training:0.0, PatchRepair:0.8832, original:0.0, label_repair:0.0
For net: resnet18, radius: 4,repair_number: 500, adv_training:0.0, PatchRepair:0.8832, original:0.0, label_repair:0.0
For net: resnet18, radius: 4,repair_number: 1000, adv_training:0.0, PatchRepair:0.8832, original:0.0, label_repair:0.0
For net: resnet18, radius: 8,repair_number: 50, adv_training:0.0, PatchRepair:0.8832, original:0.0, label_repair:0.0
For net: resnet18, radius: 8,repair_number: 100, adv_training:0.0, PatchRepair:0.8832, original:0.0, label_repair:0.0
For net: resnet18, radius: 8,repair_number: 200, adv_training:0.0, PatchRepair:0.8832, original:0.0, label_repair:0.0
For net: resnet18, radius: 8,repair_number: 500, adv_training:0.0, PatchRepair:0.8832, original:0.0, label_repair:0.0
For net: resnet18, radius: 8,repair_number: 1000, adv_training:0.0, PatchRepair:0.8832, original:0.0, label_repair:0.0

