[2023-12-23 03:17:19,160][INFO] 
===== resnet18-4-feature-100-2023-12-23-03-17-19 configuration =====
  exp_fn: test_goal_repair
  seed: None
  dom: deeppoly
  start_abs_cnt: 500
  max_abs_cnt: 1000
  refine_top_k: 50
  tiny_width: 0.0004
  lr: 10
  batch_size: 50
  min_epochs: 15
  max_epochs: 100
  use_scheduler: True
  no_pts: True
  no_abs: False
  no_refine: True
  quiet: False
  debug: False
  net: resnet18
  no_repair: False
  repair_number: 100
  repair_batchsize: 1
  repair_location: feature
  repair_radius: 4
  loose_bound: 0.0314
  divided_repair: 1
  weight_decay: 0.0
  k_coeff: 0.001
  accuracy_loss: <function CifarArgParser.setup_rest.<locals>.ce_loss at 0x7f7f1dca9430>
  support_loss: MSELoss()
  sample_amount: 1000
  reset_params: False
  train_datasize: 10000
  test_datasize: 1000
  max_verifier_sec: 300
  verifier_timeout_as_safe: True
  repair_batch_size: 100
  scheduler_fn: <function ExpArgParser.setup_rest.<locals>.<lambda> at 0x7f7f1dca9310>
===== end of resnet18-4-feature-100-2023-12-23-03-17-19 configuration =====

[2023-12-23 03:17:19,160][INFO] ===== start repair ======
[2023-12-23 03:17:19,160][INFO] For pgd attack net
[2023-12-23 03:17:19,840][INFO] --Test repair set accuracy 0.0
[2023-12-23 03:17:19,843][INFO] --Test original set accuracy 0.99
[2023-12-23 03:17:19,936][INFO] --Test test set accuracy 0.8833
[2023-12-23 03:17:19,946][INFO] --Test attack test set accuracy 0.004
[2023-12-23 03:17:20,038][INFO] --Test train set accuracy 0.9988
[2023-12-23 03:17:20,038][INFO] get the feature of the repairset, testset and trainset
[2023-12-23 03:17:20,306][INFO] sample the datas from the radius of the original data with pgd attack
[2023-12-23 03:17:20,306][INFO] --sample the 0 part of the originalset
[2023-12-23 03:17:20,307][INFO] --FGSM sample 1 image
[2023-12-23 03:17:20,739][INFO] --PGD sample 1 image
[2023-12-23 03:17:25,188][INFO] --FGSM sample 2 image
[2023-12-23 03:17:25,635][INFO] --PGD sample 2 image
[2023-12-23 03:17:30,332][INFO] --FGSM sample 3 image
[2023-12-23 03:17:30,795][INFO] --PGD sample 3 image
[2023-12-23 03:17:35,451][INFO] --FGSM sample 4 image
[2023-12-23 03:17:35,960][INFO] --PGD sample 4 image
[2023-12-23 03:17:40,514][INFO] --FGSM sample 5 image
[2023-12-23 03:17:40,952][INFO] --PGD sample 5 image
[2023-12-23 03:17:45,408][INFO] --FGSM sample 6 image
[2023-12-23 03:17:45,850][INFO] --PGD sample 6 image
[2023-12-23 03:17:50,239][INFO] --FGSM sample 7 image
[2023-12-23 03:17:50,698][INFO] --PGD sample 7 image
[2023-12-23 03:17:55,162][INFO] --FGSM sample 8 image
[2023-12-23 03:17:55,614][INFO] --PGD sample 8 image
[2023-12-23 03:18:00,104][INFO] --FGSM sample 9 image
[2023-12-23 03:18:00,525][INFO] --PGD sample 9 image
[2023-12-23 03:18:04,895][INFO] --FGSM sample 10 image
[2023-12-23 03:18:05,364][INFO] --PGD sample 10 image
[2023-12-23 03:18:09,923][INFO] --FGSM sample 11 image
[2023-12-23 03:18:10,385][INFO] --PGD sample 11 image
[2023-12-23 03:18:14,736][INFO] --FGSM sample 12 image
[2023-12-23 03:18:15,187][INFO] --PGD sample 12 image
[2023-12-23 03:18:19,554][INFO] --FGSM sample 13 image
[2023-12-23 03:18:20,010][INFO] --PGD sample 13 image
[2023-12-23 03:18:24,432][INFO] --FGSM sample 14 image
[2023-12-23 03:18:24,875][INFO] --PGD sample 14 image
[2023-12-23 03:18:29,258][INFO] --FGSM sample 15 image
[2023-12-23 03:18:29,703][INFO] --PGD sample 15 image
[2023-12-23 03:18:34,065][INFO] --FGSM sample 16 image
[2023-12-23 03:18:34,503][INFO] --PGD sample 16 image
[2023-12-23 03:18:38,801][INFO] --FGSM sample 17 image
[2023-12-23 03:18:39,283][INFO] --PGD sample 17 image
[2023-12-23 03:18:43,620][INFO] --FGSM sample 18 image
[2023-12-23 03:18:44,077][INFO] --PGD sample 18 image
[2023-12-23 03:18:48,547][INFO] --FGSM sample 19 image
[2023-12-23 03:18:49,004][INFO] --PGD sample 19 image
[2023-12-23 03:18:53,784][INFO] --FGSM sample 20 image
[2023-12-23 03:18:54,253][INFO] --PGD sample 20 image
[2023-12-23 03:18:58,982][INFO] --FGSM sample 21 image
[2023-12-23 03:18:59,477][INFO] --PGD sample 21 image
[2023-12-23 03:19:04,252][INFO] --FGSM sample 22 image
[2023-12-23 03:19:04,738][INFO] --PGD sample 22 image
[2023-12-23 03:19:09,629][INFO] --FGSM sample 23 image
[2023-12-23 03:19:10,119][INFO] --PGD sample 23 image
[2023-12-23 03:19:14,868][INFO] --FGSM sample 24 image
[2023-12-23 03:19:15,374][INFO] --PGD sample 24 image
[2023-12-23 03:19:20,021][INFO] --FGSM sample 25 image
[2023-12-23 03:19:20,474][INFO] --PGD sample 25 image
[2023-12-23 03:19:24,940][INFO] --FGSM sample 26 image
[2023-12-23 03:19:25,471][INFO] --PGD sample 26 image
[2023-12-23 03:19:29,866][INFO] --FGSM sample 27 image
[2023-12-23 03:19:32,523][INFO] --The attack_datas is empty, we use the repair data as the attack data
[2023-12-23 03:19:32,523][INFO] --PGD sample 27 image
[2023-12-23 03:19:36,782][INFO] --FGSM sample 28 image
[2023-12-23 03:19:37,230][INFO] --PGD sample 28 image
[2023-12-23 03:19:41,684][INFO] --FGSM sample 29 image
[2023-12-23 03:19:42,142][INFO] --PGD sample 29 image
[2023-12-23 03:19:46,602][INFO] --FGSM sample 30 image
[2023-12-23 03:19:47,046][INFO] --PGD sample 30 image
[2023-12-23 03:19:51,553][INFO] --FGSM sample 31 image
[2023-12-23 03:19:52,023][INFO] --PGD sample 31 image
[2023-12-23 03:19:56,695][INFO] --FGSM sample 32 image
[2023-12-23 03:19:57,174][INFO] --PGD sample 32 image
[2023-12-23 03:20:01,657][INFO] --FGSM sample 33 image
[2023-12-23 03:20:02,111][INFO] --PGD sample 33 image
[2023-12-23 03:20:06,661][INFO] --FGSM sample 34 image
[2023-12-23 03:20:07,107][INFO] --PGD sample 34 image
[2023-12-23 03:20:11,651][INFO] --FGSM sample 35 image
[2023-12-23 03:20:12,119][INFO] --PGD sample 35 image
[2023-12-23 03:20:16,686][INFO] --FGSM sample 36 image
[2023-12-23 03:20:17,168][INFO] --PGD sample 36 image
[2023-12-23 03:20:21,868][INFO] --FGSM sample 37 image
[2023-12-23 03:20:22,348][INFO] --PGD sample 37 image
[2023-12-23 03:20:27,473][INFO] --FGSM sample 38 image
[2023-12-23 03:20:27,937][INFO] --PGD sample 38 image
[2023-12-23 03:20:32,851][INFO] --FGSM sample 39 image
[2023-12-23 03:20:33,321][INFO] --PGD sample 39 image
[2023-12-23 03:20:38,137][INFO] --FGSM sample 40 image
[2023-12-23 03:20:38,598][INFO] --PGD sample 40 image
[2023-12-23 03:20:43,114][INFO] --FGSM sample 41 image
[2023-12-23 03:20:43,569][INFO] --PGD sample 41 image
[2023-12-23 03:20:48,097][INFO] --FGSM sample 42 image
[2023-12-23 03:20:50,816][INFO] --The attack_datas is empty, we use the repair data as the attack data
[2023-12-23 03:20:50,816][INFO] --PGD sample 42 image
[2023-12-23 03:20:55,477][INFO] --FGSM sample 43 image
[2023-12-23 03:20:55,972][INFO] --PGD sample 43 image
[2023-12-23 03:21:00,671][INFO] --FGSM sample 44 image
[2023-12-23 03:21:01,148][INFO] --PGD sample 44 image
[2023-12-23 03:21:06,156][INFO] --FGSM sample 45 image
[2023-12-23 03:21:06,594][INFO] --PGD sample 45 image
[2023-12-23 03:21:11,117][INFO] --FGSM sample 46 image
[2023-12-23 03:21:11,558][INFO] --PGD sample 46 image
[2023-12-23 03:21:16,388][INFO] --FGSM sample 47 image
[2023-12-23 03:21:16,815][INFO] --PGD sample 47 image
[2023-12-23 03:21:21,166][INFO] --FGSM sample 48 image
[2023-12-23 03:21:21,593][INFO] --PGD sample 48 image
[2023-12-23 03:21:26,014][INFO] --FGSM sample 49 image
[2023-12-23 03:21:26,455][INFO] --PGD sample 49 image
[2023-12-23 03:21:31,116][INFO] --FGSM sample 50 image
[2023-12-23 03:21:33,779][INFO] --The attack_datas is empty, we use the repair data as the attack data
[2023-12-23 03:21:33,779][INFO] --PGD sample 50 image
[2023-12-23 03:21:38,273][INFO] --FGSM sample 51 image
[2023-12-23 03:21:38,745][INFO] --PGD sample 51 image
[2023-12-23 03:21:43,287][INFO] --FGSM sample 52 image
[2023-12-23 03:21:45,680][INFO] --PGD sample 52 image
[2023-12-23 03:21:50,872][INFO] --FGSM sample 53 image
[2023-12-23 03:21:53,658][INFO] --The attack_datas is empty, we use the repair data as the attack data
[2023-12-23 03:21:53,658][INFO] --PGD sample 53 image
[2023-12-23 03:21:58,124][INFO] --FGSM sample 54 image
[2023-12-23 03:21:58,577][INFO] --PGD sample 54 image
[2023-12-23 03:22:03,022][INFO] --FGSM sample 55 image
[2023-12-23 03:22:03,461][INFO] --PGD sample 55 image
[2023-12-23 03:22:07,864][INFO] --FGSM sample 56 image
[2023-12-23 03:22:08,313][INFO] --PGD sample 56 image
[2023-12-23 03:22:12,836][INFO] --FGSM sample 57 image
[2023-12-23 03:22:13,353][INFO] --PGD sample 57 image
[2023-12-23 03:22:17,970][INFO] --FGSM sample 58 image
[2023-12-23 03:22:20,659][INFO] --The attack_datas is empty, we use the repair data as the attack data
[2023-12-23 03:22:20,659][INFO] --PGD sample 58 image
[2023-12-23 03:22:25,612][INFO] --FGSM sample 59 image
[2023-12-23 03:22:26,073][INFO] --PGD sample 59 image
[2023-12-23 03:22:30,572][INFO] --FGSM sample 60 image
[2023-12-23 03:22:31,028][INFO] --PGD sample 60 image
[2023-12-23 03:22:35,501][INFO] --FGSM sample 61 image
[2023-12-23 03:22:35,967][INFO] --PGD sample 61 image
[2023-12-23 03:22:40,456][INFO] --FGSM sample 62 image
[2023-12-23 03:22:40,918][INFO] --PGD sample 62 image
