[2024-11-12 04:00:17,209][INFO] 
===== vgg19-8-feature-100-2024-11-12-04-00-17 configuration =====
  exp_fn: test_goal_repair
  seed: None
  dom: deeppoly
  start_abs_cnt: 500
  max_abs_cnt: 1000
  refine_top_k: 50
  tiny_width: 0.0008
  lr: 10
  batch_size: 50
  min_epochs: 10
  max_epochs: 10
  use_scheduler: True
  no_pts: True
  no_abs: False
  no_refine: True
  quiet: False
  debug: False
  net: vgg19
  no_repair: False
  repair_number: 100
  repair_batchsize: 1
  repair_location: feature
  repair_radius: 8
  loose_bound: 0.0314
  divided_repair: 1
  accuracy_loss: <function CifarArgParser.setup_rest.<locals>.ce_loss at 0x782d11f69670>
  reset_params: False
  train_datasize: 10000
  test_datasize: 1000
  max_verifier_sec: 300
  verifier_timeout_as_safe: True
  sample_amount: 1000
  repair_batch_size: 100
  scheduler_fn: <function ExpArgParser.setup_rest.<locals>.<lambda> at 0x782dae9e5790>
===== end of vgg19-8-feature-100-2024-11-12-04-00-17 configuration =====

[2024-11-12 04:00:17,209][INFO] ===== start repair ======
[2024-11-12 04:00:17,209][INFO] For pgd attack net
[2024-11-12 04:00:18,078][INFO] --Test repair set accuracy 0.0
[2024-11-12 04:00:18,083][INFO] --Test original set accuracy 1.0
[2024-11-12 04:00:18,446][INFO] --Test test set accuracy 0.9342
[2024-11-12 04:00:18,484][INFO] --Test attack test set accuracy 0.001
[2024-11-12 04:00:18,846][INFO] --Test train set accuracy 1.0
[2024-11-12 04:00:18,846][INFO] get the feature of the repairset, testset and trainset
[2024-11-12 04:00:19,642][INFO] sample the datas from the radius of the original data with pgd attack
[2024-11-12 04:00:19,642][INFO] --sample the 0 part of the originalset
[2024-11-12 04:00:19,642][INFO] --FGSM sample 1 image
[2024-11-12 04:00:20,018][INFO] --PGD sample 1 image
[2024-11-12 04:00:23,713][INFO] --FGSM sample 2 image
[2024-11-12 04:00:24,094][INFO] --PGD sample 2 image
[2024-11-12 04:00:27,791][INFO] --FGSM sample 3 image
[2024-11-12 04:00:28,167][INFO] --PGD sample 3 image
[2024-11-12 04:00:31,850][INFO] --FGSM sample 4 image
[2024-11-12 04:00:32,224][INFO] --PGD sample 4 image
[2024-11-12 04:00:35,914][INFO] --FGSM sample 5 image
[2024-11-12 04:00:36,290][INFO] --PGD sample 5 image
[2024-11-12 04:00:39,977][INFO] --FGSM sample 6 image
[2024-11-12 04:00:40,351][INFO] --PGD sample 6 image
[2024-11-12 04:00:44,032][INFO] --FGSM sample 7 image
[2024-11-12 04:00:44,411][INFO] --PGD sample 7 image
[2024-11-12 04:00:48,095][INFO] --FGSM sample 8 image
[2024-11-12 04:00:48,470][INFO] --PGD sample 8 image
[2024-11-12 04:00:52,154][INFO] --FGSM sample 9 image
[2024-11-12 04:00:52,532][INFO] --PGD sample 9 image
[2024-11-12 04:00:56,235][INFO] --FGSM sample 10 image
[2024-11-12 04:00:56,612][INFO] --PGD sample 10 image
