For net: CNN_small, radius: 0.05, repair_number: 50, adv_training:1.0, PatchRepair:0.9663, original:0.7064
For net: CNN_small, radius: 0.05, repair_number: 100, adv_training:1.0, PatchRepair:0.9827, original:0.7064
For net: CNN_small, radius: 0.05, repair_number: 200, adv_training:1.0, PatchRepair:0.9827, original:0.7071
For net: CNN_small, radius: 0.05, repair_number: 500, adv_training:1.0, PatchRepair:0.9827, original:0.7062
For net: CNN_small, radius: 0.05, repair_number: 1000, adv_training:1.0, PatchRepair:0.9827, original:0.7065
For net: CNN_small, radius: 0.1, repair_number: 50, adv_training:0.9995, PatchRepair:0.9823, original:0.0814
For net: CNN_small, radius: 0.1, repair_number: 100, adv_training:0.9998, PatchRepair:0.982, original:0.082
For net: CNN_small, radius: 0.1, repair_number: 200, adv_training:0.9997, PatchRepair:0.9824, original:0.0813
For net: CNN_small, radius: 0.1, repair_number: 500, adv_training:0.9996, PatchRepair:0.9825, original:0.0814
For net: CNN_small, radius: 0.1, repair_number: 1000, adv_training:0.9995, PatchRepair:0.9826, original:0.0818
For net: CNN_small, radius: 0.3, repair_number: 50, adv_training:0.8531, PatchRepair:0.9827, original:0.0
For net: CNN_small, radius: 0.3, repair_number: 100, adv_training:0.8211, PatchRepair:0.9827, original:0.0
For net: CNN_small, radius: 0.3, repair_number: 200, adv_training:0.8581, PatchRepair:0.9827, original:0.0
For net: CNN_small, radius: 0.3, repair_number: 500, adv_training:0.851, PatchRepair:0.9827, original:0.0
For net: CNN_small, radius: 0.3, repair_number: 1000, adv_training:0.8459, PatchRepair:0.982, original:0.0
For net: FNN_small, radius: 0.05, repair_number: 50, adv_training:0.9935, PatchRepair:0.8998, original:0.0997
For net: FNN_small, radius: 0.05, repair_number: 100, adv_training:0.9941, PatchRepair:0.9645, original:0.0993
For net: FNN_small, radius: 0.05, repair_number: 200, adv_training:0.9942, PatchRepair:0.9658, original:0.0995
For net: FNN_small, radius: 0.05, repair_number: 500, adv_training:0.9928, PatchRepair:0.9656, original:0.0998
For net: FNN_small, radius: 0.05, repair_number: 1000, adv_training:0.9937, PatchRepair:0.9658, original:0.0994
For net: FNN_small, radius: 0.1, repair_number: 50, adv_training:0.8435, PatchRepair:0.9625, original:0.0002
For net: FNN_small, radius: 0.1, repair_number: 100, adv_training:0.8609, PatchRepair:0.9496, original:0.0002
For net: FNN_small, radius: 0.1, repair_number: 200, adv_training:0.8769, PatchRepair:0.9525, original:0.0002
For net: FNN_small, radius: 0.1, repair_number: 500, adv_training:0.8548, PatchRepair:0.9529, original:0.0002
For net: FNN_small, radius: 0.1, repair_number: 1000, adv_training:0.8786, PatchRepair:0.9653, original:0.0002
For net: FNN_small, radius: 0.3, repair_number: 50, adv_training:0.1135, PatchRepair:0.868, original:0.0
For net: FNN_small, radius: 0.3, repair_number: 100, adv_training:0.1135, PatchRepair:0.962, original:0.0

For net: FNN_small, radius: 0.3, repair_number: 200, adv_training:0.1135, PatchRepair:0.9115, original:0.0
For net: FNN_small, radius: 0.3, repair_number: 500, adv_training:0.1135, PatchRepair:0.9205, original:0.0
For net: FNN_small, radius: 0.3, repair_number: 1000, adv_training:0.1135, PatchRepair:0.9655, original:0.0

For net: FNN_big, radius: 0.05, repair_number: 50, adv_training:1.0, PatchRepair:0.9703, original:0.4047

For net: FNN_big, radius: 0.05, repair_number: 100, adv_training:1.0, PatchRepair:0.9712, original:0.405

For net: FNN_big, radius: 0.05, repair_number: 200, adv_training:1.0, PatchRepair:0.9709, original:0.4049

For net: FNN_big, radius: 0.05, repair_number: 500, adv_training:0.9999, PatchRepair:0.9718, original:0.4052
For net: FNN_big, radius: 0.05, repair_number: 1000, adv_training:1.0, PatchRepair:0.9718, original:0.4051
For net: FNN_big, radius: 0.1, repair_number: 50, adv_training:0.9807, PatchRepair:0.9713, original:0.0154
For net: FNN_big, radius: 0.1, repair_number: 100, adv_training:0.9818, PatchRepair:0.9715, original:0.0156
For net: FNN_big, radius: 0.1, repair_number: 200, adv_training:0.9817, PatchRepair:0.9709, original:0.0157
For net: FNN_big, radius: 0.1, repair_number: 500, adv_training:0.9776, PatchRepair:0.9716, original:0.0155
For net: FNN_big, radius: 0.1, repair_number: 1000, adv_training:0.9727, PatchRepair:0.9718, original:0.0156
For net: FNN_big, radius: 0.3, repair_number: 50, adv_training:0.0207, PatchRepair:0.9604, original:0.0
For net: FNN_big, radius: 0.3, repair_number: 100, adv_training:0.1135, PatchRepair:0.9675, original:0.0



For net: CNN_small, radius: 0.05, repair_number: 50, adv_training:0.7413, PatchRepair:0.9663, original:0.7062
For net: CNN_small, radius: 0.05, repair_number: 100, adv_training:0.8196, PatchRepair:0.9827, original:0.7068
For net: CNN_small, radius: 0.05, repair_number: 200, adv_training:0.8613, PatchRepair:0.9827, original:0.7057
For net: CNN_small, radius: 0.05, repair_number: 500, adv_training:0.8038, PatchRepair:0.9827, original:0.7064
For net: CNN_small, radius: 0.05, repair_number: 1000, adv_training:0.7059, PatchRepair:0.9827, original:0.7066
For net: CNN_small, radius: 0.1, repair_number: 50, adv_training:0.5095, PatchRepair:0.9822, original:0.0813
For net: CNN_small, radius: 0.1, repair_number: 100, adv_training:0.5783, PatchRepair:0.9819, original:0.0819
For net: CNN_small, radius: 0.1, repair_number: 200, adv_training:0.4976, PatchRepair:0.9824, original:0.0827
For net: CNN_small, radius: 0.1, repair_number: 500, adv_training:0.4648, PatchRepair:0.9825, original:0.0821
For net: CNN_small, radius: 0.1, repair_number: 1000, adv_training:0.2822, PatchRepair:0.9826, original:0.0822
For net: CNN_small, radius: 0.3, repair_number: 50, adv_training:0.0, PatchRepair:0.9827, original:0.0
For net: CNN_small, radius: 0.3, repair_number: 100, adv_training:0.0, PatchRepair:0.9827, original:0.0
For net: CNN_small, radius: 0.3, repair_number: 200, adv_training:0.0, PatchRepair:0.9827, original:0.0
For net: CNN_small, radius: 0.3, repair_number: 500, adv_training:0.0, PatchRepair:0.9827, original:0.0
For net: CNN_small, radius: 0.3, repair_number: 1000, adv_training:0.0, PatchRepair:0.9821, original:0.0
For net: FNN_small, radius: 0.05, repair_number: 50, adv_training:0.1009, PatchRepair:0.8996, original:0.0997
