[2023-12-20 11:02:05,886][INFO] 
===== CNN_small-0.05-100-small-2023-12-20-11-02-05 configuration =====
  exp_fn: test_goal_test
  seed: None
  dom: deeppoly
  start_abs_cnt: 500
  max_abs_cnt: 1000
  refine_top_k: 800
  tiny_width: 0.001
  lr: 0.001
  batch_size: 50
  min_epochs: 25
  max_epochs: 45
  use_scheduler: True
  no_pts: False
  no_abs: False
  no_refine: False
  quiet: False
  debug: False
  net: CNN_small
  no_repair: False
  repair_number: 100
  repair_batchsize: 1
  patch_size: small
  repair_radius: 0.05
  divided_repair: 1
  accuracy_loss: <function MnistArgParser.setup_rest.<locals>.ce_loss at 0x7f5cb597bb80>
  sample_amount: 5000
  reset_params: False
  train_datasize: 10000
  test_datasize: 10000
  repair_batch_size: 100
  scheduler_fn: <function ExpArgParser.setup_rest.<locals>.<lambda> at 0x7f5cbaac58b0>
===== end of CNN_small-0.05-100-small-2023-12-20-11-02-05 configuration =====

[2023-12-20 11:02:05,886][INFO] ===== start repair ======
[2023-12-20 11:02:05,886][INFO] For pgd attack net
[2023-12-20 11:02:06,149][INFO] --big patch network: --- PatchNet ---
Name: small patch network 99
--- End of PatchNet ---
[2023-12-20 11:02:06,445][INFO] --load the trainset and testset as testing set
[2023-12-20 11:02:06,460][INFO] --evaluate the original net on testset
[2023-12-20 11:02:06,462][INFO] --For testset, out of 10000 items, ratio 0.9827
[2023-12-20 11:02:06,462][INFO] --evaluate the repaired net on testset and get the bitmap
[2023-12-20 11:02:06,561][INFO] --For testset, out of 10000 items, ratio 0.9827
[2023-12-20 11:02:06,561][INFO] --adv training
[2023-12-20 11:02:06,579][INFO] --epoch 0 loss 2.2100916504859924
[2023-12-20 11:02:06,592][INFO] --epoch 1 loss 1.9730892777442932
[2023-12-20 11:02:06,604][INFO] --epoch 2 loss 1.816715121269226
[2023-12-20 11:02:06,617][INFO] --epoch 3 loss 1.6356325447559357
[2023-12-20 11:02:06,630][INFO] --epoch 4 loss 1.4692915976047516
[2023-12-20 11:02:06,643][INFO] --epoch 5 loss 1.2071447521448135
[2023-12-20 11:02:06,656][INFO] --epoch 6 loss 1.0228434056043625
[2023-12-20 11:02:06,669][INFO] --epoch 7 loss 1.0348524004220963
[2023-12-20 11:02:06,681][INFO] --epoch 8 loss 0.7529958337545395
[2023-12-20 11:02:06,693][INFO] --epoch 9 loss 0.5599880740046501
[2023-12-20 11:02:06,707][INFO] --epoch 10 loss 0.531256228685379
[2023-12-20 11:02:06,719][INFO] --epoch 11 loss 0.25189749151468277
[2023-12-20 11:02:06,732][INFO] --epoch 12 loss 0.33750055357813835
[2023-12-20 11:02:06,744][INFO] --epoch 13 loss 0.3215717785060406
[2023-12-20 11:02:06,757][INFO] --epoch 14 loss 0.11503933556377888
[2023-12-20 11:02:06,770][INFO] --epoch 15 loss 0.19840331748127937
[2023-12-20 11:02:06,782][INFO] --epoch 16 loss 0.1346060149371624
[2023-12-20 11:02:06,794][INFO] --epoch 17 loss 0.28188653849065304
[2023-12-20 11:02:06,806][INFO] --epoch 18 loss 0.07376642525196075
[2023-12-20 11:02:06,819][INFO] --epoch 19 loss 0.08010105974972248
[2023-12-20 11:02:06,832][INFO] --epoch 20 loss 0.058094910345971584
[2023-12-20 11:02:06,845][INFO] --epoch 21 loss 0.042274389415979385
[2023-12-20 11:02:06,857][INFO] --epoch 22 loss 0.03730707103386521
[2023-12-20 11:02:06,869][INFO] --epoch 23 loss 0.04496676195412874
[2023-12-20 11:02:06,882][INFO] --epoch 24 loss 0.04893550788983703
[2023-12-20 11:02:06,894][INFO] --epoch 25 loss 0.03933962760493159
[2023-12-20 11:02:06,906][INFO] --epoch 26 loss 0.03279825812205672
[2023-12-20 11:02:06,919][INFO] --epoch 27 loss 0.029081029817461967
[2023-12-20 11:02:06,931][INFO] --epoch 28 loss 0.028512497432529926
[2023-12-20 11:02:06,944][INFO] --epoch 29 loss 0.03229946410283446
[2023-12-20 11:02:06,955][INFO] --epoch 30 loss 0.02232352807186544
[2023-12-20 11:02:06,968][INFO] --epoch 31 loss 0.02543987100943923
[2023-12-20 11:02:06,980][INFO] --epoch 32 loss 0.022598985116928816
[2023-12-20 11:02:06,993][INFO] --epoch 33 loss 0.02023164415732026
[2023-12-20 11:02:07,005][INFO] --epoch 34 loss 0.01914270408451557
[2023-12-20 11:02:07,018][INFO] --epoch 35 loss 0.01997111178934574
[2023-12-20 11:02:07,031][INFO] --epoch 36 loss 0.02179307583719492
[2023-12-20 11:02:07,044][INFO] --epoch 37 loss 0.019235146697610617
[2023-12-20 11:02:07,056][INFO] --epoch 38 loss 0.018819218035787344
[2023-12-20 11:02:07,070][INFO] --epoch 39 loss 0.021160863805562258
[2023-12-20 11:02:07,082][INFO] --epoch 40 loss 0.022571398876607418
[2023-12-20 11:02:07,095][INFO] --epoch 41 loss 0.020798399345949292
[2023-12-20 11:02:07,107][INFO] --epoch 42 loss 0.020136739825829864
[2023-12-20 11:02:07,120][INFO] --epoch 43 loss 0.019271382596343756
[2023-12-20 11:02:07,132][INFO] --epoch 44 loss 0.019333559088408947
[2023-12-20 11:02:07,144][INFO] --epoch 45 loss 0.018984154798090458
[2023-12-20 11:02:07,156][INFO] --epoch 46 loss 0.01895960350520909
[2023-12-20 11:02:07,168][INFO] --epoch 47 loss 0.01885920064523816
[2023-12-20 11:02:07,182][INFO] --epoch 48 loss 0.018810563487932086
[2023-12-20 11:02:07,194][INFO] --epoch 49 loss 0.018829551059752703
[2023-12-20 11:02:07,208][INFO] --epoch 50 loss 0.01881610811688006
[2023-12-20 11:02:07,220][INFO] --epoch 51 loss 0.01880452618934214
[2023-12-20 11:02:07,233][INFO] --epoch 52 loss 0.018787008710205555
[2023-12-20 11:02:07,246][INFO] --epoch 53 loss 0.01866617612540722
[2023-12-20 11:02:07,258][INFO] --epoch 54 loss 0.018533372785896063
[2023-12-20 11:02:07,270][INFO] --epoch 55 loss 0.018409125041216612
[2023-12-20 11:02:07,283][INFO] --epoch 56 loss 0.018022926757112145
[2023-12-20 11:02:07,297][INFO] --epoch 57 loss 0.017922450555488467
[2023-12-20 11:02:07,310][INFO] --epoch 58 loss 0.017275728518143296
[2023-12-20 11:02:07,322][INFO] --epoch 59 loss 0.017178362468257546
[2023-12-20 11:02:07,335][INFO] --epoch 60 loss 0.01727944379672408
[2023-12-20 11:02:07,348][INFO] --epoch 61 loss 0.01664529531262815
[2023-12-20 11:02:07,359][INFO] --epoch 62 loss 0.016244570026174188
[2023-12-20 11:02:07,371][INFO] --epoch 63 loss 0.015877121593803167
[2023-12-20 11:02:07,384][INFO] --epoch 64 loss 0.01672444515861571
[2023-12-20 11:02:07,396][INFO] --epoch 65 loss 0.02060349378734827
[2023-12-20 11:02:07,409][INFO] --epoch 66 loss 0.021661457372829318
[2023-12-20 11:02:07,421][INFO] --epoch 67 loss 0.02397458883933723
[2023-12-20 11:02:07,433][INFO] --epoch 68 loss 0.017979302210733294
[2023-12-20 11:02:07,446][INFO] --epoch 69 loss 0.021493176463991404
[2023-12-20 11:02:07,458][INFO] --epoch 70 loss 0.022762318840250373
[2023-12-20 11:02:07,471][INFO] --epoch 71 loss 0.02531869476661086
[2023-12-20 11:02:07,484][INFO] --epoch 72 loss 0.0222552630584687
[2023-12-20 11:02:07,496][INFO] --epoch 73 loss 0.01990547776222229
[2023-12-20 11:02:07,508][INFO] --epoch 74 loss 0.01712164538912475
[2023-12-20 11:02:07,521][INFO] --epoch 75 loss 0.026566317537799478
[2023-12-20 11:02:07,534][INFO] --epoch 76 loss 0.023445275146514177
[2023-12-20 11:02:07,547][INFO] --epoch 77 loss 0.03338176570832729
[2023-12-20 11:02:07,560][INFO] --epoch 78 loss 0.02475329488515854
[2023-12-20 11:02:07,573][INFO] --epoch 79 loss 0.03011660324409604
[2023-12-20 11:02:07,586][INFO] --epoch 80 loss 0.03856331016868353
[2023-12-20 11:02:07,598][INFO] --epoch 81 loss 0.029455145820975304
[2023-12-20 11:02:07,611][INFO] --epoch 82 loss 0.021947197150439024
[2023-12-20 11:02:07,623][INFO] --epoch 83 loss 0.06606314308010042
[2023-12-20 11:02:07,635][INFO] --epoch 84 loss 0.026208723662421107
[2023-12-20 11:02:07,647][INFO] --epoch 85 loss 0.034318579360842705
[2023-12-20 11:02:07,659][INFO] --epoch 86 loss 0.03307999297976494
[2023-12-20 11:02:07,672][INFO] --epoch 87 loss 0.03459991700947285
[2023-12-20 11:02:07,684][INFO] --epoch 88 loss 0.06242074863985181
[2023-12-20 11:02:07,696][INFO] --epoch 89 loss 0.023474846500903368
[2023-12-20 11:02:07,710][INFO] --epoch 90 loss 0.020929615013301373
[2023-12-20 11:02:07,722][INFO] --epoch 91 loss 0.01690034498460591
