[2023-12-20 22:01:53,812][INFO] 
===== CNN_small-0.3-1000-small-2023-12-20-22-01-53 configuration =====
  exp_fn: test_goal_test
  seed: None
  dom: deeppoly
  start_abs_cnt: 500
  max_abs_cnt: 1000
  refine_top_k: 800
  tiny_width: 0.001
  lr: 0.001
  batch_size: 50
  min_epochs: 25
  max_epochs: 45
  use_scheduler: True
  no_pts: False
  no_abs: False
  no_refine: False
  quiet: False
  debug: False
  net: CNN_small
  no_repair: False
  repair_number: 1000
  repair_batchsize: 1
  patch_size: small
  repair_radius: 0.3
  divided_repair: 1
  accuracy_loss: <function MnistArgParser.setup_rest.<locals>.ce_loss at 0x7f5cb597bdc0>
  sample_amount: 5000
  reset_params: False
  train_datasize: 10000
  test_datasize: 10000
  repair_batch_size: 1000
  scheduler_fn: <function ExpArgParser.setup_rest.<locals>.<lambda> at 0x7f5cb598daf0>
===== end of CNN_small-0.3-1000-small-2023-12-20-22-01-53 configuration =====

[2023-12-20 22:01:53,813][INFO] ===== start repair ======
[2023-12-20 22:01:53,813][INFO] For pgd attack net
[2023-12-20 22:01:55,956][INFO] --big patch network: --- PatchNet ---
Name: small patch network 999
--- End of PatchNet ---
[2023-12-20 22:01:58,605][INFO] --load the trainset and testset as testing set
[2023-12-20 22:01:58,621][INFO] --evaluate the original net on testset
[2023-12-20 22:01:58,623][INFO] --For testset, out of 10000 items, ratio 0.9827
[2023-12-20 22:01:58,623][INFO] --evaluate the repaired net on testset and get the bitmap
[2023-12-20 22:01:59,366][INFO] --For testset, out of 10000 items, ratio 0.9827
[2023-12-20 22:01:59,366][INFO] --adv training
[2023-12-20 22:01:59,493][INFO] --epoch 0 loss 1.534892688691616
[2023-12-20 22:01:59,611][INFO] --epoch 1 loss 0.6448438100516796
[2023-12-20 22:01:59,728][INFO] --epoch 2 loss 0.3271208662539721
[2023-12-20 22:01:59,847][INFO] --epoch 3 loss 0.1387464427854866
[2023-12-20 22:01:59,966][INFO] --epoch 4 loss 0.09303005127003416
[2023-12-20 22:02:00,086][INFO] --epoch 5 loss 0.05339647689834237
[2023-12-20 22:02:00,205][INFO] --epoch 6 loss 0.03322160863317549
[2023-12-20 22:02:00,324][INFO] --epoch 7 loss 0.02244105825666338
[2023-12-20 22:02:00,443][INFO] --epoch 8 loss 0.014930364559404552
[2023-12-20 22:02:00,560][INFO] --epoch 9 loss 0.011951769090956077
[2023-12-20 22:02:00,678][INFO] --epoch 10 loss 0.013668057840550318
[2023-12-20 22:02:00,796][INFO] --epoch 11 loss 0.008923791616689413
[2023-12-20 22:02:00,916][INFO] --epoch 12 loss 0.00960194545914419
