[2023-12-21 11:54:54,069][INFO] 
===== FNN_big-0.05-1000-small-2023-12-21-11-54-54 configuration =====
  exp_fn: test_goal_test
  seed: None
  dom: deeppoly
  start_abs_cnt: 500
  max_abs_cnt: 1000
  refine_top_k: 800
  tiny_width: 0.001
  lr: 0.001
  batch_size: 50
  min_epochs: 25
  max_epochs: 45
  use_scheduler: True
  no_pts: False
  no_abs: False
  no_refine: False
  quiet: False
  debug: False
  net: FNN_big
  no_repair: False
  repair_number: 1000
  repair_batchsize: 1
  patch_size: small
  repair_radius: 0.05
  divided_repair: 1
  accuracy_loss: <function MnistArgParser.setup_rest.<locals>.ce_loss at 0x7f5c6a982940>
  sample_amount: 5000
  reset_params: False
  train_datasize: 10000
  test_datasize: 10000
  repair_batch_size: 1000
  scheduler_fn: <function ExpArgParser.setup_rest.<locals>.<lambda> at 0x7f5c6a9823a0>
===== end of FNN_big-0.05-1000-small-2023-12-21-11-54-54 configuration =====

[2023-12-21 11:54:54,069][INFO] ===== start repair ======
[2023-12-21 11:54:54,069][INFO] For pgd attack net
[2023-12-21 11:54:55,661][INFO] --big patch network: --- PatchNet ---
Name: small patch network 999
--- End of PatchNet ---
[2023-12-21 11:54:57,708][INFO] --load the trainset and testset as testing set
[2023-12-21 11:54:57,723][INFO] --evaluate the original net on testset
[2023-12-21 11:54:57,724][INFO] --For testset, out of 10000 items, ratio 0.9718
[2023-12-21 11:54:57,724][INFO] --evaluate the repaired net on testset and get the bitmap
[2023-12-21 11:54:58,335][INFO] --For testset, out of 10000 items, ratio 0.9718
[2023-12-21 11:54:58,335][INFO] --adv training
[2023-12-21 11:54:58,476][INFO] --epoch 0 loss 2.2692070841789245
[2023-12-21 11:54:58,610][INFO] --epoch 1 loss 2.235997086763382
[2023-12-21 11:54:58,767][INFO] --epoch 2 loss 2.2314520180225372
[2023-12-21 11:54:58,947][INFO] --epoch 3 loss 2.2329998254776
[2023-12-21 11:54:59,086][INFO] --epoch 4 loss 2.231663537025452
[2023-12-21 11:54:59,237][INFO] --epoch 5 loss 2.227600711584091
[2023-12-21 11:54:59,403][INFO] --epoch 6 loss 2.226672834157944
[2023-12-21 11:54:59,568][INFO] --epoch 7 loss 2.114221194386482
[2023-12-21 11:54:59,734][INFO] --epoch 8 loss 1.8856784224510192
[2023-12-21 11:54:59,900][INFO] --epoch 9 loss 1.7672033190727234
[2023-12-21 11:55:00,059][INFO] --epoch 10 loss 1.614104577898979
[2023-12-21 11:55:00,187][INFO] --epoch 11 loss 1.4567859917879105
[2023-12-21 11:55:00,315][INFO] --epoch 12 loss 1.300531467795372
[2023-12-21 11:55:00,441][INFO] --epoch 13 loss 1.1345959544181823
[2023-12-21 11:55:00,566][INFO] --epoch 14 loss 1.1105694517493248
[2023-12-21 11:55:00,684][INFO] --epoch 15 loss 0.9394986368715763
[2023-12-21 11:55:00,804][INFO] --epoch 16 loss 0.866334005445242
[2023-12-21 11:55:00,952][INFO] --epoch 17 loss 0.7689714699983596
[2023-12-21 11:55:01,135][INFO] --epoch 18 loss 0.7830529175698757
[2023-12-21 11:55:01,259][INFO] --epoch 19 loss 0.5636531166732311
[2023-12-21 11:55:01,385][INFO] --epoch 20 loss 0.4850831188261509
[2023-12-21 11:55:01,513][INFO] --epoch 21 loss 0.45385196767747404
[2023-12-21 11:55:01,641][INFO] --epoch 22 loss 0.492595674097538
[2023-12-21 11:55:01,767][INFO] --epoch 23 loss 0.2741512769833207
[2023-12-21 11:55:01,897][INFO] --epoch 24 loss 0.19677948793396355
[2023-12-21 11:55:02,040][INFO] --epoch 25 loss 0.2217252967879176
[2023-12-21 11:55:02,200][INFO] --epoch 26 loss 0.1297631261870265
[2023-12-21 11:55:02,329][INFO] --epoch 27 loss 0.10509836724959314
[2023-12-21 11:55:02,470][INFO] --epoch 28 loss 0.07918341434560716
[2023-12-21 11:55:02,608][INFO] --epoch 29 loss 0.07754991198889911
[2023-12-21 11:55:02,737][INFO] --epoch 30 loss 0.04600374938454479
[2023-12-21 11:55:02,866][INFO] --epoch 31 loss 0.05122055059764534
[2023-12-21 11:55:03,002][INFO] --epoch 32 loss 0.04489722002763301
[2023-12-21 11:55:03,133][INFO] --epoch 33 loss 0.03622964797541499
[2023-12-21 11:55:03,264][INFO] --epoch 34 loss 0.02775843209819868
[2023-12-21 11:55:03,409][INFO] --epoch 35 loss 0.030166944419033826
[2023-12-21 11:55:03,542][INFO] --epoch 36 loss 0.03240361791104078
[2023-12-21 11:55:03,665][INFO] --epoch 37 loss 0.024033142405096443
[2023-12-21 11:55:03,791][INFO] --epoch 38 loss 0.02237162155797705
[2023-12-21 11:55:03,916][INFO] --epoch 39 loss 0.02230319727677852
[2023-12-21 11:55:04,041][INFO] --epoch 40 loss 0.021204121154733004
[2023-12-21 11:55:04,162][INFO] --epoch 41 loss 0.019783089787233622
[2023-12-21 11:55:04,281][INFO] --epoch 42 loss 0.01963626896031201
[2023-12-21 11:55:04,406][INFO] --epoch 43 loss 0.01890106361825019
[2023-12-21 11:55:04,525][INFO] --epoch 44 loss 0.01829069189261645
[2023-12-21 11:55:04,644][INFO] --epoch 45 loss 0.018063767277635635
[2023-12-21 11:55:04,764][INFO] --epoch 46 loss 0.017725538287777454
[2023-12-21 11:55:04,886][INFO] --epoch 47 loss 0.017687822121661156
[2023-12-21 11:55:05,007][INFO] --epoch 48 loss 0.01759035848081112
[2023-12-21 11:55:05,124][INFO] --epoch 49 loss 0.017584744107443838
[2023-12-21 11:55:05,241][INFO] --epoch 50 loss 0.01756931757554412
[2023-12-21 11:55:05,356][INFO] --epoch 51 loss 0.017562105716206134
[2023-12-21 11:55:05,475][INFO] --epoch 52 loss 0.017548149405047297
[2023-12-21 11:55:05,591][INFO] --epoch 53 loss 0.017464471934363245
[2023-12-21 11:55:05,715][INFO] --epoch 54 loss 0.017422296025324614
[2023-12-21 11:55:05,841][INFO] --epoch 55 loss 0.01762160101206973
