[2023-12-21 07:35:38,426][INFO] 
===== FNN_big-0.05-50-small-2023-12-21-07-35-38 configuration =====
  exp_fn: test_goal_test
  seed: None
  dom: deeppoly
  start_abs_cnt: 500
  max_abs_cnt: 1000
  refine_top_k: 800
  tiny_width: 0.001
  lr: 0.001
  batch_size: 50
  min_epochs: 25
  max_epochs: 45
  use_scheduler: True
  no_pts: False
  no_abs: False
  no_refine: False
  quiet: False
  debug: False
  net: FNN_big
  no_repair: False
  repair_number: 50
  repair_batchsize: 1
  patch_size: small
  repair_radius: 0.05
  divided_repair: 1
  accuracy_loss: <function MnistArgParser.setup_rest.<locals>.ce_loss at 0x7f5c64613430>
  sample_amount: 5000
  reset_params: False
  train_datasize: 10000
  test_datasize: 10000
  repair_batch_size: 50
  scheduler_fn: <function ExpArgParser.setup_rest.<locals>.<lambda> at 0x7f5c6a96df70>
===== end of FNN_big-0.05-50-small-2023-12-21-07-35-38 configuration =====

[2023-12-21 07:35:38,426][INFO] ===== start repair ======
[2023-12-21 07:35:38,426][INFO] For pgd attack net
[2023-12-21 07:35:38,535][INFO] --big patch network: --- PatchNet ---
Name: small patch network 49
--- End of PatchNet ---
[2023-12-21 07:35:40,085][INFO] --load the trainset and testset as testing set
[2023-12-21 07:35:40,100][INFO] --evaluate the original net on testset
[2023-12-21 07:35:40,101][INFO] --For testset, out of 10000 items, ratio 0.9718
[2023-12-21 07:35:40,101][INFO] --evaluate the repaired net on testset and get the bitmap
[2023-12-21 07:35:40,142][INFO] --For testset, out of 10000 items, ratio 0.9718
[2023-12-21 07:35:40,142][INFO] --adv training
[2023-12-21 07:35:40,154][INFO] --epoch 0 loss 2.272197961807251
[2023-12-21 07:35:40,160][INFO] --epoch 1 loss 2.2581177949905396
[2023-12-21 07:35:40,167][INFO] --epoch 2 loss 2.2420674562454224
[2023-12-21 07:35:40,173][INFO] --epoch 3 loss 2.227368712425232
[2023-12-21 07:35:40,179][INFO] --epoch 4 loss 2.2170501947402954
[2023-12-21 07:35:40,186][INFO] --epoch 5 loss 2.2088441848754883
[2023-12-21 07:35:40,192][INFO] --epoch 6 loss 2.198164939880371
[2023-12-21 07:35:40,199][INFO] --epoch 7 loss 2.1919602155685425
[2023-12-21 07:35:40,205][INFO] --epoch 8 loss 2.18911612033844
[2023-12-21 07:35:40,212][INFO] --epoch 9 loss 2.1833901405334473
[2023-12-21 07:35:40,219][INFO] --epoch 10 loss 2.1794772148132324
[2023-12-21 07:35:40,225][INFO] --epoch 11 loss 2.1774975061416626
[2023-12-21 07:35:40,231][INFO] --epoch 12 loss 2.1751043796539307
[2023-12-21 07:35:40,239][INFO] --epoch 13 loss 2.1757373809814453
[2023-12-21 07:35:40,245][INFO] --epoch 14 loss 2.1679528951644897
[2023-12-21 07:35:40,252][INFO] --epoch 15 loss 2.1657986640930176
[2023-12-21 07:35:40,259][INFO] --epoch 16 loss 2.163120150566101
[2023-12-21 07:35:40,266][INFO] --epoch 17 loss 2.1637402772903442
[2023-12-21 07:35:40,272][INFO] --epoch 18 loss 2.1613824367523193
[2023-12-21 07:35:40,278][INFO] --epoch 19 loss 2.159842610359192
[2023-12-21 07:35:40,284][INFO] --epoch 20 loss 2.1574742794036865
[2023-12-21 07:35:40,291][INFO] --epoch 21 loss 2.1568764448165894
[2023-12-21 07:35:40,297][INFO] --epoch 22 loss 2.1558064222335815
[2023-12-21 07:35:40,303][INFO] --epoch 23 loss 2.1541645526885986
[2023-12-21 07:35:40,310][INFO] --epoch 24 loss 2.154748320579529
[2023-12-21 07:35:40,316][INFO] --epoch 25 loss 2.153710126876831
[2023-12-21 07:35:40,323][INFO] --epoch 26 loss 2.1535357236862183
[2023-12-21 07:35:40,329][INFO] --epoch 27 loss 2.153343677520752
[2023-12-21 07:35:40,336][INFO] --epoch 28 loss 2.15191650390625
[2023-12-21 07:35:40,343][INFO] --epoch 29 loss 2.150784492492676
[2023-12-21 07:35:40,349][INFO] --epoch 30 loss 2.1504043340682983
[2023-12-21 07:35:40,356][INFO] --epoch 31 loss 2.1500829458236694
[2023-12-21 07:35:40,362][INFO] --epoch 32 loss 2.150154709815979
[2023-12-21 07:35:40,369][INFO] --epoch 33 loss 2.1491907835006714
[2023-12-21 07:35:40,376][INFO] --epoch 34 loss 2.149006962776184
[2023-12-21 07:35:40,382][INFO] --epoch 35 loss 2.1487159729003906
[2023-12-21 07:35:40,389][INFO] --epoch 36 loss 2.1485122442245483
[2023-12-21 07:35:40,395][INFO] --epoch 37 loss 2.148463726043701
[2023-12-21 07:35:40,401][INFO] --epoch 38 loss 2.1486432552337646
[2023-12-21 07:35:40,408][INFO] --epoch 39 loss 2.148511528968811
[2023-12-21 07:35:40,414][INFO] --epoch 40 loss 2.1484512090682983
[2023-12-21 07:35:40,421][INFO] --epoch 41 loss 2.148425340652466
[2023-12-21 07:35:40,428][INFO] --epoch 42 loss 2.1482720375061035
[2023-12-21 07:35:40,435][INFO] --epoch 43 loss 2.1484131813049316
[2023-12-21 07:35:40,441][INFO] --epoch 44 loss 2.1483205556869507
[2023-12-21 07:35:40,448][INFO] --epoch 45 loss 2.1481635570526123
[2023-12-21 07:35:40,454][INFO] --epoch 46 loss 2.148172974586487
[2023-12-21 07:35:40,460][INFO] --epoch 47 loss 2.148105025291443
[2023-12-21 07:35:40,467][INFO] --epoch 48 loss 2.148088812828064
[2023-12-21 07:35:40,473][INFO] --epoch 49 loss 2.1480830907821655
[2023-12-21 07:35:40,479][INFO] --epoch 50 loss 2.1480824947357178
[2023-12-21 07:35:40,486][INFO] --epoch 51 loss 2.1480844020843506
[2023-12-21 07:35:40,493][INFO] --epoch 52 loss 2.1480891704559326
[2023-12-21 07:35:40,500][INFO] --epoch 53 loss 2.148092746734619
[2023-12-21 07:35:40,506][INFO] --epoch 54 loss 2.148130178451538
[2023-12-21 07:35:40,513][INFO] --epoch 55 loss 2.1481637954711914
[2023-12-21 07:35:40,519][INFO] --epoch 56 loss 2.1481763124465942
[2023-12-21 07:35:40,526][INFO] --epoch 57 loss 2.148158550262451
[2023-12-21 07:35:40,534][INFO] --epoch 58 loss 2.1481488943099976
[2023-12-21 07:35:40,540][INFO] --epoch 59 loss 2.1486334800720215
[2023-12-21 07:35:40,547][INFO] --epoch 60 loss 2.1481391191482544
[2023-12-21 07:35:40,553][INFO] --epoch 61 loss 2.14810848236084
[2023-12-21 07:35:40,560][INFO] --epoch 62 loss 2.1484105587005615
[2023-12-21 07:35:40,566][INFO] --epoch 63 loss 2.1479402780532837
[2023-12-21 07:35:40,573][INFO] --epoch 64 loss 2.148313045501709
[2023-12-21 07:35:40,579][INFO] --epoch 65 loss 2.147747755050659
[2023-12-21 07:35:40,586][INFO] --epoch 66 loss 2.147608518600464
[2023-12-21 07:35:40,592][INFO] --epoch 67 loss 2.1472859382629395
[2023-12-21 07:35:40,598][INFO] --epoch 68 loss 2.1475361585617065
[2023-12-21 07:35:40,605][INFO] --epoch 69 loss 2.1471190452575684
[2023-12-21 07:35:40,611][INFO] --epoch 70 loss 2.1475045680999756
[2023-12-21 07:35:40,617][INFO] --epoch 71 loss 2.1476000547409058
[2023-12-21 07:35:40,624][INFO] --epoch 72 loss 2.1468688249588013
[2023-12-21 07:35:40,630][INFO] --epoch 73 loss 2.146378517150879
[2023-12-21 07:35:40,636][INFO] --epoch 74 loss 2.146941900253296
[2023-12-21 07:35:40,643][INFO] --epoch 75 loss 2.145838975906372
[2023-12-21 07:35:40,649][INFO] --epoch 76 loss 2.1487667560577393
[2023-12-21 07:35:40,656][INFO] --epoch 77 loss 2.145345091819763
[2023-12-21 07:35:40,663][INFO] --epoch 78 loss 2.1457290649414062
[2023-12-21 07:35:40,670][INFO] --epoch 79 loss 2.1452845335006714
[2023-12-21 07:35:40,676][INFO] --epoch 80 loss 2.144265294075012
[2023-12-21 07:35:40,683][INFO] --epoch 81 loss 2.143405556678772
[2023-12-21 07:35:40,689][INFO] --epoch 82 loss 2.144545555114746
[2023-12-21 07:35:40,695][INFO] --epoch 83 loss 2.1431838274002075
[2023-12-21 07:35:40,702][INFO] --epoch 84 loss 2.1438361406326294
[2023-12-21 07:35:40,708][INFO] --epoch 85 loss 2.143765687942505
[2023-12-21 07:35:40,715][INFO] --epoch 86 loss 2.1446094512939453
[2023-12-21 07:35:40,722][INFO] --epoch 87 loss 2.1423988342285156
[2023-12-21 07:35:40,728][INFO] --epoch 88 loss 2.14169442653656
[2023-12-21 07:35:40,735][INFO] --epoch 89 loss 2.1414324045181274
[2023-12-21 07:35:40,741][INFO] --epoch 90 loss 2.144367814064026
[2023-12-21 07:35:40,747][INFO] --epoch 91 loss 2.141703486442566
[2023-12-21 07:35:40,754][INFO] --epoch 92 loss 2.1396589279174805
[2023-12-21 07:35:40,760][INFO] --epoch 93 loss 2.1418927907943726
[2023-12-21 07:35:40,767][INFO] --epoch 94 loss 2.140462279319763
[2023-12-21 07:35:40,774][INFO] --epoch 95 loss 2.1435528993606567
[2023-12-21 07:35:40,780][INFO] --epoch 96 loss 2.1446436643600464
[2023-12-21 07:35:40,786][INFO] --epoch 97 loss 2.1479471921920776
