[2023-12-21 10:52:05,805][INFO] 
===== FNN_big-0.05-500-small-2023-12-21-10-52-05 configuration =====
  exp_fn: test_goal_test
  seed: None
  dom: deeppoly
  start_abs_cnt: 500
  max_abs_cnt: 1000
  refine_top_k: 800
  tiny_width: 0.001
  lr: 0.001
  batch_size: 50
  min_epochs: 25
  max_epochs: 45
  use_scheduler: True
  no_pts: False
  no_abs: False
  no_refine: False
  quiet: False
  debug: False
  net: FNN_big
  no_repair: False
  repair_number: 500
  repair_batchsize: 1
  patch_size: small
  repair_radius: 0.05
  divided_repair: 1
  accuracy_loss: <function MnistArgParser.setup_rest.<locals>.ce_loss at 0x7f5c6a9823a0>
  sample_amount: 5000
  reset_params: False
  train_datasize: 10000
  test_datasize: 10000
  repair_batch_size: 500
  scheduler_fn: <function ExpArgParser.setup_rest.<locals>.<lambda> at 0x7f5c6a982dc0>
===== end of FNN_big-0.05-500-small-2023-12-21-10-52-05 configuration =====

[2023-12-21 10:52:05,805][INFO] ===== start repair ======
[2023-12-21 10:52:05,805][INFO] For pgd attack net
[2023-12-21 10:52:06,841][INFO] --big patch network: --- PatchNet ---
Name: small patch network 499
--- End of PatchNet ---
[2023-12-21 10:52:08,070][INFO] --load the trainset and testset as testing set
[2023-12-21 10:52:08,076][INFO] --evaluate the original net on testset
[2023-12-21 10:52:08,078][INFO] --For testset, out of 10000 items, ratio 0.9718
[2023-12-21 10:52:08,078][INFO] --evaluate the repaired net on testset and get the bitmap
[2023-12-21 10:52:08,460][INFO] --For testset, out of 10000 items, ratio 0.9718
[2023-12-21 10:52:08,460][INFO] --adv training
[2023-12-21 10:52:08,532][INFO] --epoch 0 loss 2.2746087551116942
[2023-12-21 10:52:08,597][INFO] --epoch 1 loss 2.2349118828773498
[2023-12-21 10:52:08,661][INFO] --epoch 2 loss 2.225797700881958
[2023-12-21 10:52:08,724][INFO] --epoch 3 loss 2.2226295351982115
[2023-12-21 10:52:08,787][INFO] --epoch 4 loss 2.2199376106262205
[2023-12-21 10:52:08,853][INFO] --epoch 5 loss 2.2185282588005064
[2023-12-21 10:52:08,915][INFO] --epoch 6 loss 2.2158854603767395
[2023-12-21 10:52:08,978][INFO] --epoch 7 loss 2.214577341079712
[2023-12-21 10:52:09,045][INFO] --epoch 8 loss 2.204908299446106
[2023-12-21 10:52:09,107][INFO] --epoch 9 loss 2.1370869278907776
[2023-12-21 10:52:09,170][INFO] --epoch 10 loss 1.9708338022232055
[2023-12-21 10:52:09,236][INFO] --epoch 11 loss 1.846858376264572
[2023-12-21 10:52:09,302][INFO] --epoch 12 loss 1.7719638109207154
[2023-12-21 10:52:09,372][INFO] --epoch 13 loss 1.701074868440628
[2023-12-21 10:52:09,441][INFO] --epoch 14 loss 1.649725568294525
[2023-12-21 10:52:09,512][INFO] --epoch 15 loss 1.382571467757225
[2023-12-21 10:52:09,586][INFO] --epoch 16 loss 1.2937765628099442
[2023-12-21 10:52:09,677][INFO] --epoch 17 loss 1.7143678605556487
[2023-12-21 10:52:09,749][INFO] --epoch 18 loss 1.0985512435436249
[2023-12-21 10:52:09,812][INFO] --epoch 19 loss 1.2458422183990479
[2023-12-21 10:52:09,878][INFO] --epoch 20 loss 0.943839606642723
[2023-12-21 10:52:09,943][INFO] --epoch 21 loss 0.9107756614685059
[2023-12-21 10:52:10,013][INFO] --epoch 22 loss 0.8776373744010926
[2023-12-21 10:52:10,086][INFO] --epoch 23 loss 0.8289905071258545
[2023-12-21 10:52:10,160][INFO] --epoch 24 loss 0.650200617313385
[2023-12-21 10:52:10,226][INFO] --epoch 25 loss 0.5352483980357647
[2023-12-21 10:52:10,297][INFO] --epoch 26 loss 0.5092235773801803
[2023-12-21 10:52:10,374][INFO] --epoch 27 loss 0.5322608299553394
[2023-12-21 10:52:10,443][INFO] --epoch 28 loss 0.38242519199848174
[2023-12-21 10:52:10,510][INFO] --epoch 29 loss 0.2706633239984512
[2023-12-21 10:52:10,585][INFO] --epoch 30 loss 0.22279310449957848
[2023-12-21 10:52:10,655][INFO] --epoch 31 loss 0.15294460542500019
[2023-12-21 10:52:10,728][INFO] --epoch 32 loss 0.16705315373837948
[2023-12-21 10:52:10,804][INFO] --epoch 33 loss 0.13482936583459376
[2023-12-21 10:52:10,874][INFO] --epoch 34 loss 0.11781014725565911
[2023-12-21 10:52:10,944][INFO] --epoch 35 loss 0.07442540824413299
[2023-12-21 10:52:11,019][INFO] --epoch 36 loss 0.06451360955834388
[2023-12-21 10:52:11,087][INFO] --epoch 37 loss 0.054278860706835984
[2023-12-21 10:52:11,154][INFO] --epoch 38 loss 0.06437837462872267
[2023-12-21 10:52:11,231][INFO] --epoch 39 loss 0.05019552148878574
[2023-12-21 10:52:11,299][INFO] --epoch 40 loss 0.04683746588416397
[2023-12-21 10:52:11,365][INFO] --epoch 41 loss 0.04235504874959588
[2023-12-21 10:52:11,442][INFO] --epoch 42 loss 0.039958294667303565
[2023-12-21 10:52:11,505][INFO] --epoch 43 loss 0.03963277153670788
[2023-12-21 10:52:11,570][INFO] --epoch 44 loss 0.03668153695762157
[2023-12-21 10:52:11,635][INFO] --epoch 45 loss 0.03684910526499152
[2023-12-21 10:52:11,699][INFO] --epoch 46 loss 0.036706822784617545
[2023-12-21 10:52:11,761][INFO] --epoch 47 loss 0.034735072404146194
[2023-12-21 10:52:11,826][INFO] --epoch 48 loss 0.034408148191869256
[2023-12-21 10:52:11,892][INFO] --epoch 49 loss 0.034238595981150866
[2023-12-21 10:52:11,953][INFO] --epoch 50 loss 0.03422957742586732
[2023-12-21 10:52:12,016][INFO] --epoch 51 loss 0.03420309219509363
[2023-12-21 10:52:12,089][INFO] --epoch 52 loss 0.03416970456019044
[2023-12-21 10:52:12,157][INFO] --epoch 53 loss 0.034166288934648036
[2023-12-21 10:52:12,220][INFO] --epoch 54 loss 0.03492520451545715
[2023-12-21 10:52:12,285][INFO] --epoch 55 loss 0.035895910765975717
[2023-12-21 10:52:12,349][INFO] --epoch 56 loss 0.035123855154961345
[2023-12-21 10:52:12,413][INFO] --epoch 57 loss 0.035285073425620796
[2023-12-21 10:52:12,473][INFO] --epoch 58 loss 0.03334691599011421
[2023-12-21 10:52:12,539][INFO] --epoch 59 loss 0.03398147383704782
[2023-12-21 10:52:12,599][INFO] --epoch 60 loss 0.03601572848856449
[2023-12-21 10:52:12,660][INFO] --epoch 61 loss 0.03153320816345513
[2023-12-21 10:52:12,723][INFO] --epoch 62 loss 0.03545080530457199
[2023-12-21 10:52:12,786][INFO] --epoch 63 loss 0.028831968642771245
[2023-12-21 10:52:12,849][INFO] --epoch 64 loss 0.03670158507302403
[2023-12-21 10:52:12,913][INFO] --epoch 65 loss 0.040238705836236476
[2023-12-21 10:52:12,978][INFO] --epoch 66 loss 0.048358836816623806
[2023-12-21 10:52:13,040][INFO] --epoch 67 loss 0.08788888351991772
[2023-12-21 10:52:13,103][INFO] --epoch 68 loss 0.07332204850390553
[2023-12-21 10:52:13,167][INFO] --epoch 69 loss 0.061106269154697655
[2023-12-21 10:52:13,237][INFO] --epoch 70 loss 0.16686354698613287
[2023-12-21 10:52:13,310][INFO] --epoch 71 loss 0.11544329365715385
[2023-12-21 10:52:13,378][INFO] --epoch 72 loss 0.07795469327829778
[2023-12-21 10:52:13,448][INFO] --epoch 73 loss 0.5611988838762045
[2023-12-21 10:52:13,525][INFO] --epoch 74 loss 0.3105020742863417
[2023-12-21 10:52:13,595][INFO] --epoch 75 loss 0.26575486585497854
[2023-12-21 10:52:13,658][INFO] --epoch 76 loss 0.19116646591573955
[2023-12-21 10:52:13,717][INFO] --epoch 77 loss 0.22471706718206405
[2023-12-21 10:52:13,778][INFO] --epoch 78 loss 0.1314869645051658
[2023-12-21 10:52:13,838][INFO] --epoch 79 loss 0.40924809854477645
[2023-12-21 10:52:13,899][INFO] --epoch 80 loss 0.938620212674141
[2023-12-21 10:52:13,966][INFO] --epoch 81 loss 0.39478455632925036
[2023-12-21 10:52:14,029][INFO] --epoch 82 loss 0.26554158329963684
[2023-12-21 10:52:14,089][INFO] --epoch 83 loss 0.4357861027121544
[2023-12-21 10:52:14,150][INFO] --epoch 84 loss 0.15411365255713463
[2023-12-21 10:52:14,213][INFO] --epoch 85 loss 0.6122903063893318
[2023-12-21 10:52:14,276][INFO] --epoch 86 loss 0.5734064731746912
[2023-12-21 10:52:14,335][INFO] --epoch 87 loss 0.18984895367175342
[2023-12-21 10:52:14,401][INFO] --epoch 88 loss 0.06187103213742375
[2023-12-21 10:52:14,465][INFO] --epoch 89 loss 0.21991162225604058
[2023-12-21 10:52:14,525][INFO] --epoch 90 loss 0.11361269876360894
[2023-12-21 10:52:14,587][INFO] --epoch 91 loss 0.5481745423749089
[2023-12-21 10:52:14,653][INFO] --epoch 92 loss 0.2621449239552021
[2023-12-21 10:52:14,714][INFO] --epoch 93 loss 0.12298292396590113
[2023-12-21 10:52:14,776][INFO] --epoch 94 loss 0.5461320743896068
[2023-12-21 10:52:14,838][INFO] --epoch 95 loss 0.25589759442955257
[2023-12-21 10:52:14,902][INFO] --epoch 96 loss 0.25318457195535304
[2023-12-21 10:52:14,967][INFO] --epoch 97 loss 0.06108544152230024
[2023-12-21 10:52:15,028][INFO] --epoch 98 loss 0.05189404967240989
[2023-12-21 10:52:15,093][INFO] --epoch 99 loss 0.17491825385950505
[2023-12-21 10:52:15,155][INFO] --epoch 100 loss 0.059610243421047926
[2023-12-21 10:52:15,219][INFO] --epoch 101 loss 0.058734385995194316
