[2023-12-21 13:35:41,373][INFO] 
===== FNN_big-0.1-100-small-2023-12-21-13-35-41 configuration =====
  exp_fn: test_goal_test
  seed: None
  dom: deeppoly
  start_abs_cnt: 500
  max_abs_cnt: 1000
  refine_top_k: 800
  tiny_width: 0.001
  lr: 0.001
  batch_size: 50
  min_epochs: 25
  max_epochs: 45
  use_scheduler: True
  no_pts: False
  no_abs: False
  no_refine: False
  quiet: False
  debug: False
  net: FNN_big
  no_repair: False
  repair_number: 100
  repair_batchsize: 1
  patch_size: small
  repair_radius: 0.1
  divided_repair: 1
  accuracy_loss: <function MnistArgParser.setup_rest.<locals>.ce_loss at 0x7f5c64613040>
  sample_amount: 5000
  reset_params: False
  train_datasize: 10000
  test_datasize: 10000
  repair_batch_size: 100
  scheduler_fn: <function ExpArgParser.setup_rest.<locals>.<lambda> at 0x7f5c64613790>
===== end of FNN_big-0.1-100-small-2023-12-21-13-35-41 configuration =====

[2023-12-21 13:35:41,373][INFO] ===== start repair ======
[2023-12-21 13:35:41,373][INFO] For pgd attack net
[2023-12-21 13:35:41,597][INFO] --big patch network: --- PatchNet ---
Name: small patch network 99
--- End of PatchNet ---
[2023-12-21 13:35:41,857][INFO] --load the trainset and testset as testing set
[2023-12-21 13:35:41,864][INFO] --evaluate the original net on testset
[2023-12-21 13:35:41,866][INFO] --For testset, out of 10000 items, ratio 0.9718
[2023-12-21 13:35:41,866][INFO] --evaluate the repaired net on testset and get the bitmap
[2023-12-21 13:35:41,946][INFO] --For testset, out of 10000 items, ratio 0.9718
[2023-12-21 13:35:41,946][INFO] --adv training
[2023-12-21 13:35:41,965][INFO] --epoch 0 loss 2.313647449016571
[2023-12-21 13:35:41,977][INFO] --epoch 1 loss 2.3011873364448547
[2023-12-21 13:35:41,990][INFO] --epoch 2 loss 2.289173662662506
[2023-12-21 13:35:42,005][INFO] --epoch 3 loss 2.2841749787330627
[2023-12-21 13:35:42,019][INFO] --epoch 4 loss 2.278189480304718
[2023-12-21 13:35:42,031][INFO] --epoch 5 loss 2.273985505104065
[2023-12-21 13:35:42,044][INFO] --epoch 6 loss 2.2707168459892273
[2023-12-21 13:35:42,056][INFO] --epoch 7 loss 2.2648507356643677
[2023-12-21 13:35:42,071][INFO] --epoch 8 loss 2.2661052942276
[2023-12-21 13:35:42,084][INFO] --epoch 9 loss 2.2645952701568604
[2023-12-21 13:35:42,097][INFO] --epoch 10 loss 2.26225346326828
[2023-12-21 13:35:42,109][INFO] --epoch 11 loss 2.261515736579895
[2023-12-21 13:35:42,121][INFO] --epoch 12 loss 2.261691391468048
[2023-12-21 13:35:42,134][INFO] --epoch 13 loss 2.2591956853866577
[2023-12-21 13:35:42,147][INFO] --epoch 14 loss 2.2587501406669617
[2023-12-21 13:35:42,160][INFO] --epoch 15 loss 2.257649600505829
[2023-12-21 13:35:42,173][INFO] --epoch 16 loss 2.2598901987075806
[2023-12-21 13:35:42,186][INFO] --epoch 17 loss 2.2580170035362244
[2023-12-21 13:35:42,199][INFO] --epoch 18 loss 2.2570948004722595
[2023-12-21 13:35:42,213][INFO] --epoch 19 loss 2.2581287026405334
[2023-12-21 13:35:42,225][INFO] --epoch 20 loss 2.2565370202064514
[2023-12-21 13:35:42,238][INFO] --epoch 21 loss 2.2563462257385254
[2023-12-21 13:35:42,252][INFO] --epoch 22 loss 2.256847321987152
[2023-12-21 13:35:42,267][INFO] --epoch 23 loss 2.2569668889045715
[2023-12-21 13:35:42,282][INFO] --epoch 24 loss 2.2554885745048523
[2023-12-21 13:35:42,295][INFO] --epoch 25 loss 2.2553710341453552
[2023-12-21 13:35:42,308][INFO] --epoch 26 loss 2.2543583512306213
[2023-12-21 13:35:42,320][INFO] --epoch 27 loss 2.2548962831497192
[2023-12-21 13:35:42,333][INFO] --epoch 28 loss 2.2540255784988403
[2023-12-21 13:35:42,346][INFO] --epoch 29 loss 2.253590703010559
[2023-12-21 13:35:42,358][INFO] --epoch 30 loss 2.2526265382766724
[2023-12-21 13:35:42,372][INFO] --epoch 31 loss 2.2538148164749146
[2023-12-21 13:35:42,387][INFO] --epoch 32 loss 2.2525641322135925
[2023-12-21 13:35:42,402][INFO] --epoch 33 loss 2.2520062923431396
[2023-12-21 13:35:42,417][INFO] --epoch 34 loss 2.252142310142517
[2023-12-21 13:35:42,431][INFO] --epoch 35 loss 2.2522008419036865
[2023-12-21 13:35:42,445][INFO] --epoch 36 loss 2.2521891593933105
[2023-12-21 13:35:42,459][INFO] --epoch 37 loss 2.2519924640655518
[2023-12-21 13:35:42,473][INFO] --epoch 38 loss 2.251753270626068
[2023-12-21 13:35:42,487][INFO] --epoch 39 loss 2.2515636682510376
[2023-12-21 13:35:42,501][INFO] --epoch 40 loss 2.2515726685523987
[2023-12-21 13:35:42,515][INFO] --epoch 41 loss 2.2515293955802917
[2023-12-21 13:35:42,529][INFO] --epoch 42 loss 2.2513818740844727
[2023-12-21 13:35:42,543][INFO] --epoch 43 loss 2.2513144612312317
[2023-12-21 13:35:42,558][INFO] --epoch 44 loss 2.2513204216957092
[2023-12-21 13:35:42,571][INFO] --epoch 45 loss 2.2511950731277466
[2023-12-21 13:35:42,587][INFO] --epoch 46 loss 2.251133680343628
[2023-12-21 13:35:42,602][INFO] --epoch 47 loss 2.251097619533539
[2023-12-21 13:35:42,616][INFO] --epoch 48 loss 2.2510793209075928
[2023-12-21 13:35:42,630][INFO] --epoch 49 loss 2.2510635256767273
[2023-12-21 13:35:42,644][INFO] --epoch 50 loss 2.2510594725608826
[2023-12-21 13:35:42,658][INFO] --epoch 51 loss 2.2510634064674377
[2023-12-21 13:35:42,673][INFO] --epoch 52 loss 2.2510700821876526
