[2023-12-21 15:35:03,225][INFO] 
===== FNN_big-0.1-1000-small-2023-12-21-15-35-03 configuration =====
  exp_fn: test_goal_test
  seed: None
  dom: deeppoly
  start_abs_cnt: 500
  max_abs_cnt: 1000
  refine_top_k: 800
  tiny_width: 0.001
  lr: 0.001
  batch_size: 50
  min_epochs: 25
  max_epochs: 45
  use_scheduler: True
  no_pts: False
  no_abs: False
  no_refine: False
  quiet: False
  debug: False
  net: FNN_big
  no_repair: False
  repair_number: 1000
  repair_batchsize: 1
  patch_size: small
  repair_radius: 0.1
  divided_repair: 1
  accuracy_loss: <function MnistArgParser.setup_rest.<locals>.ce_loss at 0x7f5c6a982f70>
  sample_amount: 5000
  reset_params: False
  train_datasize: 10000
  test_datasize: 10000
  repair_batch_size: 1000
  scheduler_fn: <function ExpArgParser.setup_rest.<locals>.<lambda> at 0x7f5c6a982dc0>
===== end of FNN_big-0.1-1000-small-2023-12-21-15-35-03 configuration =====

[2023-12-21 15:35:03,226][INFO] ===== start repair ======
[2023-12-21 15:35:03,226][INFO] For pgd attack net
[2023-12-21 15:35:04,690][INFO] --big patch network: --- PatchNet ---
Name: small patch network 999
--- End of PatchNet ---
[2023-12-21 15:35:06,629][INFO] --load the trainset and testset as testing set
[2023-12-21 15:35:06,635][INFO] --evaluate the original net on testset
[2023-12-21 15:35:06,637][INFO] --For testset, out of 10000 items, ratio 0.9718
[2023-12-21 15:35:06,637][INFO] --evaluate the repaired net on testset and get the bitmap
[2023-12-21 15:35:07,228][INFO] --For testset, out of 10000 items, ratio 0.9718
[2023-12-21 15:35:07,228][INFO] --adv training
[2023-12-21 15:35:07,358][INFO] --epoch 0 loss 2.301586037874222
[2023-12-21 15:35:07,485][INFO] --epoch 1 loss 2.2963345468044283
[2023-12-21 15:35:07,610][INFO] --epoch 2 loss 2.297080910205841
[2023-12-21 15:35:07,730][INFO] --epoch 3 loss 2.295184242725372
[2023-12-21 15:35:07,854][INFO] --epoch 4 loss 2.283344268798828
[2023-12-21 15:35:07,976][INFO] --epoch 5 loss 2.116173413395882
[2023-12-21 15:35:08,096][INFO] --epoch 6 loss 1.92618308365345
[2023-12-21 15:35:08,216][INFO] --epoch 7 loss 1.7157244294881822
[2023-12-21 15:35:08,332][INFO] --epoch 8 loss 1.5773331463336944
[2023-12-21 15:35:08,447][INFO] --epoch 9 loss 1.4345854282379151
[2023-12-21 15:35:08,563][INFO] --epoch 10 loss 1.2728458046913147
[2023-12-21 15:35:08,680][INFO] --epoch 11 loss 1.085677406191826
[2023-12-21 15:35:08,794][INFO] --epoch 12 loss 1.0779848128557206
[2023-12-21 15:35:08,909][INFO] --epoch 13 loss 0.8715254195034504
[2023-12-21 15:35:09,023][INFO] --epoch 14 loss 0.6955731034278869
[2023-12-21 15:35:09,137][INFO] --epoch 15 loss 0.44551622681319714
[2023-12-21 15:35:09,258][INFO] --epoch 16 loss 0.41783158872276543
[2023-12-21 15:35:09,385][INFO] --epoch 17 loss 0.2645005921833217
[2023-12-21 15:35:09,505][INFO] --epoch 18 loss 0.2179941488429904
[2023-12-21 15:35:09,628][INFO] --epoch 19 loss 0.16007974972017108
[2023-12-21 15:35:09,748][INFO] --epoch 20 loss 0.11180436448194087
[2023-12-21 15:35:09,870][INFO] --epoch 21 loss 0.09425983377732336
[2023-12-21 15:35:09,991][INFO] --epoch 22 loss 0.07204096061177552
[2023-12-21 15:35:10,119][INFO] --epoch 23 loss 0.06605547952931375
[2023-12-21 15:35:10,253][INFO] --epoch 24 loss 0.042983739823102954
[2023-12-21 15:35:10,393][INFO] --epoch 25 loss 0.03780380614334718
[2023-12-21 15:35:10,509][INFO] --epoch 26 loss 0.02782368444604799
[2023-12-21 15:35:10,628][INFO] --epoch 27 loss 0.028507251059636474
[2023-12-21 15:35:10,747][INFO] --epoch 28 loss 0.028919713251525536
[2023-12-21 15:35:10,866][INFO] --epoch 29 loss 0.016908424894791097
[2023-12-21 15:35:10,983][INFO] --epoch 30 loss 0.013610016321763396
[2023-12-21 15:35:11,105][INFO] --epoch 31 loss 0.014737182401586325
[2023-12-21 15:35:11,223][INFO] --epoch 32 loss 0.01389778449665755
[2023-12-21 15:35:11,339][INFO] --epoch 33 loss 0.011140176968183368
[2023-12-21 15:35:11,458][INFO] --epoch 34 loss 0.009838680241955444
[2023-12-21 15:35:11,578][INFO] --epoch 35 loss 0.007994296355172991
[2023-12-21 15:35:11,697][INFO] --epoch 36 loss 0.007526067629805766
[2023-12-21 15:35:11,816][INFO] --epoch 37 loss 0.006643723041634075
[2023-12-21 15:35:11,934][INFO] --epoch 38 loss 0.0065260790259344505
[2023-12-21 15:35:12,051][INFO] --epoch 39 loss 0.00723248157883063
[2023-12-21 15:35:12,171][INFO] --epoch 40 loss 0.006466662761522457
[2023-12-21 15:35:12,288][INFO] --epoch 41 loss 0.006445709333638661
[2023-12-21 15:35:12,405][INFO] --epoch 42 loss 0.006119492094148882
[2023-12-21 15:35:12,526][INFO] --epoch 43 loss 0.006052810692926869
[2023-12-21 15:35:12,647][INFO] --epoch 44 loss 0.006108528410550207
[2023-12-21 15:35:12,763][INFO] --epoch 45 loss 0.006150818255264312
[2023-12-21 15:35:12,884][INFO] --epoch 46 loss 0.006035845208680257
[2023-12-21 15:35:13,000][INFO] --epoch 47 loss 0.005989717107149772
[2023-12-21 15:35:13,116][INFO] --epoch 48 loss 0.005940290205762722
[2023-12-21 15:35:13,229][INFO] --epoch 49 loss 0.0059292826423188675
[2023-12-21 15:35:13,349][INFO] --epoch 50 loss 0.00592800930608064
[2023-12-21 15:35:13,467][INFO] --epoch 51 loss 0.005927686198265292
[2023-12-21 15:35:13,582][INFO] --epoch 52 loss 0.005934882786823437
[2023-12-21 15:35:13,700][INFO] --epoch 53 loss 0.005922275671036914
[2023-12-21 15:35:13,814][INFO] --epoch 54 loss 0.00594443816517014
[2023-12-21 15:35:13,932][INFO] --epoch 55 loss 0.0059095100121339785
[2023-12-21 15:35:14,053][INFO] --epoch 56 loss 0.005782281019492075
[2023-12-21 15:35:14,168][INFO] --epoch 57 loss 0.005727360380114987
[2023-12-21 15:35:14,283][INFO] --epoch 58 loss 0.005731815641047433
[2023-12-21 15:35:14,398][INFO] --epoch 59 loss 0.006160170596558601
[2023-12-21 15:35:14,519][INFO] --epoch 60 loss 0.006380527312285267
[2023-12-21 15:35:14,639][INFO] --epoch 61 loss 0.006415548460790887
[2023-12-21 15:35:14,759][INFO] --epoch 62 loss 0.005793470577918925
[2023-12-21 15:35:14,878][INFO] --epoch 63 loss 0.0053671361412853
[2023-12-21 15:35:15,000][INFO] --epoch 64 loss 0.00437286238593515
[2023-12-21 15:35:15,118][INFO] --epoch 65 loss 0.004817130145966075
[2023-12-21 15:35:15,238][INFO] --epoch 66 loss 0.004302133261808195
[2023-12-21 15:35:15,357][INFO] --epoch 67 loss 0.004340829676948488
[2023-12-21 15:35:15,480][INFO] --epoch 68 loss 0.006845411227550358
[2023-12-21 15:35:15,598][INFO] --epoch 69 loss 0.005863224822678603
[2023-12-21 15:35:15,719][INFO] --epoch 70 loss 0.00862877945182845
[2023-12-21 15:35:15,835][INFO] --epoch 71 loss 0.007259309967048466
[2023-12-21 15:35:15,952][INFO] --epoch 72 loss 0.009893962362548336
[2023-12-21 15:35:16,066][INFO] --epoch 73 loss 0.011288719516596758
[2023-12-21 15:35:16,183][INFO] --epoch 74 loss 0.008124806970590726
[2023-12-21 15:35:16,302][INFO] --epoch 75 loss 0.01580933430668665
[2023-12-21 15:35:16,421][INFO] --epoch 76 loss 0.17735425047285389
[2023-12-21 15:35:16,534][INFO] --epoch 77 loss 0.02083633134025149
[2023-12-21 15:35:16,650][INFO] --epoch 78 loss 0.03318663107347675
[2023-12-21 15:35:16,768][INFO] --epoch 79 loss 0.0839721511991229
[2023-12-21 15:35:16,890][INFO] --epoch 80 loss 0.03481331098009832
[2023-12-21 15:35:17,008][INFO] --epoch 81 loss 0.03142975995724555
[2023-12-21 15:35:17,129][INFO] --epoch 82 loss 0.03482504654675722
[2023-12-21 15:35:17,250][INFO] --epoch 83 loss 0.21573002978693695
[2023-12-21 15:35:17,371][INFO] --epoch 84 loss 0.04673185804858804
[2023-12-21 15:35:17,491][INFO] --epoch 85 loss 0.02262394704739563
[2023-12-21 15:35:17,612][INFO] --epoch 86 loss 0.031368587049655616
[2023-12-21 15:35:17,731][INFO] --epoch 87 loss 0.023468775546643884
[2023-12-21 15:35:17,851][INFO] --epoch 88 loss 0.04539304354111664
[2023-12-21 15:35:17,970][INFO] --epoch 89 loss 0.2962848101276904
[2023-12-21 15:35:18,090][INFO] --epoch 90 loss 0.09195100215729327
[2023-12-21 15:35:18,209][INFO] --epoch 91 loss 0.08412140496075153
[2023-12-21 15:35:18,329][INFO] --epoch 92 loss 0.07557128036860376
[2023-12-21 15:35:18,447][INFO] --epoch 93 loss 0.02607900571310893
[2023-12-21 15:35:18,565][INFO] --epoch 94 loss 0.049507496689329855
[2023-12-21 15:35:18,684][INFO] --epoch 95 loss 0.0746981363161467
[2023-12-21 15:35:18,803][INFO] --epoch 96 loss 0.07403306153137237
[2023-12-21 15:35:18,922][INFO] --epoch 97 loss 0.16040282029425726
[2023-12-21 15:35:19,051][INFO] --epoch 98 loss 0.027295249822782353
[2023-12-21 15:35:19,189][INFO] --epoch 99 loss 0.012628760453662836
[2023-12-21 15:35:19,312][INFO] --epoch 100 loss 0.042505000298842785
[2023-12-21 15:35:19,458][INFO] --epoch 101 loss 0.029699764333781787
[2023-12-21 15:35:19,594][INFO] --epoch 102 loss 0.01593764084391296
[2023-12-21 15:35:19,728][INFO] --epoch 103 loss 0.17107273627771064
[2023-12-21 15:35:19,868][INFO] --epoch 104 loss 0.03503201168205124
[2023-12-21 15:35:20,008][INFO] --epoch 105 loss 0.03434719824872445
[2023-12-21 15:35:20,138][INFO] --epoch 106 loss 0.005703395463933702
[2023-12-21 15:35:20,266][INFO] --epoch 107 loss 0.012709198103402741
[2023-12-21 15:35:20,395][INFO] --epoch 108 loss 0.004298954768455587
[2023-12-21 15:35:20,529][INFO] --epoch 109 loss 0.0046327175456099216
[2023-12-21 15:35:20,656][INFO] --epoch 110 loss 0.01778828661335865
[2023-12-21 15:35:20,783][INFO] --epoch 111 loss 0.01122359196888283
[2023-12-21 15:35:20,911][INFO] --epoch 112 loss 0.010851847608864772
[2023-12-21 15:35:21,043][INFO] --epoch 113 loss 0.00783327180397464
[2023-12-21 15:35:21,173][INFO] --epoch 114 loss 0.0071865377736685335
[2023-12-21 15:35:21,299][INFO] --epoch 115 loss 0.0036084763778490014
[2023-12-21 15:35:21,430][INFO] --epoch 116 loss 0.009988845666521229
[2023-12-21 15:35:21,567][INFO] --epoch 117 loss 0.0024872557041817345
[2023-12-21 15:35:21,692][INFO] --epoch 118 loss 0.0015586368066578872
[2023-12-21 15:35:21,821][INFO] --epoch 119 loss 0.005971299865996116
[2023-12-21 15:35:21,958][INFO] --epoch 120 loss 0.002556848567837733
[2023-12-21 15:35:22,098][INFO] --epoch 121 loss 0.00245163239815156
[2023-12-21 15:35:22,262][INFO] --epoch 122 loss 0.001847159500903217
[2023-12-21 15:35:22,398][INFO] --epoch 123 loss 0.0008434567353106104
[2023-12-21 15:35:22,523][INFO] --epoch 124 loss 0.0012609857483766973
[2023-12-21 15:35:22,658][INFO] --epoch 125 loss 0.0014199750206898899
[2023-12-21 15:35:22,801][INFO] --epoch 126 loss 0.0013358974108996335
[2023-12-21 15:35:22,926][INFO] --epoch 127 loss 0.0009743709793838207
[2023-12-21 15:35:23,056][INFO] --epoch 128 loss 0.0006549929308675928
[2023-12-21 15:35:23,193][INFO] --epoch 129 loss 0.0005367591827962314
[2023-12-21 15:35:23,332][INFO] --epoch 130 loss 0.0005865456914762035
[2023-12-21 15:35:23,465][INFO] --epoch 131 loss 0.0005732578421884682
[2023-12-21 15:35:23,605][INFO] --epoch 132 loss 0.0005932196272624424
[2023-12-21 15:35:23,752][INFO] --epoch 133 loss 0.0005027256078392383
[2023-12-21 15:35:23,889][INFO] --epoch 134 loss 0.0004788635653312667
[2023-12-21 15:35:24,019][INFO] --epoch 135 loss 0.00045464660397556147
[2023-12-21 15:35:24,155][INFO] --epoch 136 loss 0.0004214751732433797
[2023-12-21 15:35:24,309][INFO] --epoch 137 loss 0.00039885324076749384
[2023-12-21 15:35:24,453][INFO] --epoch 138 loss 0.00037550732977251753
[2023-12-21 15:35:24,590][INFO] --epoch 139 loss 0.00036126130016782553
[2023-12-21 15:35:24,723][INFO] --epoch 140 loss 0.00035021598196181
[2023-12-21 15:35:24,854][INFO] --epoch 141 loss 0.00038523856928804887
[2023-12-21 15:35:24,994][INFO] --epoch 142 loss 0.00039556541269121227
[2023-12-21 15:35:25,134][INFO] --epoch 143 loss 0.00038646126758976604
[2023-12-21 15:35:25,279][INFO] --epoch 144 loss 0.00037597421633108754
[2023-12-21 15:35:25,411][INFO] --epoch 145 loss 0.00036447012462303974
[2023-12-21 15:35:25,538][INFO] --epoch 146 loss 0.0003653616438896279
[2023-12-21 15:35:25,672][INFO] --epoch 147 loss 0.0003603777518947027
[2023-12-21 15:35:25,828][INFO] --epoch 148 loss 0.0003582019118766766
[2023-12-21 15:35:25,969][INFO] --epoch 149 loss 0.0003571150634343212
[2023-12-21 15:35:26,103][INFO] --epoch 150 loss 0.0003573794733711111
[2023-12-21 15:35:26,225][INFO] --epoch 151 loss 0.00035739026388910134
[2023-12-21 15:35:26,344][INFO] --epoch 152 loss 0.0003571628014469752
[2023-12-21 15:35:26,461][INFO] --epoch 153 loss 0.00035608214566309473
[2023-12-21 15:35:26,579][INFO] --epoch 154 loss 0.0003579702457500389
[2023-12-21 15:35:26,696][INFO] --epoch 155 loss 0.00035836170900438447
[2023-12-21 15:35:26,820][INFO] --epoch 156 loss 0.0003493898713713861
[2023-12-21 15:35:26,951][INFO] --epoch 157 loss 0.0003405028193810722
[2023-12-21 15:35:27,072][INFO] --epoch 158 loss 0.0003559624457921018
[2023-12-21 15:35:27,196][INFO] --epoch 159 loss 0.00033854101693577834
[2023-12-21 15:35:27,313][INFO] --epoch 160 loss 0.0003403929962587426
[2023-12-21 15:35:27,430][INFO] --epoch 161 loss 0.000348845105690998
[2023-12-21 15:35:27,550][INFO] --epoch 162 loss 0.0003117671599284222
[2023-12-21 15:35:27,666][INFO] --epoch 163 loss 0.000365737687843648
