[2023-12-21 16:20:16,142][INFO] 
===== FNN_big-0.3-100-small-2023-12-21-16-20-16 configuration =====
  exp_fn: test_goal_test
  seed: None
  dom: deeppoly
  start_abs_cnt: 500
  max_abs_cnt: 1000
  refine_top_k: 800
  tiny_width: 0.001
  lr: 0.001
  batch_size: 50
  min_epochs: 25
  max_epochs: 45
  use_scheduler: True
  no_pts: False
  no_abs: False
  no_refine: False
  quiet: False
  debug: False
  net: FNN_big
  no_repair: False
  repair_number: 100
  repair_batchsize: 1
  patch_size: small
  repair_radius: 0.3
  divided_repair: 1
  accuracy_loss: <function MnistArgParser.setup_rest.<locals>.ce_loss at 0x7f5c646139d0>
  sample_amount: 5000
  reset_params: False
  train_datasize: 10000
  test_datasize: 10000
  repair_batch_size: 100
  scheduler_fn: <function ExpArgParser.setup_rest.<locals>.<lambda> at 0x7f5c64613700>
===== end of FNN_big-0.3-100-small-2023-12-21-16-20-16 configuration =====

[2023-12-21 16:20:16,143][INFO] ===== start repair ======
[2023-12-21 16:20:16,143][INFO] For pgd attack net
[2023-12-21 16:20:16,290][INFO] --big patch network: --- PatchNet ---
Name: small patch network 99
--- End of PatchNet ---
[2023-12-21 16:20:16,499][INFO] --load the trainset and testset as testing set
[2023-12-21 16:20:16,506][INFO] --evaluate the original net on testset
[2023-12-21 16:20:16,507][INFO] --For testset, out of 10000 items, ratio 0.9718
[2023-12-21 16:20:16,507][INFO] --evaluate the repaired net on testset and get the bitmap
[2023-12-21 16:20:16,569][INFO] --For testset, out of 10000 items, ratio 0.9718
[2023-12-21 16:20:16,569][INFO] --adv training
[2023-12-21 16:20:16,587][INFO] --epoch 0 loss 2.298898220062256
[2023-12-21 16:20:16,601][INFO] --epoch 1 loss 2.2936125993728638
[2023-12-21 16:20:16,614][INFO] --epoch 2 loss 2.2871240377426147
[2023-12-21 16:20:16,627][INFO] --epoch 3 loss 2.2840245962142944
[2023-12-21 16:20:16,641][INFO] --epoch 4 loss 2.281972110271454
[2023-12-21 16:20:16,654][INFO] --epoch 5 loss 2.27798593044281
[2023-12-21 16:20:16,667][INFO] --epoch 6 loss 2.2755870819091797
[2023-12-21 16:20:16,680][INFO] --epoch 7 loss 2.276459515094757
[2023-12-21 16:20:16,694][INFO] --epoch 8 loss 2.27561491727829
[2023-12-21 16:20:16,708][INFO] --epoch 9 loss 2.2744919657707214
[2023-12-21 16:20:16,722][INFO] --epoch 10 loss 2.27427214384079
[2023-12-21 16:20:16,735][INFO] --epoch 11 loss 2.27259361743927
