[2023-12-21 03:01:59,535][INFO] 
===== FNN_small-0.05-1000-small-2023-12-21-03-01-59 configuration =====
  exp_fn: test_goal_test
  seed: None
  dom: deeppoly
  start_abs_cnt: 500
  max_abs_cnt: 1000
  refine_top_k: 800
  tiny_width: 0.001
  lr: 0.001
  batch_size: 50
  min_epochs: 25
  max_epochs: 45
  use_scheduler: True
  no_pts: False
  no_abs: False
  no_refine: False
  quiet: False
  debug: False
  net: FNN_small
  no_repair: False
  repair_number: 1000
  repair_batchsize: 1
  patch_size: small
  repair_radius: 0.05
  divided_repair: 1
  accuracy_loss: <function MnistArgParser.setup_rest.<locals>.ce_loss at 0x7f5cbaad8ca0>
  sample_amount: 5000
  reset_params: False
  train_datasize: 10000
  test_datasize: 10000
  repair_batch_size: 1000
  scheduler_fn: <function ExpArgParser.setup_rest.<locals>.<lambda> at 0x7f5cb597bdc0>
===== end of FNN_small-0.05-1000-small-2023-12-21-03-01-59 configuration =====

[2023-12-21 03:01:59,535][INFO] ===== start repair ======
[2023-12-21 03:01:59,535][INFO] For pgd attack net
[2023-12-21 03:02:01,635][INFO] --big patch network: --- PatchNet ---
Name: small patch network 999
--- End of PatchNet ---
[2023-12-21 03:02:04,384][INFO] --load the trainset and testset as testing set
[2023-12-21 03:02:04,392][INFO] --evaluate the original net on testset
[2023-12-21 03:02:04,393][INFO] --For testset, out of 10000 items, ratio 0.9658
[2023-12-21 03:02:04,393][INFO] --evaluate the repaired net on testset and get the bitmap
[2023-12-21 03:02:05,137][INFO] --For testset, out of 10000 items, ratio 0.9658
[2023-12-21 03:02:05,138][INFO] --adv training
[2023-12-21 03:02:05,262][INFO] --epoch 0 loss 2.281071972846985
[2023-12-21 03:02:05,378][INFO] --epoch 1 loss 2.269857829809189
[2023-12-21 03:02:05,493][INFO] --epoch 2 loss 2.267479920387268
[2023-12-21 03:02:05,607][INFO] --epoch 3 loss 2.2639165222644806
[2023-12-21 03:02:05,721][INFO] --epoch 4 loss 2.25357763171196
[2023-12-21 03:02:05,835][INFO] --epoch 5 loss 2.0667565941810606
[2023-12-21 03:02:05,949][INFO] --epoch 6 loss 1.7878706723451614
[2023-12-21 03:02:06,063][INFO] --epoch 7 loss 1.6123641699552536
[2023-12-21 03:02:06,178][INFO] --epoch 8 loss 1.5524903148412705
[2023-12-21 03:02:06,291][INFO] --epoch 9 loss 1.3524131894111633
[2023-12-21 03:02:06,404][INFO] --epoch 10 loss 1.223466831445694
[2023-12-21 03:02:06,521][INFO] --epoch 11 loss 1.123850628733635
[2023-12-21 03:02:06,639][INFO] --epoch 12 loss 1.2692952439188958
[2023-12-21 03:02:06,761][INFO] --epoch 13 loss 1.0482858404517175
[2023-12-21 03:02:06,885][INFO] --epoch 14 loss 0.8508262485265732
[2023-12-21 03:02:07,007][INFO] --epoch 15 loss 0.7713371716439724
[2023-12-21 03:02:07,129][INFO] --epoch 16 loss 0.6317269973456859
[2023-12-21 03:02:07,250][INFO] --epoch 17 loss 0.6038696397095918
[2023-12-21 03:02:07,373][INFO] --epoch 18 loss 0.4998119428753853
[2023-12-21 03:02:07,495][INFO] --epoch 19 loss 0.36183449923992156
[2023-12-21 03:02:07,616][INFO] --epoch 20 loss 0.3533352148719132
[2023-12-21 03:02:07,739][INFO] --epoch 21 loss 0.2892199449241161
[2023-12-21 03:02:07,861][INFO] --epoch 22 loss 0.2469067804515362
[2023-12-21 03:02:07,984][INFO] --epoch 23 loss 0.2135266569443047
[2023-12-21 03:02:08,106][INFO] --epoch 24 loss 0.14237533118575812
[2023-12-21 03:02:08,225][INFO] --epoch 25 loss 0.16594804571941496
[2023-12-21 03:02:08,343][INFO] --epoch 26 loss 0.10405004848726093
[2023-12-21 03:02:08,461][INFO] --epoch 27 loss 0.09307294525206089
[2023-12-21 03:02:08,581][INFO] --epoch 28 loss 0.07855719698127359
[2023-12-21 03:02:08,702][INFO] --epoch 29 loss 0.06673431342933327
[2023-12-21 03:02:08,825][INFO] --epoch 30 loss 0.0578976045246236
[2023-12-21 03:02:08,943][INFO] --epoch 31 loss 0.05244306296808645
