[2023-12-20 22:12:18,441][INFO] 
===== FNN_small-0.05-50-small-2023-12-20-22-12-18 configuration =====
  exp_fn: test_goal_test
  seed: None
  dom: deeppoly
  start_abs_cnt: 500
  max_abs_cnt: 1000
  refine_top_k: 800
  tiny_width: 0.001
  lr: 0.001
  batch_size: 50
  min_epochs: 25
  max_epochs: 45
  use_scheduler: True
  no_pts: False
  no_abs: False
  no_refine: False
  quiet: False
  debug: False
  net: FNN_small
  no_repair: False
  repair_number: 50
  repair_batchsize: 1
  patch_size: small
  repair_radius: 0.05
  divided_repair: 1
  accuracy_loss: <function MnistArgParser.setup_rest.<locals>.ce_loss at 0x7f5cb597bdc0>
  sample_amount: 5000
  reset_params: False
  train_datasize: 10000
  test_datasize: 10000
  repair_batch_size: 50
  scheduler_fn: <function ExpArgParser.setup_rest.<locals>.<lambda> at 0x7f5cbaac58b0>
===== end of FNN_small-0.05-50-small-2023-12-20-22-12-18 configuration =====

[2023-12-20 22:12:18,441][INFO] ===== start repair ======
[2023-12-20 22:12:18,441][INFO] For pgd attack net
[2023-12-20 22:12:18,551][INFO] --big patch network: --- PatchNet ---
Name: small patch network 49
--- End of PatchNet ---
[2023-12-20 22:12:18,721][INFO] --load the trainset and testset as testing set
[2023-12-20 22:12:18,729][INFO] --evaluate the original net on testset
[2023-12-20 22:12:18,730][INFO] --For testset, out of 10000 items, ratio 0.9658
[2023-12-20 22:12:18,730][INFO] --evaluate the repaired net on testset and get the bitmap
[2023-12-20 22:12:18,768][INFO] --For testset, out of 10000 items, ratio 0.9658
[2023-12-20 22:12:18,769][INFO] --adv training
[2023-12-20 22:12:18,782][INFO] --epoch 0 loss 2.286694645881653
[2023-12-20 22:12:18,788][INFO] --epoch 1 loss 2.2731481790542603
[2023-12-20 22:12:18,795][INFO] --epoch 2 loss 2.2647050619125366
[2023-12-20 22:12:18,802][INFO] --epoch 3 loss 2.260793089866638
[2023-12-20 22:12:18,808][INFO] --epoch 4 loss 2.2504743337631226
[2023-12-20 22:12:18,815][INFO] --epoch 5 loss 2.2430530786514282
[2023-12-20 22:12:18,821][INFO] --epoch 6 loss 2.2376296520233154
[2023-12-20 22:12:18,829][INFO] --epoch 7 loss 2.2333621978759766
[2023-12-20 22:12:18,835][INFO] --epoch 8 loss 2.2317023277282715
[2023-12-20 22:12:18,841][INFO] --epoch 9 loss 2.220961570739746
[2023-12-20 22:12:18,848][INFO] --epoch 10 loss 2.2176835536956787
[2023-12-20 22:12:18,855][INFO] --epoch 11 loss 2.21746289730072
[2023-12-20 22:12:18,862][INFO] --epoch 12 loss 2.213563323020935
[2023-12-20 22:12:18,868][INFO] --epoch 13 loss 2.214968681335449
[2023-12-20 22:12:18,875][INFO] --epoch 14 loss 2.2053709030151367
[2023-12-20 22:12:18,882][INFO] --epoch 15 loss 2.20350980758667
[2023-12-20 22:12:18,888][INFO] --epoch 16 loss 2.2016559839248657
[2023-12-20 22:12:18,894][INFO] --epoch 17 loss 2.2031978368759155
[2023-12-20 22:12:18,901][INFO] --epoch 18 loss 2.202759027481079
[2023-12-20 22:12:18,908][INFO] --epoch 19 loss 2.2009165287017822
[2023-12-20 22:12:18,914][INFO] --epoch 20 loss 2.19932222366333
[2023-12-20 22:12:18,921][INFO] --epoch 21 loss 2.197886824607849
[2023-12-20 22:12:18,927][INFO] --epoch 22 loss 2.195038080215454
[2023-12-20 22:12:18,934][INFO] --epoch 23 loss 2.1956779956817627
[2023-12-20 22:12:18,940][INFO] --epoch 24 loss 2.192766308784485
[2023-12-20 22:12:18,947][INFO] --epoch 25 loss 2.1911652088165283
[2023-12-20 22:12:18,953][INFO] --epoch 26 loss 2.1916526556015015
[2023-12-20 22:12:18,959][INFO] --epoch 27 loss 2.1908864974975586
[2023-12-20 22:12:18,965][INFO] --epoch 28 loss 2.1909165382385254
[2023-12-20 22:12:18,972][INFO] --epoch 29 loss 2.1895296573638916
[2023-12-20 22:12:18,978][INFO] --epoch 30 loss 2.1899449825286865
[2023-12-20 22:12:18,984][INFO] --epoch 31 loss 2.189502239227295
[2023-12-20 22:12:18,990][INFO] --epoch 32 loss 2.189671039581299
[2023-12-20 22:12:18,996][INFO] --epoch 33 loss 2.188898205757141
[2023-12-20 22:12:19,003][INFO] --epoch 34 loss 2.1893168687820435
[2023-12-20 22:12:19,009][INFO] --epoch 35 loss 2.188952088356018
[2023-12-20 22:12:19,015][INFO] --epoch 36 loss 2.188761353492737
[2023-12-20 22:12:19,022][INFO] --epoch 37 loss 2.1884292364120483
[2023-12-20 22:12:19,028][INFO] --epoch 38 loss 2.188556671142578
[2023-12-20 22:12:19,034][INFO] --epoch 39 loss 2.1879892349243164
[2023-12-20 22:12:19,041][INFO] --epoch 40 loss 2.187623977661133
[2023-12-20 22:12:19,048][INFO] --epoch 41 loss 2.187599539756775
[2023-12-20 22:12:19,054][INFO] --epoch 42 loss 2.1877325773239136
[2023-12-20 22:12:19,061][INFO] --epoch 43 loss 2.1875734329223633
[2023-12-20 22:12:19,067][INFO] --epoch 44 loss 2.187551736831665
[2023-12-20 22:12:19,074][INFO] --epoch 45 loss 2.187451481819153
[2023-12-20 22:12:19,080][INFO] --epoch 46 loss 2.187488555908203
[2023-12-20 22:12:19,087][INFO] --epoch 47 loss 2.1874865293502808
[2023-12-20 22:12:19,093][INFO] --epoch 48 loss 2.1874457597732544
[2023-12-20 22:12:19,101][INFO] --epoch 49 loss 2.187437653541565
[2023-12-20 22:12:19,108][INFO] --epoch 50 loss 2.1874349117279053
[2023-12-20 22:12:19,114][INFO] --epoch 51 loss 2.1874380111694336
[2023-12-20 22:12:19,120][INFO] --epoch 52 loss 2.1874548196792603
[2023-12-20 22:12:19,127][INFO] --epoch 53 loss 2.18746018409729
[2023-12-20 22:12:19,133][INFO] --epoch 54 loss 2.1874510049819946
[2023-12-20 22:12:19,139][INFO] --epoch 55 loss 2.187454581260681
[2023-12-20 22:12:19,146][INFO] --epoch 56 loss 2.1874518394470215
[2023-12-20 22:12:19,153][INFO] --epoch 57 loss 2.187407612800598
[2023-12-20 22:12:19,159][INFO] --epoch 58 loss 2.18748140335083
[2023-12-20 22:12:19,165][INFO] --epoch 59 loss 2.1880463361740112
[2023-12-20 22:12:19,172][INFO] --epoch 60 loss 2.187800645828247
[2023-12-20 22:12:19,179][INFO] --epoch 61 loss 2.1877856254577637
[2023-12-20 22:12:19,186][INFO] --epoch 62 loss 2.188346743583679
[2023-12-20 22:12:19,191][INFO] --epoch 63 loss 2.188044309616089
[2023-12-20 22:12:19,198][INFO] --epoch 64 loss 2.1877100467681885
[2023-12-20 22:12:19,204][INFO] --epoch 65 loss 2.1877212524414062
[2023-12-20 22:12:19,211][INFO] --epoch 66 loss 2.1867951154708862
[2023-12-20 22:12:19,217][INFO] --epoch 67 loss 2.1868789196014404
[2023-12-20 22:12:19,224][INFO] --epoch 68 loss 2.1869174242019653
[2023-12-20 22:12:19,230][INFO] --epoch 69 loss 2.188355565071106
[2023-12-20 22:12:19,237][INFO] --epoch 70 loss 2.1867916584014893
[2023-12-20 22:12:19,243][INFO] --epoch 71 loss 2.187821626663208
[2023-12-20 22:12:19,250][INFO] --epoch 72 loss 2.186888575553894
[2023-12-20 22:12:19,256][INFO] --epoch 73 loss 2.18769633769989
[2023-12-20 22:12:19,262][INFO] --epoch 74 loss 2.1870858669281006
[2023-12-20 22:12:19,269][INFO] --epoch 75 loss 2.186259627342224
[2023-12-20 22:12:19,276][INFO] --epoch 76 loss 2.185549020767212
[2023-12-20 22:12:19,282][INFO] --epoch 77 loss 2.186677932739258
[2023-12-20 22:12:19,289][INFO] --epoch 78 loss 2.184608817100525
[2023-12-20 22:12:19,295][INFO] --epoch 79 loss 2.1861547231674194
[2023-12-20 22:12:19,302][INFO] --epoch 80 loss 2.185479760169983
[2023-12-20 22:12:19,309][INFO] --epoch 81 loss 2.185077428817749
[2023-12-20 22:12:19,315][INFO] --epoch 82 loss 2.1841448545455933
[2023-12-20 22:12:19,322][INFO] --epoch 83 loss 2.1850136518478394
[2023-12-20 22:12:19,328][INFO] --epoch 84 loss 2.1827670335769653
[2023-12-20 22:12:19,334][INFO] --epoch 85 loss 2.184649109840393
[2023-12-20 22:12:19,341][INFO] --epoch 86 loss 2.181038498878479
[2023-12-20 22:12:19,347][INFO] --epoch 87 loss 2.1823889017105103
[2023-12-20 22:12:19,354][INFO] --epoch 88 loss 2.181315779685974
[2023-12-20 22:12:19,361][INFO] --epoch 89 loss 2.1830374002456665
[2023-12-20 22:12:19,368][INFO] --epoch 90 loss 2.184494137763977
[2023-12-20 22:12:19,374][INFO] --epoch 91 loss 2.183562755584717
[2023-12-20 22:12:19,381][INFO] --epoch 92 loss 2.183165669441223
[2023-12-20 22:12:19,388][INFO] --epoch 93 loss 2.1840089559555054
[2023-12-20 22:12:19,394][INFO] --epoch 94 loss 2.1842610836029053
[2023-12-20 22:12:19,400][INFO] --epoch 95 loss 2.1807498931884766
[2023-12-20 22:12:19,407][INFO] --epoch 96 loss 2.184425115585327
[2023-12-20 22:12:19,413][INFO] --epoch 97 loss 2.1881141662597656
[2023-12-20 22:12:19,419][INFO] --epoch 98 loss 2.1882011890411377
[2023-12-20 22:12:19,425][INFO] --epoch 99 loss 2.1897940635681152
[2023-12-20 22:12:19,431][INFO] --epoch 100 loss 2.1846600770950317
[2023-12-20 22:12:19,438][INFO] --epoch 101 loss 2.191294550895691
[2023-12-20 22:12:19,445][INFO] --epoch 102 loss 2.188818335533142
[2023-12-20 22:12:19,451][INFO] --epoch 103 loss 2.186350107192993
[2023-12-20 22:12:19,457][INFO] --epoch 104 loss 2.1834481954574585
[2023-12-20 22:12:19,464][INFO] --epoch 105 loss 2.184625029563904
[2023-12-20 22:12:19,470][INFO] --epoch 106 loss 2.1865001916885376
[2023-12-20 22:12:19,477][INFO] --epoch 107 loss 2.1881428956985474
[2023-12-20 22:12:19,483][INFO] --epoch 108 loss 2.1866997480392456
[2023-12-20 22:12:19,489][INFO] --epoch 109 loss 2.1867085695266724
[2023-12-20 22:12:19,496][INFO] --epoch 110 loss 2.184645652770996
[2023-12-20 22:12:19,503][INFO] --epoch 111 loss 2.183821201324463
[2023-12-20 22:12:19,510][INFO] --epoch 112 loss 2.1803224086761475
[2023-12-20 22:12:19,516][INFO] --epoch 113 loss 2.1814980506896973
[2023-12-20 22:12:19,523][INFO] --epoch 114 loss 2.1814002990722656
