[2023-12-21 01:47:59,517][INFO] 
===== FNN_small-0.05-500-small-2023-12-21-01-47-59 configuration =====
  exp_fn: test_goal_test
  seed: None
  dom: deeppoly
  start_abs_cnt: 500
  max_abs_cnt: 1000
  refine_top_k: 800
  tiny_width: 0.001
  lr: 0.001
  batch_size: 50
  min_epochs: 25
  max_epochs: 45
  use_scheduler: True
  no_pts: False
  no_abs: False
  no_refine: False
  quiet: False
  debug: False
  net: FNN_small
  no_repair: False
  repair_number: 500
  repair_batchsize: 1
  patch_size: small
  repair_radius: 0.05
  divided_repair: 1
  accuracy_loss: <function MnistArgParser.setup_rest.<locals>.ce_loss at 0x7f5cbaad8790>
  sample_amount: 5000
  reset_params: False
  train_datasize: 10000
  test_datasize: 10000
  repair_batch_size: 500
  scheduler_fn: <function ExpArgParser.setup_rest.<locals>.<lambda> at 0x7f5cbaad8ca0>
===== end of FNN_small-0.05-500-small-2023-12-21-01-47-59 configuration =====

[2023-12-21 01:47:59,517][INFO] ===== start repair ======
[2023-12-21 01:47:59,517][INFO] For pgd attack net
[2023-12-21 01:48:00,728][INFO] --big patch network: --- PatchNet ---
Name: small patch network 499
--- End of PatchNet ---
[2023-12-21 01:48:02,406][INFO] --load the trainset and testset as testing set
[2023-12-21 01:48:02,422][INFO] --evaluate the original net on testset
[2023-12-21 01:48:02,423][INFO] --For testset, out of 10000 items, ratio 0.9658
[2023-12-21 01:48:02,423][INFO] --evaluate the repaired net on testset and get the bitmap
[2023-12-21 01:48:02,882][INFO] --For testset, out of 10000 items, ratio 0.9658
[2023-12-21 01:48:02,882][INFO] --adv training
[2023-12-21 01:48:02,949][INFO] --epoch 0 loss 2.280610370635986
[2023-12-21 01:48:03,007][INFO] --epoch 1 loss 2.2595265030860903
[2023-12-21 01:48:03,066][INFO] --epoch 2 loss 2.2541128635406493
[2023-12-21 01:48:03,124][INFO] --epoch 3 loss 2.249738311767578
[2023-12-21 01:48:03,183][INFO] --epoch 4 loss 2.250210475921631
[2023-12-21 01:48:03,243][INFO] --epoch 5 loss 2.2481902956962587
[2023-12-21 01:48:03,301][INFO] --epoch 6 loss 2.2479085445404055
[2023-12-21 01:48:03,361][INFO] --epoch 7 loss 2.245195412635803
[2023-12-21 01:48:03,420][INFO] --epoch 8 loss 2.24286425113678
[2023-12-21 01:48:03,479][INFO] --epoch 9 loss 2.2319959878921507
[2023-12-21 01:48:03,538][INFO] --epoch 10 loss 2.150259095430374
[2023-12-21 01:48:03,597][INFO] --epoch 11 loss 1.899578756093979
[2023-12-21 01:48:03,655][INFO] --epoch 12 loss 1.8698346674442292
[2023-12-21 01:48:03,716][INFO] --epoch 13 loss 1.888641095161438
[2023-12-21 01:48:03,771][INFO] --epoch 14 loss 1.7335816621780396
[2023-12-21 01:48:03,829][INFO] --epoch 15 loss 1.7567483365535737
[2023-12-21 01:48:03,885][INFO] --epoch 16 loss 1.6182760655879975
[2023-12-21 01:48:03,944][INFO] --epoch 17 loss 1.619885104894638
[2023-12-21 01:48:04,002][INFO] --epoch 18 loss 1.4203457176685332
[2023-12-21 01:48:04,061][INFO] --epoch 19 loss 1.3949728727340698
[2023-12-21 01:48:04,122][INFO] --epoch 20 loss 1.2459632992744445
[2023-12-21 01:48:04,181][INFO] --epoch 21 loss 1.2257653534412385
[2023-12-21 01:48:04,242][INFO] --epoch 22 loss 1.0585240423679352
[2023-12-21 01:48:04,302][INFO] --epoch 23 loss 0.9520426899194717
[2023-12-21 01:48:04,363][INFO] --epoch 24 loss 0.8506370082497596
[2023-12-21 01:48:04,422][INFO] --epoch 25 loss 0.7531590610742569
[2023-12-21 01:48:04,481][INFO] --epoch 26 loss 0.7157951921224595
[2023-12-21 01:48:04,540][INFO] --epoch 27 loss 0.6778662890195847
[2023-12-21 01:48:04,599][INFO] --epoch 28 loss 0.5830718651413918
[2023-12-21 01:48:04,658][INFO] --epoch 29 loss 0.5304952546954155
[2023-12-21 01:48:04,720][INFO] --epoch 30 loss 0.4063307121396065
[2023-12-21 01:48:04,780][INFO] --epoch 31 loss 0.5265738762915134
[2023-12-21 01:48:04,839][INFO] --epoch 32 loss 0.3492685452103615
[2023-12-21 01:48:04,899][INFO] --epoch 33 loss 0.3173604689538479
[2023-12-21 01:48:04,957][INFO] --epoch 34 loss 0.30880565866827964
[2023-12-21 01:48:05,016][INFO] --epoch 35 loss 0.28307055309414864
[2023-12-21 01:48:05,073][INFO] --epoch 36 loss 0.23963047713041305
[2023-12-21 01:48:05,132][INFO] --epoch 37 loss 0.21778020337224008
[2023-12-21 01:48:05,190][INFO] --epoch 38 loss 0.20374613925814627
[2023-12-21 01:48:05,249][INFO] --epoch 39 loss 0.18742448575794696
[2023-12-21 01:48:05,308][INFO] --epoch 40 loss 0.17385241240262986
[2023-12-21 01:48:05,367][INFO] --epoch 41 loss 0.16520196720957755
[2023-12-21 01:48:05,427][INFO] --epoch 42 loss 0.15384687967598437
[2023-12-21 01:48:05,486][INFO] --epoch 43 loss 0.14668432772159576
[2023-12-21 01:48:05,546][INFO] --epoch 44 loss 0.13476103395223618
[2023-12-21 01:48:05,603][INFO] --epoch 45 loss 0.1350613586604595
[2023-12-21 01:48:05,665][INFO] --epoch 46 loss 0.13157227542251348
[2023-12-21 01:48:05,724][INFO] --epoch 47 loss 0.12941082566976547
[2023-12-21 01:48:05,784][INFO] --epoch 48 loss 0.1279239408671856
[2023-12-21 01:48:05,842][INFO] --epoch 49 loss 0.12755662575364113
[2023-12-21 01:48:05,902][INFO] --epoch 50 loss 0.12742262110114097
[2023-12-21 01:48:05,960][INFO] --epoch 51 loss 0.1274157278239727
[2023-12-21 01:48:06,021][INFO] --epoch 52 loss 0.1276380117982626
[2023-12-21 01:48:06,082][INFO] --epoch 53 loss 0.12735479772090913
[2023-12-21 01:48:06,142][INFO] --epoch 54 loss 0.1279747050255537
[2023-12-21 01:48:06,199][INFO] --epoch 55 loss 0.12725717425346375
[2023-12-21 01:48:06,257][INFO] --epoch 56 loss 0.12793444152921438
[2023-12-21 01:48:06,316][INFO] --epoch 57 loss 0.12375071756541729
[2023-12-21 01:48:06,374][INFO] --epoch 58 loss 0.12229200266301632
[2023-12-21 01:48:06,433][INFO] --epoch 59 loss 0.12341278120875358
[2023-12-21 01:48:06,492][INFO] --epoch 60 loss 0.12504712603986262
[2023-12-21 01:48:06,552][INFO] --epoch 61 loss 0.11895955521613359
[2023-12-21 01:48:06,613][INFO] --epoch 62 loss 0.11826673410832882
[2023-12-21 01:48:06,673][INFO] --epoch 63 loss 0.12744173016399146
[2023-12-21 01:48:06,733][INFO] --epoch 64 loss 0.11992588602006435
[2023-12-21 01:48:06,792][INFO] --epoch 65 loss 0.14844186902046203
[2023-12-21 01:48:06,849][INFO] --epoch 66 loss 0.17900186497718096
[2023-12-21 01:48:06,909][INFO] --epoch 67 loss 0.29439295306801794
[2023-12-21 01:48:06,969][INFO] --epoch 68 loss 0.17852218113839627
[2023-12-21 01:48:07,028][INFO] --epoch 69 loss 0.16600522585213184
[2023-12-21 01:48:07,086][INFO] --epoch 70 loss 0.1865655355155468
[2023-12-21 01:48:07,145][INFO] --epoch 71 loss 0.38829726427793504
[2023-12-21 01:48:07,203][INFO] --epoch 72 loss 0.19899091459810733
[2023-12-21 01:48:07,261][INFO] --epoch 73 loss 0.13438321743160486
[2023-12-21 01:48:07,321][INFO] --epoch 74 loss 0.2588012356311083
[2023-12-21 01:48:07,380][INFO] --epoch 75 loss 0.4947889490053058
[2023-12-21 01:48:07,439][INFO] --epoch 76 loss 0.34650302305817604
[2023-12-21 01:48:07,497][INFO] --epoch 77 loss 0.17433096207678317
[2023-12-21 01:48:07,558][INFO] --epoch 78 loss 0.47114641033113003
[2023-12-21 01:48:07,617][INFO] --epoch 79 loss 0.4209221873432398
[2023-12-21 01:48:07,677][INFO] --epoch 80 loss 0.27429783158004284
