[2023-12-21 04:46:04,732][INFO] 
===== FNN_small-0.1-100-small-2023-12-21-04-46-04 configuration =====
  exp_fn: test_goal_test
  seed: None
  dom: deeppoly
  start_abs_cnt: 500
  max_abs_cnt: 1000
  refine_top_k: 800
  tiny_width: 0.001
  lr: 0.001
  batch_size: 50
  min_epochs: 25
  max_epochs: 45
  use_scheduler: True
  no_pts: False
  no_abs: False
  no_refine: False
  quiet: False
  debug: False
  net: FNN_small
  no_repair: False
  repair_number: 100
  repair_batchsize: 1
  patch_size: small
  repair_radius: 0.1
  divided_repair: 1
  accuracy_loss: <function MnistArgParser.setup_rest.<locals>.ce_loss at 0x7f5cbaac58b0>
  sample_amount: 5000
  reset_params: False
  train_datasize: 10000
  test_datasize: 10000
  repair_batch_size: 100
  scheduler_fn: <function ExpArgParser.setup_rest.<locals>.<lambda> at 0x7f5c6a96df70>
===== end of FNN_small-0.1-100-small-2023-12-21-04-46-04 configuration =====

[2023-12-21 04:46:04,732][INFO] ===== start repair ======
[2023-12-21 04:46:04,732][INFO] For pgd attack net
[2023-12-21 04:46:04,942][INFO] --big patch network: --- PatchNet ---
Name: small patch network 99
--- End of PatchNet ---
[2023-12-21 04:46:05,264][INFO] --load the trainset and testset as testing set
[2023-12-21 04:46:05,271][INFO] --evaluate the original net on testset
[2023-12-21 04:46:05,272][INFO] --For testset, out of 10000 items, ratio 0.9658
[2023-12-21 04:46:05,272][INFO] --evaluate the repaired net on testset and get the bitmap
[2023-12-21 04:46:05,346][INFO] --For testset, out of 10000 items, ratio 0.9658
[2023-12-21 04:46:05,347][INFO] --adv training
[2023-12-21 04:46:05,365][INFO] --epoch 0 loss 2.319209933280945
[2023-12-21 04:46:05,377][INFO] --epoch 1 loss 2.3081575632095337
[2023-12-21 04:46:05,389][INFO] --epoch 2 loss 2.297415256500244
[2023-12-21 04:46:05,402][INFO] --epoch 3 loss 2.2919747829437256
[2023-12-21 04:46:05,414][INFO] --epoch 4 loss 2.28324818611145
[2023-12-21 04:46:05,426][INFO] --epoch 5 loss 2.278578460216522
[2023-12-21 04:46:05,438][INFO] --epoch 6 loss 2.2745953798294067
[2023-12-21 04:46:05,450][INFO] --epoch 7 loss 2.2744657397270203
[2023-12-21 04:46:05,463][INFO] --epoch 8 loss 2.2742218375205994
[2023-12-21 04:46:05,475][INFO] --epoch 9 loss 2.2690351605415344
[2023-12-21 04:46:05,487][INFO] --epoch 10 loss 2.27076256275177
[2023-12-21 04:46:05,500][INFO] --epoch 11 loss 2.2717097401618958
[2023-12-21 04:46:05,512][INFO] --epoch 12 loss 2.2669342756271362
[2023-12-21 04:46:05,524][INFO] --epoch 13 loss 2.2677608728408813
[2023-12-21 04:46:05,536][INFO] --epoch 14 loss 2.2671818137168884
[2023-12-21 04:46:05,549][INFO] --epoch 15 loss 2.2679615020751953
[2023-12-21 04:46:05,561][INFO] --epoch 16 loss 2.2666311264038086
[2023-12-21 04:46:05,574][INFO] --epoch 17 loss 2.268987715244293
[2023-12-21 04:46:05,585][INFO] --epoch 18 loss 2.2663537859916687
[2023-12-21 04:46:05,598][INFO] --epoch 19 loss 2.2659634947776794
[2023-12-21 04:46:05,610][INFO] --epoch 20 loss 2.264015257358551
[2023-12-21 04:46:05,622][INFO] --epoch 21 loss 2.263992726802826
[2023-12-21 04:46:05,634][INFO] --epoch 22 loss 2.265351116657257
[2023-12-21 04:46:05,647][INFO] --epoch 23 loss 2.2649823427200317
[2023-12-21 04:46:05,658][INFO] --epoch 24 loss 2.265231490135193
[2023-12-21 04:46:05,670][INFO] --epoch 25 loss 2.2641881704330444
[2023-12-21 04:46:05,683][INFO] --epoch 26 loss 2.264663279056549
[2023-12-21 04:46:05,695][INFO] --epoch 27 loss 2.263874113559723
[2023-12-21 04:46:05,707][INFO] --epoch 28 loss 2.264391779899597
[2023-12-21 04:46:05,720][INFO] --epoch 29 loss 2.2636863589286804
[2023-12-21 04:46:05,732][INFO] --epoch 30 loss 2.262878894805908
[2023-12-21 04:46:05,744][INFO] --epoch 31 loss 2.2625768184661865
[2023-12-21 04:46:05,756][INFO] --epoch 32 loss 2.261993706226349
[2023-12-21 04:46:05,768][INFO] --epoch 33 loss 2.2620760798454285
[2023-12-21 04:46:05,780][INFO] --epoch 34 loss 2.261337161064148
[2023-12-21 04:46:05,793][INFO] --epoch 35 loss 2.261792480945587
[2023-12-21 04:46:05,805][INFO] --epoch 36 loss 2.261301279067993
[2023-12-21 04:46:05,817][INFO] --epoch 37 loss 2.261504888534546
[2023-12-21 04:46:05,829][INFO] --epoch 38 loss 2.26098895072937
[2023-12-21 04:46:05,842][INFO] --epoch 39 loss 2.2612017393112183
[2023-12-21 04:46:05,854][INFO] --epoch 40 loss 2.260725677013397
[2023-12-21 04:46:05,867][INFO] --epoch 41 loss 2.2607442140579224
[2023-12-21 04:46:05,879][INFO] --epoch 42 loss 2.26063871383667
[2023-12-21 04:46:05,891][INFO] --epoch 43 loss 2.2605901956558228
[2023-12-21 04:46:05,904][INFO] --epoch 44 loss 2.260536313056946
[2023-12-21 04:46:05,916][INFO] --epoch 45 loss 2.260409712791443
[2023-12-21 04:46:05,928][INFO] --epoch 46 loss 2.260309875011444
[2023-12-21 04:46:05,940][INFO] --epoch 47 loss 2.2603222727775574
[2023-12-21 04:46:05,952][INFO] --epoch 48 loss 2.2602774500846863
[2023-12-21 04:46:05,964][INFO] --epoch 49 loss 2.260266900062561
[2023-12-21 04:46:05,976][INFO] --epoch 50 loss 2.260261833667755
[2023-12-21 04:46:05,989][INFO] --epoch 51 loss 2.2602641582489014
[2023-12-21 04:46:06,002][INFO] --epoch 52 loss 2.2602935433387756
[2023-12-21 04:46:06,014][INFO] --epoch 53 loss 2.26029634475708
[2023-12-21 04:46:06,026][INFO] --epoch 54 loss 2.2603400349617004
[2023-12-21 04:46:06,038][INFO] --epoch 55 loss 2.2603418231010437
[2023-12-21 04:46:06,051][INFO] --epoch 56 loss 2.260362446308136
[2023-12-21 04:46:06,063][INFO] --epoch 57 loss 2.260425865650177
[2023-12-21 04:46:06,076][INFO] --epoch 58 loss 2.2603540420532227
[2023-12-21 04:46:06,088][INFO] --epoch 59 loss 2.2607120275497437
[2023-12-21 04:46:06,100][INFO] --epoch 60 loss 2.2606977224349976
[2023-12-21 04:46:06,112][INFO] --epoch 61 loss 2.260954797267914
[2023-12-21 04:46:06,125][INFO] --epoch 62 loss 2.260893940925598
[2023-12-21 04:46:06,137][INFO] --epoch 63 loss 2.260615646839142
[2023-12-21 04:46:06,149][INFO] --epoch 64 loss 2.260493040084839
