[2023-12-21 05:16:43,189][INFO] 
===== FNN_small-0.1-200-small-2023-12-21-05-16-43 configuration =====
  exp_fn: test_goal_test
  seed: None
  dom: deeppoly
  start_abs_cnt: 500
  max_abs_cnt: 1000
  refine_top_k: 800
  tiny_width: 0.001
  lr: 0.001
  batch_size: 50
  min_epochs: 25
  max_epochs: 45
  use_scheduler: True
  no_pts: False
  no_abs: False
  no_refine: False
  quiet: False
  debug: False
  net: FNN_small
  no_repair: False
  repair_number: 200
  repair_batchsize: 1
  patch_size: small
  repair_radius: 0.1
  divided_repair: 1
  accuracy_loss: <function MnistArgParser.setup_rest.<locals>.ce_loss at 0x7f5c6a982a60>
  sample_amount: 5000
  reset_params: False
  train_datasize: 10000
  test_datasize: 10000
  repair_batch_size: 200
  scheduler_fn: <function ExpArgParser.setup_rest.<locals>.<lambda> at 0x7f5cbaac58b0>
===== end of FNN_small-0.1-200-small-2023-12-21-05-16-43 configuration =====

[2023-12-21 05:16:43,190][INFO] ===== start repair ======
[2023-12-21 05:16:43,190][INFO] For pgd attack net
[2023-12-21 05:16:43,594][INFO] --big patch network: --- PatchNet ---
Name: small patch network 199
--- End of PatchNet ---
[2023-12-21 05:16:44,178][INFO] --load the trainset and testset as testing set
[2023-12-21 05:16:44,186][INFO] --evaluate the original net on testset
[2023-12-21 05:16:44,186][INFO] --For testset, out of 10000 items, ratio 0.9658
[2023-12-21 05:16:44,187][INFO] --evaluate the repaired net on testset and get the bitmap
[2023-12-21 05:16:44,335][INFO] --For testset, out of 10000 items, ratio 0.9658
[2023-12-21 05:16:44,335][INFO] --adv training
[2023-12-21 05:16:44,364][INFO] --epoch 0 loss 2.3107681572437286
[2023-12-21 05:16:44,388][INFO] --epoch 1 loss 2.296942174434662
[2023-12-21 05:16:44,412][INFO] --epoch 2 loss 2.292713016271591
[2023-12-21 05:16:44,435][INFO] --epoch 3 loss 2.291975826025009
[2023-12-21 05:16:44,460][INFO] --epoch 4 loss 2.287084400653839
[2023-12-21 05:16:44,484][INFO] --epoch 5 loss 2.288027763366699
[2023-12-21 05:16:44,508][INFO] --epoch 6 loss 2.2833657562732697
[2023-12-21 05:16:44,531][INFO] --epoch 7 loss 2.2852809727191925
[2023-12-21 05:16:44,555][INFO] --epoch 8 loss 2.284800499677658
[2023-12-21 05:16:44,578][INFO] --epoch 9 loss 2.2836668491363525
[2023-12-21 05:16:44,601][INFO] --epoch 10 loss 2.282408356666565
[2023-12-21 05:16:44,625][INFO] --epoch 11 loss 2.2800720036029816
[2023-12-21 05:16:44,648][INFO] --epoch 12 loss 2.280154675245285
[2023-12-21 05:16:44,673][INFO] --epoch 13 loss 2.2786130905151367
[2023-12-21 05:16:44,697][INFO] --epoch 14 loss 2.2774109840393066
[2023-12-21 05:16:44,720][INFO] --epoch 15 loss 2.275585263967514
[2023-12-21 05:16:44,744][INFO] --epoch 16 loss 2.2699115574359894
[2023-12-21 05:16:44,767][INFO] --epoch 17 loss 2.2672044336795807
[2023-12-21 05:16:44,791][INFO] --epoch 18 loss 2.259455233812332
[2023-12-21 05:16:44,813][INFO] --epoch 19 loss 2.2420173287391663
[2023-12-21 05:16:44,837][INFO] --epoch 20 loss 2.215929329395294
[2023-12-21 05:16:44,861][INFO] --epoch 21 loss 2.16477969288826
[2023-12-21 05:16:44,885][INFO] --epoch 22 loss 2.0776656568050385
[2023-12-21 05:16:44,908][INFO] --epoch 23 loss 1.9778624922037125
[2023-12-21 05:16:44,931][INFO] --epoch 24 loss 1.8782243579626083
[2023-12-21 05:16:44,956][INFO] --epoch 25 loss 1.8820393681526184
[2023-12-21 05:16:44,979][INFO] --epoch 26 loss 1.82964526116848
[2023-12-21 05:16:45,003][INFO] --epoch 27 loss 1.9449128210544586
[2023-12-21 05:16:45,026][INFO] --epoch 28 loss 1.7175048142671585
[2023-12-21 05:16:45,049][INFO] --epoch 29 loss 1.7717199921607971
[2023-12-21 05:16:45,072][INFO] --epoch 30 loss 1.7395060807466507
[2023-12-21 05:16:45,096][INFO] --epoch 31 loss 1.6722667962312698
[2023-12-21 05:16:45,120][INFO] --epoch 32 loss 1.6270270496606827
[2023-12-21 05:16:45,143][INFO] --epoch 33 loss 1.6289125233888626
[2023-12-21 05:16:45,167][INFO] --epoch 34 loss 1.5415104180574417
[2023-12-21 05:16:45,191][INFO] --epoch 35 loss 1.5007795989513397
[2023-12-21 05:16:45,214][INFO] --epoch 36 loss 1.5201619565486908
[2023-12-21 05:16:45,238][INFO] --epoch 37 loss 1.4360699355602264
[2023-12-21 05:16:45,261][INFO] --epoch 38 loss 1.3709896802902222
[2023-12-21 05:16:45,284][INFO] --epoch 39 loss 1.3405562788248062
[2023-12-21 05:16:45,308][INFO] --epoch 40 loss 1.326828345656395
[2023-12-21 05:16:45,332][INFO] --epoch 41 loss 1.2811354249715805
[2023-12-21 05:16:45,355][INFO] --epoch 42 loss 1.2572961300611496
[2023-12-21 05:16:45,379][INFO] --epoch 43 loss 1.2308609187602997
[2023-12-21 05:16:45,402][INFO] --epoch 44 loss 1.2182631194591522
[2023-12-21 05:16:45,425][INFO] --epoch 45 loss 1.204113557934761
[2023-12-21 05:16:45,448][INFO] --epoch 46 loss 1.188357174396515
[2023-12-21 05:16:45,472][INFO] --epoch 47 loss 1.1821777373552322
[2023-12-21 05:16:45,496][INFO] --epoch 48 loss 1.1768312752246857
[2023-12-21 05:16:45,519][INFO] --epoch 49 loss 1.1755323857069016
