[2023-12-21 05:48:16,057][INFO] 
===== FNN_small-0.1-500-small-2023-12-21-05-48-16 configuration =====
  exp_fn: test_goal_test
  seed: None
  dom: deeppoly
  start_abs_cnt: 500
  max_abs_cnt: 1000
  refine_top_k: 800
  tiny_width: 0.001
  lr: 0.001
  batch_size: 50
  min_epochs: 25
  max_epochs: 45
  use_scheduler: True
  no_pts: False
  no_abs: False
  no_refine: False
  quiet: False
  debug: False
  net: FNN_small
  no_repair: False
  repair_number: 500
  repair_batchsize: 1
  patch_size: small
  repair_radius: 0.1
  divided_repair: 1
  accuracy_loss: <function MnistArgParser.setup_rest.<locals>.ce_loss at 0x7f5cbaad8e50>
  sample_amount: 5000
  reset_params: False
  train_datasize: 10000
  test_datasize: 10000
  repair_batch_size: 500
  scheduler_fn: <function ExpArgParser.setup_rest.<locals>.<lambda> at 0x7f5cbaad8700>
===== end of FNN_small-0.1-500-small-2023-12-21-05-48-16 configuration =====

[2023-12-21 05:48:16,057][INFO] ===== start repair ======
[2023-12-21 05:48:16,057][INFO] For pgd attack net
[2023-12-21 05:48:17,117][INFO] --big patch network: --- PatchNet ---
Name: small patch network 499
--- End of PatchNet ---
[2023-12-21 05:48:18,541][INFO] --load the trainset and testset as testing set
[2023-12-21 05:48:18,558][INFO] --evaluate the original net on testset
[2023-12-21 05:48:18,559][INFO] --For testset, out of 10000 items, ratio 0.9658
[2023-12-21 05:48:18,559][INFO] --evaluate the repaired net on testset and get the bitmap
[2023-12-21 05:48:18,911][INFO] --For testset, out of 10000 items, ratio 0.9658
[2023-12-21 05:48:18,911][INFO] --adv training
[2023-12-21 05:48:18,975][INFO] --epoch 0 loss 2.3042227029800415
[2023-12-21 05:48:19,034][INFO] --epoch 1 loss 2.298394775390625
[2023-12-21 05:48:19,094][INFO] --epoch 2 loss 2.2948681473731996
[2023-12-21 05:48:19,153][INFO] --epoch 3 loss 2.2916394114494323
[2023-12-21 05:48:19,212][INFO] --epoch 4 loss 2.292515730857849
[2023-12-21 05:48:19,269][INFO] --epoch 5 loss 2.293505835533142
[2023-12-21 05:48:19,324][INFO] --epoch 6 loss 2.291870629787445
[2023-12-21 05:48:19,380][INFO] --epoch 7 loss 2.286903703212738
[2023-12-21 05:48:19,439][INFO] --epoch 8 loss 2.280835199356079
[2023-12-21 05:48:19,498][INFO] --epoch 9 loss 2.2512092709541323
[2023-12-21 05:48:19,557][INFO] --epoch 10 loss 2.116570293903351
[2023-12-21 05:48:19,614][INFO] --epoch 11 loss 1.8872476637363433
[2023-12-21 05:48:19,671][INFO] --epoch 12 loss 1.8066204905509948
[2023-12-21 05:48:19,730][INFO] --epoch 13 loss 1.7669093370437623
[2023-12-21 05:48:19,788][INFO] --epoch 14 loss 1.7154452800750732
[2023-12-21 05:48:19,846][INFO] --epoch 15 loss 1.5805509626865386
[2023-12-21 05:48:19,903][INFO] --epoch 16 loss 1.4962831437587738
[2023-12-21 05:48:19,962][INFO] --epoch 17 loss 1.3587561428546906
[2023-12-21 05:48:20,019][INFO] --epoch 18 loss 1.2599900096654892
[2023-12-21 05:48:20,077][INFO] --epoch 19 loss 1.1141471594572068
[2023-12-21 05:48:20,135][INFO] --epoch 20 loss 1.0180397868156432
[2023-12-21 05:48:20,192][INFO] --epoch 21 loss 0.9096776872873307
[2023-12-21 05:48:20,251][INFO] --epoch 22 loss 0.8363795876502991
[2023-12-21 05:48:20,308][INFO] --epoch 23 loss 0.6646123796701431
[2023-12-21 05:48:20,366][INFO] --epoch 24 loss 0.5556556478142738
[2023-12-21 05:48:20,425][INFO] --epoch 25 loss 0.43871053233742713
[2023-12-21 05:48:20,481][INFO] --epoch 26 loss 0.3878406472504139
[2023-12-21 05:48:20,539][INFO] --epoch 27 loss 0.278823434561491
[2023-12-21 05:48:20,598][INFO] --epoch 28 loss 0.17993371672928332
[2023-12-21 05:48:20,656][INFO] --epoch 29 loss 0.23348076604306697
[2023-12-21 05:48:20,714][INFO] --epoch 30 loss 0.14517322927713394
[2023-12-21 05:48:20,774][INFO] --epoch 31 loss 0.1312525521032512
[2023-12-21 05:48:20,834][INFO] --epoch 32 loss 0.07900678049772977
[2023-12-21 05:48:20,891][INFO] --epoch 33 loss 0.06414103116840124
[2023-12-21 05:48:20,949][INFO] --epoch 34 loss 0.060755252838134766
[2023-12-21 05:48:21,006][INFO] --epoch 35 loss 0.052651213761419055
[2023-12-21 05:48:21,064][INFO] --epoch 36 loss 0.04633241174742579
[2023-12-21 05:48:21,123][INFO] --epoch 37 loss 0.04836028981953859
[2023-12-21 05:48:21,181][INFO] --epoch 38 loss 0.04581497777253389
[2023-12-21 05:48:21,238][INFO] --epoch 39 loss 0.04296591458842158
[2023-12-21 05:48:21,297][INFO] --epoch 40 loss 0.04195805275812745
[2023-12-21 05:48:21,356][INFO] --epoch 41 loss 0.039595653489232066
