[2023-12-21 07:04:01,657][INFO] 
===== FNN_small-0.3-100-small-2023-12-21-07-04-01 configuration =====
  exp_fn: test_goal_test
  seed: None
  dom: deeppoly
  start_abs_cnt: 500
  max_abs_cnt: 1000
  refine_top_k: 800
  tiny_width: 0.001
  lr: 0.001
  batch_size: 50
  min_epochs: 25
  max_epochs: 45
  use_scheduler: True
  no_pts: False
  no_abs: False
  no_refine: False
  quiet: False
  debug: False
  net: FNN_small
  no_repair: False
  repair_number: 100
  repair_batchsize: 1
  patch_size: small
  repair_radius: 0.3
  divided_repair: 1
  accuracy_loss: <function MnistArgParser.setup_rest.<locals>.ce_loss at 0x7f5cbaad8e50>
  sample_amount: 5000
  reset_params: False
  train_datasize: 10000
  test_datasize: 10000
  repair_batch_size: 100
  scheduler_fn: <function ExpArgParser.setup_rest.<locals>.<lambda> at 0x7f5cbaac58b0>
===== end of FNN_small-0.3-100-small-2023-12-21-07-04-01 configuration =====

[2023-12-21 07:04:01,658][INFO] ===== start repair ======
[2023-12-21 07:04:01,658][INFO] For pgd attack net
[2023-12-21 07:04:01,970][INFO] --big patch network: --- PatchNet ---
Name: small patch network 99
--- End of PatchNet ---
[2023-12-21 07:04:02,357][INFO] --load the trainset and testset as testing set
[2023-12-21 07:04:02,364][INFO] --evaluate the original net on testset
[2023-12-21 07:04:02,364][INFO] --For testset, out of 10000 items, ratio 0.9658
[2023-12-21 07:04:02,365][INFO] --evaluate the repaired net on testset and get the bitmap
[2023-12-21 07:04:02,458][INFO] --For testset, out of 10000 items, ratio 0.9658
[2023-12-21 07:04:02,458][INFO] --adv training
[2023-12-21 07:04:02,476][INFO] --epoch 0 loss 2.311227858066559
[2023-12-21 07:04:02,488][INFO] --epoch 1 loss 2.302132546901703
[2023-12-21 07:04:02,501][INFO] --epoch 2 loss 2.297819435596466
[2023-12-21 07:04:02,514][INFO] --epoch 3 loss 2.291482448577881
[2023-12-21 07:04:02,526][INFO] --epoch 4 loss 2.288991093635559
[2023-12-21 07:04:02,539][INFO] --epoch 5 loss 2.2832857966423035
[2023-12-21 07:04:02,551][INFO] --epoch 6 loss 2.2811391949653625
[2023-12-21 07:04:02,566][INFO] --epoch 7 loss 2.279202103614807
[2023-12-21 07:04:02,579][INFO] --epoch 8 loss 2.2783798575401306
[2023-12-21 07:04:02,592][INFO] --epoch 9 loss 2.2749637961387634
[2023-12-21 07:04:02,604][INFO] --epoch 10 loss 2.2763121724128723
[2023-12-21 07:04:02,616][INFO] --epoch 11 loss 2.274836838245392
[2023-12-21 07:04:02,629][INFO] --epoch 12 loss 2.2759586572647095
[2023-12-21 07:04:02,641][INFO] --epoch 13 loss 2.273342251777649
[2023-12-21 07:04:02,654][INFO] --epoch 14 loss 2.2735727429389954
[2023-12-21 07:04:02,667][INFO] --epoch 15 loss 2.273811161518097
[2023-12-21 07:04:02,679][INFO] --epoch 16 loss 2.2728434801101685
[2023-12-21 07:04:02,692][INFO] --epoch 17 loss 2.2731791734695435
[2023-12-21 07:04:02,705][INFO] --epoch 18 loss 2.2732772827148438
[2023-12-21 07:04:02,717][INFO] --epoch 19 loss 2.2722120881080627
[2023-12-21 07:04:02,729][INFO] --epoch 20 loss 2.271167039871216
[2023-12-21 07:04:02,741][INFO] --epoch 21 loss 2.2710567712783813
[2023-12-21 07:04:02,754][INFO] --epoch 22 loss 2.2716925144195557
[2023-12-21 07:04:02,767][INFO] --epoch 23 loss 2.2698322534561157
[2023-12-21 07:04:02,779][INFO] --epoch 24 loss 2.270367383956909
[2023-12-21 07:04:02,791][INFO] --epoch 25 loss 2.2694600224494934
[2023-12-21 07:04:02,803][INFO] --epoch 26 loss 2.269679844379425
[2023-12-21 07:04:02,816][INFO] --epoch 27 loss 2.2678714394569397
[2023-12-21 07:04:02,828][INFO] --epoch 28 loss 2.268271505832672
[2023-12-21 07:04:02,841][INFO] --epoch 29 loss 2.267785668373108
[2023-12-21 07:04:02,855][INFO] --epoch 30 loss 2.267038941383362
[2023-12-21 07:04:02,867][INFO] --epoch 31 loss 2.267074465751648
[2023-12-21 07:04:02,878][INFO] --epoch 32 loss 2.2683594822883606
[2023-12-21 07:04:02,892][INFO] --epoch 33 loss 2.267045795917511
[2023-12-21 07:04:02,903][INFO] --epoch 34 loss 2.266010582447052
[2023-12-21 07:04:02,916][INFO] --epoch 35 loss 2.2657522559165955
[2023-12-21 07:04:02,928][INFO] --epoch 36 loss 2.2658371329307556
[2023-12-21 07:04:02,940][INFO] --epoch 37 loss 2.265854060649872
[2023-12-21 07:04:02,952][INFO] --epoch 38 loss 2.2655263543128967
[2023-12-21 07:04:02,965][INFO] --epoch 39 loss 2.2654502391815186
[2023-12-21 07:04:02,977][INFO] --epoch 40 loss 2.264833688735962
[2023-12-21 07:04:02,988][INFO] --epoch 41 loss 2.2650450468063354
[2023-12-21 07:04:03,000][INFO] --epoch 42 loss 2.2648850083351135
[2023-12-21 07:04:03,013][INFO] --epoch 43 loss 2.2647790908813477
[2023-12-21 07:04:03,025][INFO] --epoch 44 loss 2.26466828584671
[2023-12-21 07:04:03,038][INFO] --epoch 45 loss 2.264638125896454
[2023-12-21 07:04:03,051][INFO] --epoch 46 loss 2.264580488204956
[2023-12-21 07:04:03,063][INFO] --epoch 47 loss 2.264569044113159
[2023-12-21 07:04:03,075][INFO] --epoch 48 loss 2.264526903629303
[2023-12-21 07:04:03,087][INFO] --epoch 49 loss 2.2645152807235718
[2023-12-21 07:04:03,099][INFO] --epoch 50 loss 2.2645100951194763
[2023-12-21 07:04:03,110][INFO] --epoch 51 loss 2.2645139694213867
[2023-12-21 07:04:03,122][INFO] --epoch 52 loss 2.2645257115364075
[2023-12-21 07:04:03,134][INFO] --epoch 53 loss 2.2645347118377686
[2023-12-21 07:04:03,146][INFO] --epoch 54 loss 2.2645679116249084
[2023-12-21 07:04:03,159][INFO] --epoch 55 loss 2.2645490765571594
[2023-12-21 07:04:03,171][INFO] --epoch 56 loss 2.2646368741989136
