[2023-12-21 06:58:15,994][INFO] 
===== FNN_small-0.3-50-small-2023-12-21-06-58-15 configuration =====
  exp_fn: test_goal_test
  seed: None
  dom: deeppoly
  start_abs_cnt: 500
  max_abs_cnt: 1000
  refine_top_k: 800
  tiny_width: 0.001
  lr: 0.001
  batch_size: 50
  min_epochs: 25
  max_epochs: 45
  use_scheduler: True
  no_pts: False
  no_abs: False
  no_refine: False
  quiet: False
  debug: False
  net: FNN_small
  no_repair: False
  repair_number: 50
  repair_batchsize: 1
  patch_size: small
  repair_radius: 0.3
  divided_repair: 1
  accuracy_loss: <function MnistArgParser.setup_rest.<locals>.ce_loss at 0x7f5cbaad8790>
  sample_amount: 5000
  reset_params: False
  train_datasize: 10000
  test_datasize: 10000
  repair_batch_size: 50
  scheduler_fn: <function ExpArgParser.setup_rest.<locals>.<lambda> at 0x7f5cbaad8e50>
===== end of FNN_small-0.3-50-small-2023-12-21-06-58-15 configuration =====

[2023-12-21 06:58:15,994][INFO] ===== start repair ======
[2023-12-21 06:58:15,994][INFO] For pgd attack net
[2023-12-21 06:58:16,102][INFO] --big patch network: --- PatchNet ---
Name: small patch network 49
--- End of PatchNet ---
[2023-12-21 06:58:16,290][INFO] --load the trainset and testset as testing set
[2023-12-21 06:58:16,306][INFO] --evaluate the original net on testset
[2023-12-21 06:58:16,307][INFO] --For testset, out of 10000 items, ratio 0.9658
[2023-12-21 06:58:16,307][INFO] --evaluate the repaired net on testset and get the bitmap
[2023-12-21 06:58:16,345][INFO] --For testset, out of 10000 items, ratio 0.9658
[2023-12-21 06:58:16,345][INFO] --adv training
[2023-12-21 06:58:16,358][INFO] --epoch 0 loss 2.300510048866272
[2023-12-21 06:58:16,366][INFO] --epoch 1 loss 2.300601601600647
[2023-12-21 06:58:16,372][INFO] --epoch 2 loss 2.294161081314087
[2023-12-21 06:58:16,379][INFO] --epoch 3 loss 2.292478919029236
[2023-12-21 06:58:16,385][INFO] --epoch 4 loss 2.2912368774414062
[2023-12-21 06:58:16,392][INFO] --epoch 5 loss 2.287565231323242
[2023-12-21 06:58:16,399][INFO] --epoch 6 loss 2.2866368293762207
[2023-12-21 06:58:16,406][INFO] --epoch 7 loss 2.2852169275283813
[2023-12-21 06:58:16,413][INFO] --epoch 8 loss 2.283841371536255
[2023-12-21 06:58:16,419][INFO] --epoch 9 loss 2.2855852842330933
[2023-12-21 06:58:16,425][INFO] --epoch 10 loss 2.2832523584365845
[2023-12-21 06:58:16,432][INFO] --epoch 11 loss 2.2820478677749634
[2023-12-21 06:58:16,438][INFO] --epoch 12 loss 2.281918168067932
[2023-12-21 06:58:16,445][INFO] --epoch 13 loss 2.2811193466186523
[2023-12-21 06:58:16,452][INFO] --epoch 14 loss 2.2786120176315308
[2023-12-21 06:58:16,458][INFO] --epoch 15 loss 2.279490828514099
[2023-12-21 06:58:16,464][INFO] --epoch 16 loss 2.2779648303985596
[2023-12-21 06:58:16,471][INFO] --epoch 17 loss 2.2782883644104004
[2023-12-21 06:58:16,477][INFO] --epoch 18 loss 2.2776429653167725
[2023-12-21 06:58:16,483][INFO] --epoch 19 loss 2.276612639427185
[2023-12-21 06:58:16,489][INFO] --epoch 20 loss 2.2771542072296143
[2023-12-21 06:58:16,496][INFO] --epoch 21 loss 2.27616286277771
[2023-12-21 06:58:16,503][INFO] --epoch 22 loss 2.275800108909607
[2023-12-21 06:58:16,510][INFO] --epoch 23 loss 2.275319218635559
