[2024-04-07 06:36:11,387][INFO] 
===== resnet152-2-feature-500-2024-04-07-06-36-11 configuration =====
  exp_fn: test_goal_repair
  seed: None
  dom: deeppoly
  start_abs_cnt: 500
  max_abs_cnt: 1000
  refine_top_k: 50
  tiny_width: 0.0002
  lr: 10
  batch_size: 50
  min_epochs: 15
  max_epochs: 100
  use_scheduler: True
  no_pts: True
  no_abs: False
  no_refine: True
  quiet: False
  debug: False
  net: resnet152
  no_repair: False
  repair_number: 500
  repair_batchsize: 1
  repair_location: feature
  repair_radius: 2
  loose_bound: 0.0314
  divided_repair: 5
  accuracy_loss: <function TinyImagenetArgParser.setup_rest.<locals>.ce_loss at 0x7f6efbab8430>
  reset_params: False
  train_datasize: 10000
  test_datasize: 5000
  label_repaired: False
  max_verifier_sec: 300
  verifier_timeout_as_safe: True
  sample_amount: 1000
  repair_batch_size: 500
  scheduler_fn: <function ExpArgParser.setup_rest.<locals>.<lambda> at 0x7f6efbab83a0>
===== end of resnet152-2-feature-500-2024-04-07-06-36-11 configuration =====

[2024-04-07 06:36:11,387][INFO] ===== start repair ======
[2024-04-07 06:36:11,387][INFO] For pgd attack net
[2024-04-07 06:36:19,119][INFO] --Test repair set accuracy 0.0
[2024-04-07 06:36:19,230][INFO] --Test original set accuracy 1.0
[2024-04-07 06:36:21,037][INFO] --Test test set accuracy 0.6825
[2024-04-07 06:36:21,946][INFO] --Test attack test set accuracy 0.0
[2024-04-07 06:36:23,757][INFO] --Test train set accuracy 0.9998
[2024-04-07 06:36:23,757][INFO] get the feature of the repairset and testset
[2024-04-07 06:36:26,600][INFO] sample the datas from the radius of the original data with pgd attack
[2024-04-07 06:36:26,600][INFO] --sample the 0 part of the originalset
[2024-04-07 06:36:26,601][INFO] --FGSM sample 1 image
[2024-04-07 06:36:27,298][INFO] --PGD sample 1 image
[2024-04-07 06:36:30,847][INFO] --FGSM sample 2 image
[2024-04-07 06:36:31,585][INFO] --PGD sample 2 image
[2024-04-07 06:36:35,139][INFO] --FGSM sample 3 image
[2024-04-07 06:36:35,887][INFO] --PGD sample 3 image
[2024-04-07 06:36:39,444][INFO] --FGSM sample 4 image
[2024-04-07 06:36:40,184][INFO] --PGD sample 4 image
[2024-04-07 06:36:43,740][INFO] --FGSM sample 5 image
[2024-04-07 06:36:44,476][INFO] --PGD sample 5 image
[2024-04-07 06:36:48,043][INFO] --FGSM sample 6 image
[2024-04-07 06:36:48,780][INFO] --PGD sample 6 image
[2024-04-07 06:36:52,340][INFO] --FGSM sample 7 image
[2024-04-07 06:36:53,080][INFO] --PGD sample 7 image
[2024-04-07 06:36:56,650][INFO] --FGSM sample 8 image
[2024-04-07 06:36:57,387][INFO] --PGD sample 8 image
[2024-04-07 06:37:00,956][INFO] --FGSM sample 9 image
[2024-04-07 06:37:01,693][INFO] --PGD sample 9 image
[2024-04-07 06:37:05,260][INFO] --FGSM sample 10 image
[2024-04-07 06:37:05,996][INFO] --PGD sample 10 image
[2024-04-07 06:37:09,575][INFO] --FGSM sample 11 image
[2024-04-07 06:37:10,314][INFO] --PGD sample 11 image
[2024-04-07 06:37:13,898][INFO] --FGSM sample 12 image
[2024-04-07 06:37:14,639][INFO] --PGD sample 12 image
[2024-04-07 06:37:18,217][INFO] --FGSM sample 13 image
[2024-04-07 06:37:18,954][INFO] --PGD sample 13 image
[2024-04-07 06:37:22,538][INFO] --FGSM sample 14 image
[2024-04-07 06:37:23,278][INFO] --PGD sample 14 image
[2024-04-07 06:37:26,853][INFO] --FGSM sample 15 image
[2024-04-07 06:37:27,594][INFO] --PGD sample 15 image
[2024-04-07 06:37:31,179][INFO] --FGSM sample 16 image
[2024-04-07 06:37:34,069][INFO] --PGD sample 16 image
[2024-04-07 06:37:37,470][INFO] --FGSM sample 17 image
[2024-04-07 06:37:38,197][INFO] --PGD sample 17 image
[2024-04-07 06:37:41,715][INFO] --FGSM sample 18 image
[2024-04-07 06:37:42,446][INFO] --PGD sample 18 image
[2024-04-07 06:37:46,036][INFO] --FGSM sample 19 image
[2024-04-07 06:37:46,776][INFO] --PGD sample 19 image
[2024-04-07 06:37:50,360][INFO] --FGSM sample 20 image
[2024-04-07 06:37:51,102][INFO] --PGD sample 20 image
[2024-04-07 06:37:54,703][INFO] --FGSM sample 21 image
[2024-04-07 06:37:55,442][INFO] --PGD sample 21 image
[2024-04-07 06:37:59,028][INFO] --FGSM sample 22 image
[2024-04-07 06:38:01,191][INFO] --PGD sample 22 image
[2024-04-07 06:38:04,792][INFO] --FGSM sample 23 image
[2024-04-07 06:38:05,537][INFO] --PGD sample 23 image
[2024-04-07 06:38:08,968][INFO] --FGSM sample 24 image
[2024-04-07 06:38:09,702][INFO] --PGD sample 24 image
[2024-04-07 06:38:13,238][INFO] --FGSM sample 25 image
[2024-04-07 06:38:13,968][INFO] --PGD sample 25 image
[2024-04-07 06:38:17,486][INFO] --FGSM sample 26 image
[2024-04-07 06:38:18,220][INFO] --PGD sample 26 image
[2024-04-07 06:38:21,768][INFO] --FGSM sample 27 image
[2024-04-07 06:38:22,479][INFO] --PGD sample 27 image
[2024-04-07 06:38:26,043][INFO] --FGSM sample 28 image
[2024-04-07 06:38:26,787][INFO] --PGD sample 28 image
[2024-04-07 06:38:30,373][INFO] --FGSM sample 29 image
[2024-04-07 06:38:31,123][INFO] --PGD sample 29 image
[2024-04-07 06:38:34,723][INFO] --FGSM sample 30 image
[2024-04-07 06:38:35,461][INFO] --PGD sample 30 image
[2024-04-07 06:38:39,061][INFO] --FGSM sample 31 image
[2024-04-07 06:38:39,810][INFO] --PGD sample 31 image
[2024-04-07 06:38:43,396][INFO] --FGSM sample 32 image
[2024-04-07 06:38:44,137][INFO] --PGD sample 32 image
[2024-04-07 06:38:47,734][INFO] --FGSM sample 33 image
[2024-04-07 06:38:48,474][INFO] --PGD sample 33 image
[2024-04-07 06:38:52,072][INFO] --FGSM sample 34 image
[2024-04-07 06:38:52,809][INFO] --PGD sample 34 image
[2024-04-07 06:38:56,396][INFO] --FGSM sample 35 image
[2024-04-07 06:38:57,118][INFO] --PGD sample 35 image
[2024-04-07 06:39:00,704][INFO] --FGSM sample 36 image
[2024-04-07 06:39:01,452][INFO] --PGD sample 36 image
[2024-04-07 06:39:05,036][INFO] --FGSM sample 37 image
[2024-04-07 06:39:05,776][INFO] --PGD sample 37 image
[2024-04-07 06:39:09,364][INFO] --FGSM sample 38 image
[2024-04-07 06:39:10,104][INFO] --PGD sample 38 image
[2024-04-07 06:39:13,693][INFO] --FGSM sample 39 image
[2024-04-07 06:39:14,434][INFO] --PGD sample 39 image
[2024-04-07 06:39:18,023][INFO] --FGSM sample 40 image
[2024-04-07 06:39:18,763][INFO] --PGD sample 40 image
[2024-04-07 06:39:22,357][INFO] --FGSM sample 41 image
[2024-04-07 06:39:23,099][INFO] --PGD sample 41 image
[2024-04-07 06:39:26,692][INFO] --FGSM sample 42 image
[2024-04-07 06:39:27,431][INFO] --PGD sample 42 image
[2024-04-07 06:39:31,023][INFO] --FGSM sample 43 image
[2024-04-07 06:39:31,765][INFO] --PGD sample 43 image
[2024-04-07 06:39:35,358][INFO] --FGSM sample 44 image
[2024-04-07 06:39:36,099][INFO] --PGD sample 44 image
[2024-04-07 06:39:39,695][INFO] --FGSM sample 45 image
[2024-04-07 06:39:40,420][INFO] --PGD sample 45 image
[2024-04-07 06:39:44,014][INFO] --FGSM sample 46 image
[2024-04-07 06:39:44,754][INFO] --PGD sample 46 image
[2024-04-07 06:39:48,348][INFO] --FGSM sample 47 image
[2024-04-07 06:39:49,090][INFO] --PGD sample 47 image
[2024-04-07 06:39:52,687][INFO] --FGSM sample 48 image
[2024-04-07 06:39:53,440][INFO] --PGD sample 48 image
[2024-04-07 06:39:57,039][INFO] --FGSM sample 49 image
[2024-04-07 06:39:57,784][INFO] --PGD sample 49 image
[2024-04-07 06:40:01,387][INFO] --FGSM sample 50 image
[2024-04-07 06:40:02,130][INFO] --PGD sample 50 image
[2024-04-07 06:40:05,741][INFO] --FGSM sample 51 image
[2024-04-07 06:40:06,488][INFO] --PGD sample 51 image
[2024-04-07 06:40:10,095][INFO] --FGSM sample 52 image
[2024-04-07 06:40:10,850][INFO] --PGD sample 52 image
[2024-04-07 06:40:14,455][INFO] --FGSM sample 53 image
[2024-04-07 06:40:15,199][INFO] --PGD sample 53 image
[2024-04-07 06:40:18,799][INFO] --FGSM sample 54 image
[2024-04-07 06:40:19,550][INFO] --PGD sample 54 image
[2024-04-07 06:40:23,157][INFO] --FGSM sample 55 image
[2024-04-07 06:40:23,901][INFO] --PGD sample 55 image
[2024-04-07 06:40:27,512][INFO] --FGSM sample 56 image
[2024-04-07 06:40:28,257][INFO] --PGD sample 56 image
[2024-04-07 06:40:31,861][INFO] --FGSM sample 57 image
[2024-04-07 06:40:32,607][INFO] --PGD sample 57 image
[2024-04-07 06:40:36,211][INFO] --FGSM sample 58 image
[2024-04-07 06:40:36,957][INFO] --PGD sample 58 image
[2024-04-07 06:40:40,565][INFO] --FGSM sample 59 image
[2024-04-07 06:40:41,311][INFO] --PGD sample 59 image
[2024-04-07 06:40:44,921][INFO] --FGSM sample 60 image
[2024-04-07 06:40:45,664][INFO] --PGD sample 60 image
[2024-04-07 06:40:49,270][INFO] --FGSM sample 61 image
[2024-04-07 06:40:50,016][INFO] --PGD sample 61 image
[2024-04-07 06:40:53,624][INFO] --FGSM sample 62 image
[2024-04-07 06:40:54,369][INFO] --PGD sample 62 image
[2024-04-07 06:40:57,978][INFO] --FGSM sample 63 image
[2024-04-07 06:40:58,720][INFO] --PGD sample 63 image
[2024-04-07 06:41:02,321][INFO] --FGSM sample 64 image
[2024-04-07 06:41:03,065][INFO] --PGD sample 64 image
[2024-04-07 06:41:06,673][INFO] --FGSM sample 65 image
[2024-04-07 06:41:07,425][INFO] --PGD sample 65 image
[2024-04-07 06:41:11,022][INFO] --FGSM sample 66 image
[2024-04-07 06:41:11,764][INFO] --PGD sample 66 image
[2024-04-07 06:41:15,353][INFO] --FGSM sample 67 image
[2024-04-07 06:41:16,095][INFO] --PGD sample 67 image
[2024-04-07 06:41:19,682][INFO] --FGSM sample 68 image
[2024-04-07 06:41:20,430][INFO] --PGD sample 68 image
[2024-04-07 06:41:24,015][INFO] --FGSM sample 69 image
[2024-04-07 06:41:24,765][INFO] --PGD sample 69 image
[2024-04-07 06:41:28,360][INFO] --FGSM sample 70 image
[2024-04-07 06:41:29,111][INFO] --PGD sample 70 image
[2024-04-07 06:41:32,703][INFO] --FGSM sample 71 image
[2024-04-07 06:41:33,448][INFO] --PGD sample 71 image
[2024-04-07 06:41:37,040][INFO] --FGSM sample 72 image
[2024-04-07 06:41:37,789][INFO] --PGD sample 72 image
[2024-04-07 06:41:41,383][INFO] --FGSM sample 73 image
[2024-04-07 06:41:42,138][INFO] --PGD sample 73 image
[2024-04-07 06:41:45,731][INFO] --FGSM sample 74 image
[2024-04-07 06:41:46,472][INFO] --PGD sample 74 image
[2024-04-07 06:41:50,065][INFO] --FGSM sample 75 image
[2024-04-07 06:41:50,815][INFO] --PGD sample 75 image
[2024-04-07 06:41:54,410][INFO] --FGSM sample 76 image
[2024-04-07 06:41:55,151][INFO] --PGD sample 76 image
[2024-04-07 06:41:58,743][INFO] --FGSM sample 77 image
[2024-04-07 06:41:59,485][INFO] --PGD sample 77 image
[2024-04-07 06:42:03,086][INFO] --FGSM sample 78 image
[2024-04-07 06:42:03,830][INFO] --PGD sample 78 image
[2024-04-07 06:42:07,434][INFO] --FGSM sample 79 image
[2024-04-07 06:42:08,175][INFO] --PGD sample 79 image
[2024-04-07 06:42:11,785][INFO] --FGSM sample 80 image
[2024-04-07 06:42:12,525][INFO] --PGD sample 80 image
[2024-04-07 06:42:16,131][INFO] --FGSM sample 81 image
[2024-04-07 06:42:16,873][INFO] --PGD sample 81 image
[2024-04-07 06:42:20,479][INFO] --FGSM sample 82 image
[2024-04-07 06:42:21,224][INFO] --PGD sample 82 image
[2024-04-07 06:42:24,830][INFO] --FGSM sample 83 image
[2024-04-07 06:42:25,576][INFO] --PGD sample 83 image
