[2024-04-07 07:07:25,003][INFO] 
===== wide_resnet101_2-2-feature-1000-2024-04-07-07-07-24 configuration =====
  exp_fn: test_goal_repair
  seed: None
  dom: deeppoly
  start_abs_cnt: 500
  max_abs_cnt: 1000
  refine_top_k: 50
  tiny_width: 0.0002
  lr: 10
  batch_size: 50
  min_epochs: 15
  max_epochs: 100
  use_scheduler: True
  no_pts: True
  no_abs: False
  no_refine: True
  quiet: False
  debug: False
  net: wide_resnet101_2
  no_repair: False
  repair_number: 1000
  repair_batchsize: 1
  repair_location: feature
  repair_radius: 2
  loose_bound: 0.0314
  divided_repair: 10
  accuracy_loss: <function TinyImagenetArgParser.setup_rest.<locals>.ce_loss at 0x7f97ba1723a0>
  reset_params: False
  train_datasize: 10000
  test_datasize: 10000
  label_repaired: False
  max_verifier_sec: 300
  verifier_timeout_as_safe: True
  sample_amount: 1000
  repair_batch_size: 1000
  scheduler_fn: <function ExpArgParser.setup_rest.<locals>.<lambda> at 0x7f97ba165310>
===== end of wide_resnet101_2-2-feature-1000-2024-04-07-07-07-24 configuration =====

[2024-04-07 07:07:25,003][INFO] ===== start repair ======
[2024-04-07 07:07:25,004][INFO] For pgd attack net
[2024-04-07 07:07:30,606][INFO] --Test repair set accuracy 0.0
[2024-04-07 07:07:30,841][INFO] --Test original set accuracy 1.0
[2024-04-07 07:07:33,314][INFO] --Test test set accuracy 0.6436
[2024-04-07 07:07:35,634][INFO] --Test attack test set accuracy 0.0001
[2024-04-07 07:07:37,951][INFO] --Test train set accuracy 0.9999
[2024-04-07 07:07:37,951][INFO] get the feature of the repairset and testset
[2024-04-07 07:07:42,850][INFO] sample the datas from the radius of the original data with pgd attack
[2024-04-07 07:07:42,850][INFO] --sample the 0 part of the originalset
[2024-04-07 07:07:42,851][INFO] --FGSM sample 1 image
[2024-04-07 07:07:43,334][INFO] --PGD sample 1 image
[2024-04-07 07:07:46,132][INFO] --FGSM sample 2 image
[2024-04-07 07:07:48,407][INFO] --PGD sample 2 image
[2024-04-07 07:07:51,227][INFO] --FGSM sample 3 image
[2024-04-07 07:07:51,816][INFO] --PGD sample 3 image
[2024-04-07 07:07:54,628][INFO] --FGSM sample 4 image
[2024-04-07 07:07:55,228][INFO] --PGD sample 4 image
[2024-04-07 07:07:58,078][INFO] --FGSM sample 5 image
[2024-04-07 07:07:58,685][INFO] --PGD sample 5 image
[2024-04-07 07:08:01,513][INFO] --FGSM sample 6 image
[2024-04-07 07:08:02,102][INFO] --PGD sample 6 image
[2024-04-07 07:08:04,922][INFO] --FGSM sample 7 image
[2024-04-07 07:08:05,512][INFO] --PGD sample 7 image
[2024-04-07 07:08:08,334][INFO] --FGSM sample 8 image
[2024-04-07 07:08:08,904][INFO] --PGD sample 8 image
[2024-04-07 07:08:11,731][INFO] --FGSM sample 9 image
[2024-04-07 07:08:12,317][INFO] --PGD sample 9 image
[2024-04-07 07:08:15,173][INFO] --FGSM sample 10 image
[2024-04-07 07:08:15,776][INFO] --PGD sample 10 image
[2024-04-07 07:08:18,628][INFO] --FGSM sample 11 image
[2024-04-07 07:08:19,229][INFO] --PGD sample 11 image
[2024-04-07 07:08:22,081][INFO] --FGSM sample 12 image
[2024-04-07 07:08:22,672][INFO] --PGD sample 12 image
[2024-04-07 07:08:25,535][INFO] --FGSM sample 13 image
[2024-04-07 07:08:26,122][INFO] --PGD sample 13 image
[2024-04-07 07:08:28,981][INFO] --FGSM sample 14 image
[2024-04-07 07:08:29,579][INFO] --PGD sample 14 image
[2024-04-07 07:08:32,439][INFO] --FGSM sample 15 image
[2024-04-07 07:08:33,036][INFO] --PGD sample 15 image
[2024-04-07 07:08:35,897][INFO] --FGSM sample 16 image
[2024-04-07 07:08:36,494][INFO] --PGD sample 16 image
[2024-04-07 07:08:39,375][INFO] --FGSM sample 17 image
[2024-04-07 07:08:39,972][INFO] --PGD sample 17 image
[2024-04-07 07:08:42,845][INFO] --FGSM sample 18 image
[2024-04-07 07:08:43,449][INFO] --PGD sample 18 image
[2024-04-07 07:08:46,317][INFO] --FGSM sample 19 image
[2024-04-07 07:08:46,916][INFO] --PGD sample 19 image
[2024-04-07 07:08:49,776][INFO] --FGSM sample 20 image
[2024-04-07 07:08:50,370][INFO] --PGD sample 20 image
[2024-04-07 07:08:53,234][INFO] --FGSM sample 21 image
[2024-04-07 07:08:53,829][INFO] --PGD sample 21 image
[2024-04-07 07:08:56,710][INFO] --FGSM sample 22 image
[2024-04-07 07:08:57,307][INFO] --PGD sample 22 image
[2024-04-07 07:09:00,206][INFO] --FGSM sample 23 image
[2024-04-07 07:09:00,808][INFO] --PGD sample 23 image
[2024-04-07 07:09:03,690][INFO] --FGSM sample 24 image
[2024-04-07 07:09:04,283][INFO] --PGD sample 24 image
[2024-04-07 07:09:07,149][INFO] --FGSM sample 25 image
[2024-04-07 07:09:10,599][INFO] --The attack_datas is empty, we use the repair data as the attack data
[2024-04-07 07:09:10,599][INFO] --PGD sample 25 image
[2024-04-07 07:09:13,472][INFO] --FGSM sample 26 image
[2024-04-07 07:09:14,078][INFO] --PGD sample 26 image
[2024-04-07 07:09:16,964][INFO] --FGSM sample 27 image
[2024-04-07 07:09:17,569][INFO] --PGD sample 27 image
[2024-04-07 07:09:20,447][INFO] --FGSM sample 28 image
[2024-04-07 07:09:21,046][INFO] --PGD sample 28 image
[2024-04-07 07:09:23,913][INFO] --FGSM sample 29 image
[2024-04-07 07:09:24,508][INFO] --PGD sample 29 image
[2024-04-07 07:09:27,373][INFO] --FGSM sample 30 image
[2024-04-07 07:09:27,977][INFO] --PGD sample 30 image
[2024-04-07 07:09:30,839][INFO] --FGSM sample 31 image
[2024-04-07 07:09:31,444][INFO] --PGD sample 31 image
[2024-04-07 07:09:34,309][INFO] --FGSM sample 32 image
[2024-04-07 07:09:34,908][INFO] --PGD sample 32 image
[2024-04-07 07:09:37,776][INFO] --FGSM sample 33 image
[2024-04-07 07:09:38,374][INFO] --PGD sample 33 image
[2024-04-07 07:09:41,253][INFO] --FGSM sample 34 image
[2024-04-07 07:09:44,702][INFO] --The attack_datas is empty, we use the repair data as the attack data
[2024-04-07 07:09:44,702][INFO] --PGD sample 34 image
[2024-04-07 07:09:47,574][INFO] --FGSM sample 35 image
[2024-04-07 07:09:48,175][INFO] --PGD sample 35 image
[2024-04-07 07:09:51,046][INFO] --FGSM sample 36 image
[2024-04-07 07:09:51,627][INFO] --PGD sample 36 image
[2024-04-07 07:09:54,495][INFO] --FGSM sample 37 image
[2024-04-07 07:09:55,105][INFO] --PGD sample 37 image
[2024-04-07 07:09:57,985][INFO] --FGSM sample 38 image
[2024-04-07 07:09:58,592][INFO] --PGD sample 38 image
[2024-04-07 07:10:01,478][INFO] --FGSM sample 39 image
[2024-04-07 07:10:02,076][INFO] --PGD sample 39 image
[2024-04-07 07:10:04,953][INFO] --FGSM sample 40 image
[2024-04-07 07:10:05,537][INFO] --PGD sample 40 image
[2024-04-07 07:10:08,415][INFO] --FGSM sample 41 image
[2024-04-07 07:10:09,012][INFO] --PGD sample 41 image
[2024-04-07 07:10:11,893][INFO] --FGSM sample 42 image
[2024-04-07 07:10:12,491][INFO] --PGD sample 42 image
[2024-04-07 07:10:15,365][INFO] --FGSM sample 43 image
[2024-04-07 07:10:15,963][INFO] --PGD sample 43 image
