,,WRN-101-2,,,,resnet152,,,
,,2,,4,,2,,4,
,,500,1000,500,1000,500,1000,500,1000
RSR/%,care,0.0[],0.0[],0.0[],0.0[],0.0[],0.0[],0.0[],0.0[]
RSR/%,trades,100.0[],100.0[],100.0[],100.0[],100.0[],100.0[],100.0[],100.0[]
RSR/%,ours,100.0[],100.0[],100.0[],100.0[],100.0[],100.0[],100.0[],100.0[]
RGR/%,care,1.2[],0.5[],0.0[],0.0[],0.0[],0.0[],0.0[],0.0[]
RGR/%,trades,100.0[],100.0[],100.0[],100.0[],100.0[],100.0[],100.0[],100.0[]
RGR/%,ours,100.0[],100.0[],100.0[],100.0[],100.0[],100.0[],100.0[],100.0[]
DD/%,care,0.1[],0.0[],0.0[],0.1[],-0.0[],-0.0[],-0.0[],-0.0[]
DD/%,trades,46.8[],43.2[],51.8[],49.5[],64.5[],62.6[],64.5[],63.6[]
DD/%,ours,0.0[],0.0[],0.0[],0.0[],0.0[],0.0[],0.0[],0.0[]
DSR/%,care,0.0[],0.0[],0.0[],0.0[],0.0[],0.0[],0.0[],0.0[]
DSR/%,trades,100.0[],100.0[],97.6[],97.2[],100.0[],99.9[],97.6[],98.5[]
DSR/%,ours,100.0[],100.0[],100.0[],100.0[],100.0[],100.0[],100.0[],100.0[]
DGSR/%,care,0.0[],0.0[],0.0[],0.0[],0.0[],0.0[],0.0[],0.0[]
DGSR/%,trades,6.6[],7.3[],1.8[],2.1[],5.2[],6.1[],1.3[],2.0[]
DGSR/%,ours,64.4[],64.4[],64.4[],64.4[],68.2[],68.2[],68.2[],68.2[]
Time/s,care,768.7[],1345.7[],721.9[],1440.8[],545.3[],1092.9[],535.4[],1028.1[]
Time/s,trades,5040.8[],7088.6[],4985.5[],6976.2[],4667.7[],7503.5[],4624.2[],7499.9[]
Time/s,ours,2029.6[],3260.7[],1731.8[],3221.2[],2219.6[],4703.7[],2336.1[],4366.8[]
