For vgg19 50 4 : repair:0.96, attack:0.82, test:0.82, time:23.3184
For vgg19 100 4 : repair:0.94, attack:0.71, test:0.71, time:46.6364
For vgg19 200 4 : repair:0.94, attack:0.86, test:0.86, time:93.2734
For vgg19 500 4 : repair:0.96, attack:0.96, test:0.96, time:182.9673
For vgg19 1000 4 : repair:0.971, attack:0.983, test:0.983, time:461.1356
For resnet18 50 4 : repair:1.0, attack:1.0, test:1.0, time:58.1984
For resnet18 100 4 : repair:1.0, attack:1.0, test:1.0, time:96.3968
For resnet18 200 4 : repair:1.0, attack:1.0, test:1.0, time:193.7936
For resnet18 500 4 : repair:1.0, attack:1.0, test:1.0, time:481.0632
For resnet18 1000 4 : repair:0.997, attack:1.0, test:1.0, time:834.964
For vgg19 50 8 : repair:1.0, attack:1.0, test:1.0, time:24.0064
For vgg19 100 8 : repair:0.97, attack:1.0, test:1.0, time:48.0128
For vgg19 200 8 : repair:0.975, attack:0.98, test:0.98, time:96.0256
For vgg19 500 8 : repair:0.926, attack:0.96, test:0.96, time:192.0512
For vgg19 1000 8 : repair:0.959, attack:0.971, test:0.971, time:480.1281
For resnet18 50 8 : repair:1.0, attack:1.0, test:1.0, time:60.1728
For resnet18 100 8 : repair:0.99, attack:1.0, test:1.0, time:99.2885
For resnet18 200 8 : repair:1.0, attack:1.0, test:1.0, time:200.5762
For resnet18 500 8 : repair:0.986, attack:1.0, test:1.0, time:492.4413
For resnet18 1000 8 : repair:0.962, attack:0.992, test:0.992, time:979.7647



For vgg19 50 4 : repair:0.92, attack:0.8, test:0.43, time:4.912638902664185, epoch:10
For vgg19 50 4 : repair:0.92, attack:0.98, test:0.4568, time:6.940426588058472, epoch:20
For vgg19 50 4 : repair:0.88, attack:0.8, test:0.4553, time:17.106786012649536, epoch:50
For vgg19 50 4 : repair:0.94, attack:0.8, test:0.4554, time:35.550644636154175, epoch:100
For vgg19 50 4 : repair:0.92, attack:0.82, test:0.4795, time:51.223499059677124, epoch:150
For vgg19 50 4 : repair:0.96, attack:0.84, test:0.4741, time:68.72887539863586, epoch:200
For vgg19 100 4 : repair:0.91, attack:0.8, test:0.5514, time:5.832277536392212, epoch:10
For vgg19 100 4 : repair:0.96, attack:0.9, test:0.5406, time:11.589260816574097, epoch:20
For vgg19 100 4 : repair:0.97, attack:0.9, test:0.5543, time:28.32880687713623, epoch:50
For vgg19 100 4 : repair:0.95, attack:0.87, test:0.5447, time:57.28332471847534, epoch:100
For vgg19 100 4 : repair:0.96, attack:0.9, test:0.5625, time:85.3608045578003, epoch:150
For vgg19 100 4 : repair:0.95, attack:0.9, test:0.5816, time:114.83136415481567, epoch:200
For vgg19 200 4 : repair:0.95, attack:0.95, test:0.6389, time:9.593323230743408, epoch:10
For vgg19 200 4 : repair:0.95, attack:0.945, test:0.6101, time:19.26390838623047, epoch:20
For vgg19 200 4 : repair:0.95, attack:0.85, test:0.6288, time:48.122055530548096, epoch:50
For vgg19 200 4 : repair:0.955, attack:0.85, test:0.6355, time:95.38713312149048, epoch:100
For vgg19 200 4 : repair:0.975, attack:0.955, test:0.6329, time:138.8771619796753, epoch:150
